index,style,description ,location,spec,spec-2,Fabric,Trims,Color way-1,Color way-2,Color way-3,Color way-4,
295,18M20-07 Pinehurst Jacket,"VELCRO 3"" L x 1/2"" W HOOK & LOOP",STORM FLAP(4),,,0,1,YKK BLACK #580,YKK BLACK #580,YKK BLACK #580,YKK TAUPE #034,YKK BURGUNDY #TV307
296,18M20-07 Pinehurst Jacket,VELCRO 4би L x 3/4би W LOOP,CUFF ADJUSTMENT,,,0,1,YKK BLACK #580,YKK BLACK #580,YKK BLACK #580,YKK TAUPE #034,YKK BURGUNDY #TV307
297,18M20-07 Pinehurst Jacket,"VELCRO 2"" L x 3/4"" W HOOK",CUFF ADJUSTMENT,,,0,1,YKK BLACK #580,YKK BLACK #580,YKK BLACK #580,YKK TAUPE #034,YKK BURGUNDY #TV307
298,18M20-08 Beacon Jacket,RPW11001-R1C2 2.5L Twill,Main Fabric Twill,,,1,0,Black,,,,
299,18M20-08 Beacon Jacket,RPW11001-R1C2 2.5L Twill,"Main Fabric
Melange Twill",,,1,0,Olive Melange,,,,
300,18M20-08 Beacon Jacket,Khaki,Main Fabric RPW11001-R1C2 2.5L Twill,,,1,0,Khaki,,,,
301,18M20-08 Beacon Jacket,210T Nylon Coated Plain Taffeta,"Powder skirt, Hand gaitor",,,1,0,Burgundy,Burgundy,Burgundy,,
302,18M20-08 Beacon Jacket,210T Nylon UN-Coated Plain Taffeta,"Pocket bags, Sleeve, Inner body between DH3502, Media pocket",,,1,0,Burgundy,Burgundy,Burgundy,,
303,18M20-08 Beacon Jacket,#DH3502,Inner main body lining,,,1,0,Light Grey Melange,Light Grey Melange,Light Grey Melange,,
304,18M20-08 Beacon Jacket,#C-062 TRICOT,"Chin guard, Hand pocket bags, Main inner lining, Chest warmer pocket",,,1,0,Burgundy,Burgundy,Burgundy,,
305,18M20-08 Beacon Jacket,#C-062 TRICOT,Inside collar,,,1,0,Black,Black,Black,,
306,18M20-08 Beacon Jacket,#A-012 Mesh,"Pit vents, Mesh pocket",,,1,0,Black,Black,Black,,
307,18M20-08 Beacon Jacket,#B181 Closed Hole Mesh,Around inner pit vents mesh,,,1,0,Black,Black,Black,,
308,18M20-08 Beacon Jacket,#JIK-1186  Lycra,"Inner hand gaiters,  zip-to-pant section",,,1,0,Burgundy,Burgundy,Burgundy,,
309,18M20-08 Beacon Jacket,"(15)G1D0185KZX6030)
Sherpa",Inside collar,,,1,0,Black,Black,Black,,
310,18M20-08 Beacon Jacket,#ST104 Bemis 20mm seam tape,Fully seam sealed,,,1,0,Clear,Clear,Clear,,
311,18M20-08 Beacon Jacket,"YKK #5 Vislon zipper 2 way open-end, Swivel Slider#DA8LH1 + DAG8 2-way slider",CF Zipper,"32""
(for size Large)",TAPE,0,1, Black #580,Olive #566,Khaki #TC047,,
312,18M20-08 Beacon Jacket,"YKK #5 Vislon zipper 2 way open-end, Swivel Slider#DA8LH1 + DAG8 2-way slider",,,TEETH,0,1, Black #580,Olive #566,Khaki #TC047,,
313,18M20-08 Beacon Jacket,"YKK #5 Vislon zipper 2 way open-end, Swivel Slider#DA8LH1 + DAG8 2-way slider",,,SLIDER,0,1, X6 Black Oxides,I Antique Brass,I Antique Brass,,
314,18M20-08 Beacon Jacket,YKK #5 METALUX facing coil zipper. Slider #DA8LH1 Swivel,Chest Pocket,"7 3/4""",TAPE,0,1,Black #580,Olive #566,Khaki #TC047,,
315,18M20-08 Beacon Jacket,YKK #5 METALUX facing coil zipper. Slider #DA8LH1 Swivel,,,TEETH,0,1,VYMJ Matt Black, VYMB Antique Gold, VYMB Antique Gold,,
316,18M20-08 Beacon Jacket,YKK #5 METALUX facing coil zipper. Slider #DA8LH1 Swivel,,,SLIDER,0,1,X6 Black Oxides,I Antique Brass,I Antique Brass,,
317,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel,Hand Pocket,"8""",TAPE,0,1, Black #580,Olive #566,Khaki #TC047,,
318,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel,,,TEETH,0,1, Black #580,Olive #566,Khaki #TC047,,
319,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel,,,SLIDER,0,1, X6 Black Oxides,I Antique Brass,I Antique Brass,,
320,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel,Vents,"12""",TAPE,0,1, Black #580,Olive #566,Khaki #TC047,,
321,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel,,,TEETH,0,1, Black #580,Olive #566,Khaki #TC047,,
322,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel,,,SLIDER,0,1, X6 Black Oxides,I Antique Brass,I Antique Brass,,
323,18M20-08 Beacon Jacket,YKK #3 regular facing coil zipper.  Slider #DALH,Exterior Access to Media Pocket,"7""",TAPE,0,1, Black #580,Olive #566,Khaki #TC047,,
324,18M20-08 Beacon Jacket,YKK #3 regular facing coil zipper.  Slider #DALH,,,TEETH,0,1, Black #580,Olive #566,Khaki #TC047,,
325,18M20-08 Beacon Jacket,YKK #3 regular facing coil zipper.  Slider #DALH,,,SLIDER,0,1, X6 Black Oxides,I Antique Brass,I Antique Brass,,
326,18M20-08 Beacon Jacket,YKK #3 regular facing coil zipper.  Slider #DALH,Inner Media Pocket,"8""",TAPE,0,1,Antique White #121,Antique White #121,Antique White #121,,
327,18M20-08 Beacon Jacket,YKK #3 regular facing coil zipper.  Slider #DALH,,,TEETH,0,1,Antique White #121,Antique White #121,Antique White #121,,
328,18M20-08 Beacon Jacket,YKK #3 regular facing coil zipper.  Slider #DALH,,,SLIDER,0,1, X6 Black Oxides, X6 Black Oxides, X6 Black Oxides,,
329,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel (ONE SIDE ONLY) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)","27""",TAPE,0,1, Black #580, Black #580, Black #580,,
330,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel (ONE SIDE ONLY) ,,,TEETH,0,1, Black #580, Black #580, Black #580,,
331,18M20-08 Beacon Jacket,YKK #5 regular facing coil zipper. Slider #DA8LH1 Swivel (ONE SIDE ONLY) ,,,SLIDER,0,1, X6 Black Oxides, X6 Black Oxides, X6 Black Oxides,,
332,18M20-08 Beacon Jacket,"#1819-RL-001-20
""RIDE 20K"" WOVEN LABEL ",INSIDE NECK LABELING,,,0,1,BLACK,BLACK,BLACK,,
333,18M20-08 Beacon Jacket,"#1819-RL-007
SIZE LABEL ",ADULT WOVEN SIZE LABEL. SEE LABELING SPEC,,,0,1,BLACK,BLACK,BLACK,,
334,18M20-08 Beacon Jacket,"#1819-RL-021
INNER MAIN WOVEN LABEL ",INSIDE LABELING. SEE LABELING SPEC,,,0,1,BLACK,BLACK,BLACK,,
335,18M20-08 Beacon Jacket,"#RT-005
INNER WOVEN LOOP ",CB HANGER LOOP SEWN INTO NECK SEAM,,,0,1,BLACK,BLACK,BLACK,,
336,18M20-08 Beacon Jacket,"#RT-006-NEW
STRIP EDGE TAPING",ABOVE POWDER SKIRT,,,0,1,BLACK,BLACK,BLACK,,
337,18M20-08 Beacon Jacket,"#COC-CC37.5-LOGO-WVN-GR-H
37.5 WOVEN LABEL-","RIGHT SIDE SEAM, UNDER LIFT TICKET GROMMET",,,0,1,GRAY,GRAY,GRAY,,
338,18M20-08 Beacon Jacket,"#RL-LTHR-001
""RIDE"" DEBOSS LEATHER PATCH",ABOVE WEARER'S RIGHT HEM,,,0,1,BLACK,TAN,TAN,,
339,18M20-08 Beacon Jacket,"#RL-PIN
LEATHER PATCH W/ METAL LOGO",LEFT SLEEVE,,,0,1,BLACK,TAN,TAN,,
340,18M20-08 Beacon Jacket,"#RM-08
GROMMET FOR LIFT TICKET","RIGHT SIDE SEAM, ABOVE 37.5 WOVEN LABEL",,,0,1,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES,,
341,18M20-08 Beacon Jacket,#A108-1 KEY CLIP,INSIDE RIGHT HAND POCKET,,,0,1,BLACK,BLACK,BLACK,,
342,18M20-08 Beacon Jacket,"#RT-LTHR-ZP
LEATHER ZIPPER PULLER",CF ZIPPER PULLER,,,0,1,BLACK,TAN,TAN,,
343,18M20-08 Beacon Jacket,8MM LOGO RIVET,CF ZIPPER PULLER,,,0,1,X6 BLACK OXIDES,I ANTIQUE BRASS,I ANTIQUE BRASS,,
344,18M20-08 Beacon Jacket,"""ZIPNRIP"" SCREEN PRINT",ON POWER SKIRT,,,0,1,WHITE,WHITE,WHITE,,
345,18M20-08 Beacon Jacket,FAUX SUEDE LEATHER,HAND POCKET DECORATION,,,0,1,BLACK,TAN,TAN,,
346,18M20-08 Beacon Jacket,"#RT-003
SILICONE ZIPPER PULLER","CHEST POCKET(2), HAND POCKET(2), VENT(2), MEDIA POCKET(1), ZIP TO PANT(1)",,,0,1,BLACK,BLACK,BLACK,,
347,18M20-08 Beacon Jacket,"#S080
CORDLOCK",BACK HOOD ADJUSTMENT,,,0,1,BLACK,BLACK,BLACK,,
348,18M20-08 Beacon Jacket,"#ZM057
CORDURA GRIP TAB",BACK HOOD ADJUSTMENT,,,0,1,BLACK,BLACK,BLACK,,
349,18M20-08 Beacon Jacket,"#0350034
RUBBERIZED BEAD CORD STOPPER",WAIST DRAWCORD ADJUSTMENT,,,0,1,BLACK,BLACK,BLACK,,
350,18M20-08 Beacon Jacket,"1/4""  HERRINGBONE WEBBING",BACK HOOD- LEASH FOR CORDLOCK,,,0,1,BLACK,BLACK,BLACK,,
351,18M20-08 Beacon Jacket,3MM ELASTIC BUNGEE CORD ,HOOD,,,0,1,BLACK,BLACK,BLACK,,
352,18M20-08 Beacon Jacket,"#1414
14MM PLASTIC STOCK SNAP (SET)",POWDER SKIRT,,,0,1,BLACK,BLACK,BLACK,,
353,18M20-08 Beacon Jacket,"#1414
14MM PLASTIC STOCK SNAP (MALE PART)",POWDER SKIRT 2ND ROW FOR ADJUSTMENT ,,,0,1,BLACK,BLACK,BLACK,,
354,18M20-08 Beacon Jacket,"#0509
YKK METAL SNAP (S-SPRING)","STORM FLAP(2 FULL SET), HAND POCKET FLAP(2 CAP ONLY)",,,0,1,X6 BLACK OXIDES,I ANTIQUE BRASS,I ANTIQUE BRASS,,
355,18M20-08 Beacon Jacket,STOCK GRIPPER,POWDER SKIRT,,,0,1,BLACK,BLACK,BLACK,,
356,18M20-08 Beacon Jacket,12MM NON-LOGO GROMMET,BACK HOOD DRAWCORD EXIT ,,,0,1,BLACK OXIDES,I ANTIQUE BRASS,I ANTIQUE BRASS,,
357,18M20-08 Beacon Jacket,10MM NON-LOGO GROMMET,"FRONT HOOD DRAWCORD EXIT(2), WAIST DRAWCORD EXIT(2), BOTTOM HEM DRAWCORD EXIT(2)",,,0,1,BLACK OXIDES,I ANTIQUE BRASS,I ANTIQUE BRASS,,
358,18M20-08 Beacon Jacket,20MM ELASTINE BINDING,"MEDIA POCKET CORD OUTLET, INNER MESH POCKET",,,0,1,BLACK,BLACK,BLACK,,
359,18M20-08 Beacon Jacket,10MM TAPE,ZIP TO PANT ZIPPER TAPE BACK SIDE CLEAN FINISH BINDING,,,0,1,BLACK,BLACK,BLACK,,
360,18M20-08 Beacon Jacket,"#CAP-31
FAUX LEATHER CORDLOCK","FRONT HOOD(2), HEM(2)",,,0,1,BLACK,BROWN,BROWN,,
361,18M20-08 Beacon Jacket,"#RT-DC-SLUB
CIRCLE DRAWCORDS ","HOOD, HEM, WAIST",,,0,1,BLACK/BROWN,BLACK/BROWN,BLACK/BROWN,,
362,18M20-08 Beacon Jacket,DRAWCORD END TIPS,DRAWCORD TIPS,,,0,1,ANTIQUE BRASS,ANTIQUE BRASS,ANTIQUE BRASS,,
363,18M20-08 Beacon Jacket,CLEAR TPU,MEDIA POCKET,,,0,1,CLEAR,CLEAR,CLEAR,,
364,18M20-08 Beacon Jacket,"VELCRO 2"" L x 1/2"" W HOOK & LOOP","STORM FLAP(4), HAND POCKET(2)",,,0,1,YKK BLACK #580,YKK OLIVE #566,YKK KHAKI #TB170,,
365,18M20-08 Beacon Jacket,VELCRO 4би L x 1би W LOOP,CUFF ADJUSTMENT,,,0,1,YKK BLACK #580,YKK OLIVE #566,YKK KHAKI #TB170,,
366,18M20-08 Beacon Jacket,"VELCRO 2"" L x 1"" W HOOK",CUFF ADJUSTMENT,,,0,1,YKK BLACK #580,YKK OLIVE #566,YKK KHAKI #TB170,,
