MATERIAL_ID,0,1,2,3,4,5
6,INSULATION:,,NON INSULATED,,,TARGET FOB:
10,,"Hyperbola / SC670-6 3L micro-rip, w/printed tricot","""S""",,,
15,NON INSULATED,,,,,
21,NOT LINED,,HOOD,,,
22,NOT LINED,,MAIN BODY,,,
23,NOT LINED,,SLEEVES,,,
24,SHELL,,SECONDARY POCKET BAGS,,,
25,NOT LINED,,LOWER BODY,,,
26,SOLID COATED 210T,SOLIS / SONP006-PU03,POWDER SKIRT,100% NYLON,COLOR,
27,SHELL,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
28,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
29,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
30,POWER STRETCH MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,COLOR,
31,POWER STRETCH MESH,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,COLOR,
32,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
33,SOLID 210T ,SOLIS / SONP006-1,UPPER OF SLEEVE GAITER,CONTENT,COLOR,
