MATERIAL_ID,0,1,2,3,4,5,6,7
6,INSULATION:,,60G PINNECO MANTLE INSULATION ALL OVER,,,TARGET FOB:,,
10,,"LUCKY / LTC3170017-R5-H311 MICRO HB, 15K/15K",A,100% POLYESTER,INK,MILITARY,RUST,BLACK
13,POLYFILL INSULATION ,PINNECO MANTLE 60G,ALL OVER,100% POLYESTER,PINNECO MANTLE 60G,PINNECO MANTLE 60G,PINNECO MANTLE 60G,PINNECO MANTLE 60G
19,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,BLACK,BLACK,BLACK,BLACK
20,PRINTED SATIN,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,MAIN BODY,100% POLYESTER,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print
21,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK,BLACK
22,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS OTHER THAN HAND,100% NYLON,BLACK,BLACK,BLACK,BLACK
23,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,BLACK,BLACK,BLACK,BLACK
24,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
25,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
26,POWER STRETCH MESH ,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
27,POWER STRETCH MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
28,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,,BLACK,BLACK,BLACK,BLACK
