WORD_ID,VOCAB_WORD,prob_ctg_1,prob_ctg_0,prob_in_all_doc
133,clip,0.014716372,0.001368137,0.01053674
134,wearer,5.21857E-05,0.002106009,0.000695284
135,lafuma,5.21857E-05,0.001890796,0.000627896
136,swivel,5.21857E-05,0.002136754,0.000704911
137,set,5.21857E-05,0.00198303,0.000656777
138,film,0.000991529,0.001491116,0.001147961
139,belt,0.000156557,0.001890796,0.000699586
140,stopper,0.004070486,0.001706328,0.003330215
141,finish,0.001409014,0.001506488,0.001439536
142,pseudo,5.21857E-05,0.001752445,0.000584575
143,white,0.000260929,0.001906169,0.00077609
144,waist,5.21857E-05,0.001706328,0.000570135
145,embroideri,0.004279229,0.000645638,0.00314147
146,edg,0.000939343,0.001552605,0.001131369
147,width,0.000104371,0.00178319,0.000630047
148,code,5.21857E-05,0.001798562,0.000599016
149,women,0.0003653,0.001690956,0.000780393
150,camo,5.21857E-05,0.001860052,0.000618269
151,band,0.000887157,0.00158335,0.001105151
152,dwr,0.000887157,0.001537233,0.001090711
153,fli,5.21857E-05,0.001721701,0.000574948
154,coat,0.002765843,0.000937712,0.002193414
155,inner,5.21857E-05,0.001475744,0.000497934
156,attach,5.21857E-05,0.001690956,0.000565322
157,sampl,0.003496443,0.000722499,0.002627859
158,jkt,5.21857E-05,0.001706328,0.000570135
159,nickel,5.21857E-05,0.001537233,0.000517187
160,tie,0.001878686,0.001106808,0.001636993
161,sorc,5.21857E-05,0.001629467,0.000546068
162,vislon,0.000991529,0.00138351,0.001114267
163,satin,0.001356829,0.001168297,0.001297795
164,made,0.000626229,0.001444999,0.000882604
165,auto,5.21857E-05,0.001521861,0.000512374
166,seal,0.0007306,0.001275903,0.000901347
167,part,5.21857E-05,0.001629467,0.000546068
168,vertic,5.21857E-05,0.001352765,0.000459426
169,panel,0.000104371,0.001429627,0.000519339
170,w,0.000102681,0.000101863,0.000102425
171,critic,0.0010959,0.001260531,0.00114745
172,self,0.0043836,0.00026133,0.003092825
173,custom,5.21857E-05,0.001521861,0.000512374
