,Unnamed: 0,Style,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none.1,none.2,amount,0,0.1,0.2,location ,silt,military,ink,port,bone,black,walnut,location,colorway 1,colorway 4,colorway 5,colorway 6,soil,vintage camo broken twill,dusty green,0.3,soil / black,black / oxblood,gunmetal / bombay,dark slate,rust,raven,none.3,none.4,slider ref number,floral print broken twill,black/ rust,bone/ black,gunmetal/ ink,details,colorways,0.4,black overdye denim,brown overdye denim,bone/floral print,rust / black,ink / gunmetal,gunmetal,silt ,bone ,silt / gunmetal,walnut / ink,camo,sand / dark slate,harvest / raven,raw blue denim,pink,ref number,winter 2018/2019,contractor:,soluna
2695,36,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,thread,,spi,,,,,,,,amount,0,0,0,,,military,,,,black,,supplier/ ref number,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,37,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,seams,,10-12 spi,,,,,,,,none,none,none,none,,,match to shell,,,,match to shell,,Feb-30,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,38,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,topstitch,,8-10 spi,,,,,,,,none,none,none,none,,,match to shell,,,,match to shell,,heavy weight topstitch,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,39,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,bartacks,,none,,,,,,,,none,none,none,none,,,match to shell,,,,match to shell,,100/2,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,40,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,labels ,,supplier/ reference number,,,,,,,,amount,0,0,0,,,military,,,,black,,location,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,41,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,10k/10k critically seam sealed,,soluna/ main label,,,,,,,,1,none,none,none,,,none,,,,10k/10k critically seam sealed,,center back below neck seam,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,42,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,size label (sample size s),,soluna/ size label,,,,,,,,1,none,none,none,,,none,,,,"xs, s, m, l",,center back below main label,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,43,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,hang tags,,supplier/ reference number,,,,,,,,amount,0,0,0,,,military,,,,black,,location,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,44,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,womens jacket hang tag,,soluna/ womens jacket hang tag,,,,,,,,1,none,none,none,,,none,,,,womens jacket hang tag,,left side hand pocket zipper,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,45,L1TA-205-18_HELLDIVER_04_05_17_TRIMS.csv,care and content labels,,supplier/ reference number,,,,,,,,amount,0,0,0,,,military,,,,black,,location,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,1,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,a,broken twill,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",none,,,,none,none,none,,,,,a,,x,,,,x,,,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,17,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,hand pocket bags,brushed tricot,supplier / ref code,100% polyester,,,,none,none,none,,,,,hand pocket bags,,black,,,,black,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,16,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,chin guard,brushed tricot,supplier / ref code,100% polyester,,,,none,none,none,,,,,chin guard,,black,,,,black,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,3,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,location ,insulation,supplier/ reference number,content,,,,0,0,0,,,,,location ,,military,,,,black,,,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,10,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,location ,lining,supplier/ reference number,content,,,,0,0,0,,,,,location ,,military,,,,black,,,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,19,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,location ,lower leg lining print (see pdf),supplier/ reference number,content,,,,0,0,0,,,,,location ,,military,,,,black,,,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,20,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,lower leg front and back,on coated 210t,please source ,none,,,,none,none,none,,,,,lower leg front and back,,pantone 16-5807 tcx silt ,,,,pantone 16-5807 tcx silt ,,,,,,,,pantone 16-5807 tcx silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,0,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,a,oxford,"solis/  oxford l2-581 ,10k/10k, c6 +dwr",none,,,,none,none,none,,,,,a,,military,,,,black,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
