,description,item,ref,amount,colorway/4,colorway/5,colorway/6
1,center front,#5 vislon,ykk za snap on // 1-way seperating auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
2,chest pocket,#5 metal,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider and teeth / dtm tape,none,none
3,underarms,#5 coil,dadhr diecast wire (non ykk) auto lock (zip up to close) ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
4,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / black tape,none,none
5,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
6,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,pseudo anti silver ,none,none
7,underarms, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none
8,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none
9,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
10,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none
11,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none
12,"cf, hand and chest pockets",l1 snap,luks / l1-2016-trim-002,7,pseudo anti silver/ brown ,none,none
13,hood ,rectangle cord lock,luks / l1-2016-trim-017,1 per side = 2,brown,none,none
14,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
15,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none
16,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none
17,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none
18,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
19,hem cord locks,cord lock,knk / sp-177,1 per side = 2,matte black,none,none
20,hem cord tips,cord tip,knk / cs-074,1 per side = 2,matte black,none,none
21,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
22,hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,pseudo anti silver ,none,none
23,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none
24,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
25,hem,3mm stretch shockcord,suppler / ref nuber,none,none,none,none
26,drawcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
27,hood,10mm flat woven lace,suppler / ref nuber,none,dtm,none,none
28,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
29,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none
30,hem cord lock tie down,"1/4"" flat webbing loop",suppler / ref nuber,1 per side = 2,black,none,none
31,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none
32,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none
33,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none
34,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
35,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none
36,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none
37,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none
38,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,1,black,none,none
39,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
40,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none
41,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none
42,cf placket,1.3 cm x 4cm,paiho / hooketn7 / loop#1057,4 sets,matching,none,none
43,hand pocket flaps,1.3 cm x 7.5cm,paiho / hooketn7 / loop#1057,2 sets per pocket,matching,none,none
44,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3
45,seams,none,#604,none,matching,none,none
46,topstitch,none,#606,none,matching,none,none
47,bartacks,none,none,none,matching,none,none
48,sleeve gaiter cover stitch,none,none,none,matching,none,none
49,marketing,description,ref number,amount,colorway 1 ,colorway 2,colorway 3
50,left hand pocket zipper head,l1 hang tag,none,1,l1 hang tag,none,none
51,lining cb facing,wp breath / size label / rn ca / made in ___,none,1,none,none,none
52,lining left side seam,address label,sew as loop,1,address label,none,none
53,lining left side seam,content label,sew as loop,1,content label,none,none
54,lining left side seam,washing label,sew as loop,1,washing label,none,none
55,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none
