,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black
2, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hand pockets,1 per side = 2,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black
3, #5 coil zipper,non ykk / 2-way non locking / dadhr diecast wire (zip down to close),balls out venting,1,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black
4, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black
5,additional zipper pulls,supplier/ reference number,location,amount,rust,black,ink,military
6,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,front and back hand pockets,4,brown faux leather,brown faux leather,brown faux leather,brown faux leather
7, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell
8,branded trims,supplier/ reference number,location,amount,rust,black,ink,military
9,"l1-2018-trim-022
l1 19mm shank",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
10,"l1-2018-trim-009
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm ",luks,cargo (2) back (2) pocket flaps,4,x,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
11,"l1-2018-trim-009
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm ",luks,cargo (2) back (2) pocket flaps,4,sas46 pseudo anti silver,x,x,x
12,"l1-2018-trim-003
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",please source,front left cargo pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
13,"l1-2018-trim-004
brown faux leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",please source,back left pocket flap,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
14,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,brown leather,brown leather,brown leather
15,trims,supplier/ reference number,location,amount,rust,black,ink,military
16,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,sas46 pseudo anti silver,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
17,boot hook,xxx,front gaiter,1 per side = 2,sas46 pseudo anti silver,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
18,keyclip,as production,right leg pocket,1,black,black,black,black
19,notions,supplier/ reference number,location,amount,rust,black,ink,military
20,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell
21,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell
22,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black
23,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black
24,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black
25,"elastic 1"" ",factory,fast stash glove holder left cargo pocket,1,black,black,black,black
26,velcro,supplier/ reference number,location,amount,rust,black,ink,military
27," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",cargo pocket flaps (hidden),2 per flap = 4,match to shell,match to shell,match to shell,match to shell
28," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",back pocket flaps (hidden),2 per flap = 4,match to shell,match to shell,match to shell,match to shell
29,thread,spi,supplier/ ref number,amount,rust,black,ink,military
30,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),Feb-30,regular thread,matching,matching,matching,matching
31,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching
32,topstitch,8-10 spi,Feb-30,regular thread,matching,matching,matching,matching
33,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching
34,bartacks,none,100/2,regular thread,matching,matching,matching,matching
35,labels ,supplier/ reference number,location,amount,rust,black,ink,military
36,10k/10k fully taped,soluna/ main label,inner front right,1,10k/10k fully taped,none,none,none
37,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none
38,hang tags,supplier/ reference number,location,amount,rust,black,ink,military
39,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none
40,pant slim fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant slim fit hang tag,none,none,none
41,care and content labels,supplier/ reference number,location,amount,rust,black,ink,military
42,address label,factory sourced,lining left side seam,1,none,none,none,none
43,content label,factory sourced,lining left side seam,1,none,none,none,none
44,washing label,factory sourced,lining left side seam,1,none,none,none,none
