,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,micro rip stop,"solis / sotl120-d
micro rip",a,none,silt,port,walnut,black
2,insulation,supplier/ reference number,location ,content,silt,port,walnut,black
3,polyfill insulation ,pinneco core 150g,all over,none,150g,150g,150g,150g
4,seam tape,supplier/ reference number,location ,content,silt,port,walnut,black
5,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
6,lining,supplier/ reference number,location ,content,silt,port,walnut,black
7,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
8,printed satin,solis/ pr258 womens print,main body,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
9,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black
10,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black
11,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
12,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
13,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
14,powerstretch mesh,supplier / ref code,underarm vents,100% polyester,black,black,black,black
15,powerstretch mesh,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
16,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
