,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 vislon zipper,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black
2, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black
3, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4010 tcx ink,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black
4,additional zipper pulls,supplier/ reference number,location,amount,military,bone,ink,black
5,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,1,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper
6,11nt-045 / self fabric pull,factory made,underarm vents,1 per side = 2,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
7,11nt-045 / self fabric pull,factory made,hand pockets vertical,1 per side = 2,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
8,branded trims,supplier/ reference number,location,amount,military,bone,ink,black
9,"l1-2018-trim-009
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",luks,"center front placket,  hand pocket flaps",7,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper
10,"l1-2018-trim-028/ 
l1 wmns - freedom patch
brown faux leather",please source,left shoulder,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
11,"l1-2018-trim-003 /
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",please source,front right hem,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
12,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",soluna/ l1-2016-026,left sleeve hem,1,match to shell,match to shell,match to shell,match to shell
13,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",soluna/ l1-2016-027,back right,1,match to shell,match to shell,match to shell,match to shell
14,trims,supplier/ reference number,location,amount,military,bone,ink,black
15,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",cp016 copper,cp016 copper,cp016 copper,cp016 copper
16,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,cp016 copper,cp016 copper,cp016 copper,cp016 copper
17,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,cp016 copper,cp016 copper,cp016 copper,cp016 copper
18,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,cp016 copper,cp016 copper,cp016 copper,cp016 copper
19,metal eyelets 8mm ,luk's / et04,hem cord exit,2 per side = 4 ,cp016 copper,cp016 copper,cp016 copper,cp016 copper
20,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
21,cord lock,sv160819-4a,hem adjust exposed at lining,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
22,bead,sv160725-1a,hem adjust,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
23,bead,sv160725-1a,front hood adjust,1 per side = 2,19-0515 tcx military,12-0105 tcx bone,19-4010 tcx ink,19-4006 tcx black
24,keyclip,as production ,right hand pocket,1 per side = 2,black,black,black,black
25,notions,supplier/ reference number,location,amount,military,bone,ink,black
26,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black
27,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black
28,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black
29,"grosgrain: 3/4"" wide  (fold in 1/2, 1/2"" finished tab length)",none,lining pocket,1,black,black,black,black
30,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
31,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
