,Style,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none,location,amount,0,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald,none.1,none.2,sample size: small / size range: xs-l,none.3
0,N18-204 TRAVERSE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0,,,,,,,,,,,,,
1,N18-204 TRAVERSE_SHELL.csv,polyfill,"pinneco
mantle-b-040-152",upper body,100% polyester,40g,none,none,none,none,none,,,,,,,,,,,,,
2,N18-204 TRAVERSE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0,,,,,,,,,,,,,
3,N18-204 TRAVERSE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0,,,,,,,,,,,,,
4,N18-204 TRAVERSE_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,none,none,none,none,none,,,,,,,,,,,,,
5,N18-204 TRAVERSE_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,none,none,none,none,none,,,,,,,,,,,,,
6,N18-204 TRAVERSE_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,color,none,none,none,none,none,,,,,,,,,,,,,
7,N18-204 TRAVERSE_SHELL.csv,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,none,none,none,none,none,,,,,,,,,,,,,
8,N18-204 TRAVERSE_SHELL.csv,regular mesh,supplier / ref code,leg vents,100% polyester,color,none,none,none,none,none,,,,,,,,,,,,,
0,N18-105 REDUCE ANORAK_TRIMS.csv,#5 vislon zipper,ykk / dalh 1-way semi auto locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,center front,1,none,,,,,,,,,,
1,N18-105 REDUCE ANORAK_TRIMS.csv, #5 coil zipper,non ykk / dfw short 1-way non locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,chest pocket vertical,1,none,,,,,,,,,,
2,N18-105 REDUCE ANORAK_TRIMS.csv, #5 coil zipper,non ykk / dfw short 2-way bottom locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,side entry (right),1,none,,,,,,,,,,
3,N18-105 REDUCE ANORAK_TRIMS.csv, #5 coil zipper,non ykk / dfw short 1-way non locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
4,N18-105 REDUCE ANORAK_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
5,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,center front,1,none,,,,,,,,,,
6,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,chest pocket vertical,1,none,,,,,,,,,,
7,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,side entry (right),2,none,,,,,,,,,,
8,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
9,N18-105 REDUCE ANORAK_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
10,N18-105 REDUCE ANORAK_TRIMS.csv,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,,,color,none,none,none,none,,front left hem,1,none,,,,,,,,,,
11,N18-105 REDUCE ANORAK_TRIMS.csv,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",,,color,none,none,none,none,,hood and sleeve hems,3,none,,,,,,,,,,
12,N18-105 REDUCE ANORAK_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
13,N18-105 REDUCE ANORAK_TRIMS.csv,8mm metal eyelet,luk's / et04,,,color,none,none,none,none,,hem adjust (left side),2,none,,,,,,,,,,
14,N18-105 REDUCE ANORAK_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
15,N18-105 REDUCE ANORAK_TRIMS.csv,velcro,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
16,N18-105 REDUCE ANORAK_TRIMS.csv,thread,spi,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,supplier/ ref number,amount,0,,,,,,,,,,
17,N18-105 REDUCE ANORAK_TRIMS.csv,labels ,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
