,Style,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none,location,amount,0,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald,none.1,none.2,sample size: small / size range: xs-l,none.3
7,N18-202 ALTAI_SHELL.csv,power stretch mesh,supplier / ref code,leg vents,100% polyester,color,none,none,none,none,none,,,,,,,,,,,,,
0,W18-107 CRUSH PACKABLE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0,,,,,,,,,,,,,
1,W18-107 CRUSH PACKABLE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0,,,,,,,,,,,,,
2,W18-107 CRUSH PACKABLE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0,,,,,,,,,,,,,
3,W18-107 CRUSH PACKABLE_SHELL.csv,brushed tech mesh,supplier / ref code,chin facing,100% polyester,color,none,none,none,none,none,,,,,,,,,,,,,
4,W18-107 CRUSH PACKABLE_SHELL.csv,solid 210t ,solis / sonp006-1,pocket bags (top hand),100% nylon,color,none,none,none,none,none,,,,,,,,,,,,,
5,W18-107 CRUSH PACKABLE_SHELL.csv,mesh,supplier / ref code,pocket bags (palm side),100% polyester,color,none,none,none,none,none,,,,,,,,,,,,,
0,W18-108 REDUCE ANORAK_TRIMS.csv,#5 vislon,ykk / dalh 1-way semi auto locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,center front,1,none,,,,,,,,,,
1,W18-108 REDUCE ANORAK_TRIMS.csv,#5 vislon,ykk / dfw short 1-way non locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
2,W18-108 REDUCE ANORAK_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
3,W18-108 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,center front,1,none,,,,,,,,,,
4,W18-108 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
5,W18-108 REDUCE ANORAK_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
6,W18-108 REDUCE ANORAK_TRIMS.csv,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,,,color,none,none,none,none,,front left hem,1,none,,,,,,,,,,
7,W18-108 REDUCE ANORAK_TRIMS.csv,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",,,color,none,none,none,none,,hood and sleeve hems,3,none,,,,,,,,,,
8,W18-108 REDUCE ANORAK_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
9,W18-108 REDUCE ANORAK_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
10,W18-108 REDUCE ANORAK_TRIMS.csv,velcro,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
11,W18-108 REDUCE ANORAK_TRIMS.csv,thread,spi,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,supplier/ ref number,amount,0,,,,,,,,,,
12,W18-108 REDUCE ANORAK_TRIMS.csv,labels ,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
13,W18-108 REDUCE ANORAK_TRIMS.csv,hang tags,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
14,W18-108 REDUCE ANORAK_TRIMS.csv,care and content labels,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
0,N18-106 SUMMIT PACKABLE_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk / dalh/dag 2-way semi auto locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,center front,1,none,,,,,,,,,,
1,N18-106 SUMMIT PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,chest pocket horizontal,1,none,,,,,,,,,,
2,N18-106 SUMMIT PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
3,N18-106 SUMMIT PACKABLE_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
4,N18-106 SUMMIT PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,center front,1,none,,,,,,,,,,
5,N18-106 SUMMIT PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,chest pocket,1,none,,,,,,,,,,
6,N18-106 SUMMIT PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
7,N18-106 SUMMIT PACKABLE_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
8,N18-106 SUMMIT PACKABLE_TRIMS.csv,"nitro trim number: n18-trim-009
nitro speech bubble 
heat transfer 3cm x 3cm",sealon,,,color,none,none,none,none,,"left sleeve hem, 3"" up from cuff, centered over sleeve fold",1,none,,,,,,,,,,
9,N18-106 SUMMIT PACKABLE_TRIMS.csv,"nitro trim number: n18-trim-010
nitro text
reflective heat transfer",sealon,,,color,none,none,none,none,,"back right: 4 1/2” to the right 
of cb, inline with 
underarm.",1,none,,,,,,,,,,
10,N18-106 SUMMIT PACKABLE_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
11,N18-106 SUMMIT PACKABLE_TRIMS.csv,8mm metal eyelet,luk's / et04,,,color,none,none,none,none,,hood adjust,2 per side = 4,none,,,,,,,,,,
12,N18-106 SUMMIT PACKABLE_TRIMS.csv,8mm metal eyelet,luk's / et04,,,color,none,none,none,none,,hem adjust (right side),2,none,,,,,,,,,,
13,N18-106 SUMMIT PACKABLE_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
14,N18-106 SUMMIT PACKABLE_TRIMS.csv,bonding film,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
15,N18-106 SUMMIT PACKABLE_TRIMS.csv,velcro,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
16,N18-106 SUMMIT PACKABLE_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,,,match to shell,none,none,none,none,,cuff on body,1 per side = 2,none,,,,,,,,,,
17,N18-106 SUMMIT PACKABLE_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,,,match to shell,none,none,none,none,,cuff on tab,1 per side = 2,none,,,,,,,,,,
18,N18-106 SUMMIT PACKABLE_TRIMS.csv,thread,spi,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,supplier/ ref number,amount,0,,,,,,,,,,
19,N18-106 SUMMIT PACKABLE_TRIMS.csv,labels ,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
20,N18-106 SUMMIT PACKABLE_TRIMS.csv,hang tags,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
21,N18-106 SUMMIT PACKABLE_TRIMS.csv,care and content labels,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
0,N18-108 ACCESS softshell_TRIMS.csv, #5 vislon aquaguard matte film (5vt9),ykk / dalh/dag 2-way semi auto locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,center front,1,none,,,,,,,,,,
1,N18-108 ACCESS softshell_TRIMS.csv, #5 vislon aquaguard matte film (5vt9),ykk /  dfw short 1-way non locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
2,N18-108 ACCESS softshell_TRIMS.csv, #5 coil zipper,non ykk / dfw short 1-way non locking,,,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,,lining pocket vertical,1,none,,,,,,,,,,
3,N18-108 ACCESS softshell_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
4,N18-108 ACCESS softshell_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,center front,1,none,,,,,,,,,,
5,N18-108 ACCESS softshell_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
6,N18-108 ACCESS softshell_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
7,N18-108 ACCESS softshell_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
8,N18-108 ACCESS softshell_TRIMS.csv,8mm metal eyelet,luk's / et04,,,color,none,none,none,none,,hem adjust,2 per side = 4,none,,,,,,,,,,
9,N18-108 ACCESS softshell_TRIMS.csv,bead,luk's / et04,,,color,none,none,none,none,,hem adjust,1 per side = 2,none,,,,,,,,,,
10,N18-108 ACCESS softshell_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
11,N18-108 ACCESS softshell_TRIMS.csv,bonding film,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
12,N18-108 ACCESS softshell_TRIMS.csv,velcro,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
13,N18-108 ACCESS softshell_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,,,match to shell,none,none,none,none,,cuff on body,1 per side = 2,none,,,,,,,,,,
14,N18-108 ACCESS softshell_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,,,match to shell,none,none,none,none,,cuff on tab,1 per side = 2,none,,,,,,,,,,
15,N18-108 ACCESS softshell_TRIMS.csv,thread,spi,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,supplier/ ref number,amount,0,,,,,,,,,,
16,N18-108 ACCESS softshell_TRIMS.csv,labels ,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
17,N18-108 ACCESS softshell_TRIMS.csv,hang tags,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
18,N18-108 ACCESS softshell_TRIMS.csv,care and content labels,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
0,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,fly,1,none,,,,,,,,,,
1,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk /  1-way dfw short non locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,hand pockets,1 per side = 2,none,,,,,,,,,,
2,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,back pockets horizontal ,1 per side = 2,none,,,,,,,,,,
3,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,chest pocket,1,none,,,,,,,,,,
4,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),"ykk dfw/dfw non lock // 2-way  closed end separating,  sliders close up and down, top is open end, bottom is closed",,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,side entry,1 per side = 2,none,,,,,,,,,,
5,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,hem gusset ,1 per side = 2,none,,,,,,,,,,
6,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
7,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,hand pocket zippers,1 per side = 2,none,,,,,,,,,,
8,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,back pockets horizontal ,1 per side = 2,none,,,,,,,,,,
9,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,chest pocket,1,none,,,,,,,,,,
10,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,side entry zippers,2 per side = 4,none,,,,,,,,,,
11,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
12,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro trim number 11nt-033 / logo metal grommet,luks/ et07-n0711,,,color,none,none,none,none,,front left belt loop,1,none,,,,,,,,,,
13,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro trim number (?)/ nitro embossed suspender elastic,chun wo ho / e1343016 38mm,,,color,none,none,none,none,,shoulder straps,1 per side= 2,none,,,,,,,,,,
14,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,heat transfer,sealon/,,,color,none,none,none,none,,back left leg,1,none,,,,,,,,,,
15,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,nitro trim number n18-trim-020 / nitro gripper elastic,chun wo ho/ e1337216 25mm,,,color,none,none,none,none,,gaiter hems,2,none,,,,,,,,,,
16,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
17,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,15mm metal snap,xxx,,,cap and base color,none,none,none,none,,"""village hem"" leg snaps",1 per side = 2,none,,,,,,,,,,
18,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,boot hook,xxx,,,metal color,none,none,none,none,,front gaiter,1 per side = 2,none,,,,,,,,,,
19,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,keyclip,xxx,,,black,none,none,none,none,,right hand pocket,1,none,,,,,,,,,,
20,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,clip,"duraflex/
simplex buckle (38mm) 11-90298-000000
11-90299-000000",,,black,none,none,none,none,,buckle on suspender elastic straps,1 per side = 2,none,,,,,,,,,,
21,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,tpr sliplok,"duraflex/
(38mm) tpr sliplok #2-04428",,,black,none,none,none,none,,adjust on suspender elastic straps,1 per side = 2,none,,,,,,,,,,
22,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
23,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,grosgrain,xxx,,,color,none,none,none,none,,"under ""village hem"" leg snaps",1 per side = 2,none,,,,,,,,,,
24,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,grosgrain,xxx,,,color,none,none,none,none,,under boot hook,1 per side = 2,none,,,,,,,,,,
25,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,"grosgrain 1/4""",xxx,,,color,none,none,none,none,,right hand pocket attach keyclip,1,none,,,,,,,,,,
26,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,bonding film,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
27,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,bonding film,xxx,,,color,none,none,none,none,,waist adjust tabs,1 per side = 2,none,,,,,,,,,,
28,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,bonding film,xxx,,,color,none,none,none,none,,fly opening,1,none,,,,,,,,,,
29,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,bonding film,xxx,,,color,none,none,none,none,,hand pocket zipper garages / welts,1 per side = 2,none,,,,,,,,,,
30,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,bonding film,xxx,,,color,none,none,none,none,,back pocket flaps,1 per side = 2,none,,,,,,,,,,
31,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,bonding film,xxx,,,color,none,none,none,none,,hem gusset welts,1 per side = 2,none,,,,,,,,,,
32,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,velcro,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
33,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,"1"" x 1 1/4"" velcro with rounded corners",paiho loop #1057 on top / paiho hook etn7 on bottom,,,match to shell,none,none,none,none,,waist band,2 tabs,none,,,,,,,,,,
34,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,,,match to shell,none,none,none,none,,back pocket flaps (hidden),2 per side,none,,,,,,,,,,
35,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,"1 1/4"" x 4 1/2"" velcro with rounded corners",paiho loop #1057 ,,,match to shell,none,none,none,none,,waist adjust - on body,1 per side = 2,none,,,,,,,,,,
36,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,"1 1/4"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,,,match to shell,none,none,none,none,,waist adjust - on tabs,1 per side = 2,none,,,,,,,,,,
37,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,thread,spi,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,supplier/ ref number,amount,0,,,,,,,,,,
38,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,labels ,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
39,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,hang tags,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
40,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,care and content labels,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
0,N18-112_ATACAMA_PONCHO_TRIMS.csv, #5 coil zipper,ykk / 5 dalh 1-way semi auto locking,,,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,,center front,1,none,,,,,,,,,,
1,N18-112_ATACAMA_PONCHO_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
2,N18-112_ATACAMA_PONCHO_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,center front,1,none,,,,,,,,,,
3,N18-112_ATACAMA_PONCHO_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
4,N18-112_ATACAMA_PONCHO_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
5,N18-112_ATACAMA_PONCHO_TRIMS.csv,8mm metal eyelet,luk's / et04,,,color,none,none,none,none,,hood adjust,2,none,,,,,,,,,,
6,N18-112_ATACAMA_PONCHO_TRIMS.csv,15mm snap ,luk's / 404,,,color,none,none,none,none,,side entry,8,none,,,,,,,,,,
7,N18-112_ATACAMA_PONCHO_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
8,N18-112_ATACAMA_PONCHO_TRIMS.csv,shockcord,xxx,,,color,none,none,none,none,,hood,1,none,,,,,,,,,,
9,N18-112_ATACAMA_PONCHO_TRIMS.csv,velcro,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
10,N18-112_ATACAMA_PONCHO_TRIMS.csv,thread,spi,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,supplier/ ref number,amount,0,,,,,,,,,,
11,N18-112_ATACAMA_PONCHO_TRIMS.csv,labels ,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
12,N18-112_ATACAMA_PONCHO_TRIMS.csv,hang tags,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
13,N18-112_ATACAMA_PONCHO_TRIMS.csv,care and content labels,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
0,N18-104 POWELL_TRIMS.csv, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,,,silder/pull color: tbd zipper tape color: black,none,none,none,none,,center front,1,none,,,,,,,,,,
1,N18-104 POWELL_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,,,silder/pull color: tbd zipper tape color: black,none,none,none,none,,chest pocket horizontal,1,none,,,,,,,,,,
2,N18-104 POWELL_TRIMS.csv, #3 coil zipper,non ykk /  1-way dfw short non locking,,,silder/pull color: tbd zipper tape color: black,none,none,none,none,,sleeve pocket,1,none,,,,,,,,,,
3,N18-104 POWELL_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,,,silder/pull color: tbd zipper tape color: black,none,none,none,none,,underarm vents,1 per side = 2,none,,,,,,,,,,
4,N18-104 POWELL_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,,,silder/pull color: tbd zipper tape color: black,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
5,N18-104 POWELL_TRIMS.csv,additional zipper pulls,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
6,N18-104 POWELL_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,center front 1 top pull only,1,none,,,,,,,,,,
7,N18-104 POWELL_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,chest pocket horizontal,1,none,,,,,,,,,,
8,N18-104 POWELL_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,sleeve pocket,1,none,,,,,,,,,,
9,N18-104 POWELL_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,underarm vents,1 per side = 2,none,,,,,,,,,,
10,N18-104 POWELL_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,,,color,none,none,none,none,,hand pockets vertical,1 per side = 2,none,,,,,,,,,,
11,N18-104 POWELL_TRIMS.csv,branded trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
12,N18-104 POWELL_TRIMS.csv,nitro trim number //  metal snap,xxx,,,color,none,none,none,none,,chin,1,none,,,,,,,,,,
13,N18-104 POWELL_TRIMS.csv,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",,,color,none,none,none,none,,powder skirt gripper elastic ,1,none,,,,,,,,,,
14,N18-104 POWELL_TRIMS.csv,goggle pocket binding,chun wo ho,,,color,none,none,none,none,,goggle pocket opening,1,none,,,,,,,,,,
15,N18-104 POWELL_TRIMS.csv,trims,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
16,N18-104 POWELL_TRIMS.csv,15mm metal snap,luk's / 404,,,metal color,none,none,none,none,,hidden at hem ,1,none,,,,,,,,,,
17,N18-104 POWELL_TRIMS.csv,15mm metal snap,luk's / 404,,,metal color,none,none,none,none,,snap away powder skirt - lining facing ,1 male 1 female,none,,,,,,,,,,
18,N18-104 POWELL_TRIMS.csv,15mm metal snap,luk's / 404,,,metal color,none,none,none,none,,powder skirt - front closure,"1 female, 2 male",none,,,,,,,,,,
19,N18-104 POWELL_TRIMS.csv,15mm metal snap,luk's / 404,,,metal color,none,none,none,none,,powder skirt - jacket to pant connection on tabs,3 sets,none,,,,,,,,,,
20,N18-104 POWELL_TRIMS.csv,8mm metal eyelet,luk's / et04,,,metal color,none,none,none,none,,front hood adjust,2 per side = 4,none,,,,,,,,,,
21,N18-104 POWELL_TRIMS.csv,8mm metal eyelet,luk's / et04,,,metal color,none,none,none,none,,hem adjust ,2 per side = 4,none,,,,,,,,,,
22,N18-104 POWELL_TRIMS.csv,metal eyelets 11mm ,luk's / et89,,,metal color,none,none,none,none,,back hood adjust,1,none,,,,,,,,,,
23,N18-104 POWELL_TRIMS.csv,notions,supplier/ reference number,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,,location,amount,0,,,,,,,,,,
24,N18-104 POWELL_TRIMS.csv,"grosgrain 1/4""",xxx,,,color,none,none,none,none,,attach front hood cord lock,1 per side = 2,none,,,,,,,,,,
25,N18-104 POWELL_TRIMS.csv,"grosgrain 3/8""",xxx,,,color,none,none,none,none,,attach back hood cord lock,1,none,,,,,,,,,,
26,N18-104 POWELL_TRIMS.csv,"grosgrain 3/8""",xxx,,,color,none,none,none,none,,attach hem cord lock,1 per side = 2,none,,,,,,,,,,
27,N18-104 POWELL_TRIMS.csv,"grosgrain 1/4""",xxx,,,color,none,none,none,none,,attach keyclip right hand pocket ,1,none,,,,,,,,,,
28,N18-104 POWELL_TRIMS.csv,"grosgrain 3/4"" x 1"" ",xxx,,,color,none,none,none,none,,powder skirt jacket to pant connection tabs behind snaps,1,none,,,,,,,,,,
29,N18-104 POWELL_TRIMS.csv,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,,,color,none,none,none,none,,powder skirt jacket to pant connection tabs,3 pieces ,none,,,,,,,,,,
