MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
10,,,,,FABRICS & LININGS,,,,,
11,A,Shell Fabric,SOTP069-2L32-AE 100% Polyester 80/20 DWR TPU MEMBRANE (supplied by SOLIS),"Main Body, sleeves, pockets, collar",,BLACK,VINTAGE BLUE,RED DAWN,,
12,A,Shell Fabric,SOTP069-PR03-AE 100% Polyester 80/20 DWR TPU MEMBRANE (supplied by SOLIS),"Main Body, sleeves, pockets, collar",,,,,NIGHT JUNGLE,WOOD DUCK CRITTERFLAGE
13,B,Lining,EMB07 Taffeta emboss (Supplied by ECOYA),"Inside lining, pocket bag",,OLD GOLD,OLD GOLD,BLACK,BLACK,BLACK
14,C,Pellon,lightweight interfacing (item# TBD),"Collar, placket, cuffs",,WHITE,WHITE,WHITE,WHITE,WHITE
17,AA,Hardware,Shirt Buttons  17mm ,(5) C.F,5,BLACK,BLACK,BLACK,BLACK,BLACK
18,BB,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)",(2) Cuffs,2,BI-08 DULL DARK PEWTER,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS
19,CC,Hardware,Male snap only (incl. washers),(2) Cuffs,2,BI-08 DULL DARK PEWTER,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS
20,DD,Main Label,ABWV_84 S.Layer Main Label,"inside c.b. neck, see Q/A for placement",1,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK
21,EE,Size Label,ABWV_69 Inside Joke Label,sewn in and centered below main label,1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
22,FF,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,BLACK
23,GG,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
24,HH,Branding,ABWV_75  Glacier Seam Label,"LEFT side seam, see placement page for detail",1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
27,II,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD
28,JJ,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD
29,KK,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
30,LL,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,TBD
31,MM,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,TBD
36,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
38,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
