MATERIAL_ID,0,1,2,3,4,5,6,7
10,FABRICS & LININGS,,,,,,,
11,A,Shell Fabric,SOTF036-1 100% POLYESTER Terry Jacquard Bonded Fleece (provided by Solis),"Sleeves, placket, collar",,BLACK,BLACK,BLACK
12,A,Shell Fabric,SOTF036-1 100% POLYESTER Terry Jacquard Bonded Fleece (provided by Solis),Front and back main body,,HEATHER GRAY,OXBLOOD,SEA PINE
15,AA,Hardware,"SUNGRIP CHIC Plastic Snap button, 13mm (incl. washers)",(4) Placket,4,BLACK G850,BLACK G851,BLACK G852
16,BB,Main Label,TBD,Centered 1.5cm below CB neck,1,BLACK/MOONBEAM,BLACK/MOONBEAM,BLACK/MOONBEAM
17,CC,Size Label,ABWV_207 Made in Vietnam Woven Label,sewn in and centered below ABWV_84,1,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY
18,DD,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from waistband seam",1,Black/White,Black/White,Black/White
19,EE,ABWVLP_01 Woven loop,ABWVLP_205 Loop Label,inside center back neck seam,1,BLACK,BLACK,BLACK
20,FF,Branding,TBD,TBD,1,TBD,TBD,TBD
23,GG,HANGTAG,TBD,TBD,1,TBD,TBD,TBD
24,HH,HANGTAG,TBD,TBD,1,TBD,TBD,TBD
25,II,polybag w/ warning matter (supplied by your side),Airpill Logo Print:  16 cm,Same as 1314 Bulk Outerwear Production,1,TBD,TBD,TBD
26,JJ,UPC sticker,Sticker width 3.5 cm,"Place in looker's lower right corner, 2 cm from each edge.  UPC sticker to be provided by factory for 13/14",1,WHITE,WHITE,WHITE
27,KK,Country of Origin sticker,Made in China sticker,Centered above UPC sticker,1,WHITE,WHITE,WHITE
32,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down",,,,,
33,4,BAR TACT:,"At stress points, bottom of C.F. zipper and at waistband zipper ends",,,,,
34,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,
38,9,NINJA BOX:,1 garment per Ninja Packing Box; UPC sticker on outside packing box,,,,,
