MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
3,,,Insulation:,"100gm in the body and hood,sleeves",,Collection: Freedom Series,,,,
10,,,,,FABRICS & LININGS,,,,,
11,A,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),"Upper body, sleeves, hood, top half of storm flap, pockets, back neck self fabric patch",,BLACK,OXBLOOD,NAVY,MINT JULEP,AB18WJ1_091
12,B,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),"lower body, lower half of storm flap",,BLACK,OXIDE,CAMEL,MINT JULEP,AB18WJ1_091
13,C,Lining,210T-E EMB07 Terry Emboss Taffeta (Supplied by Ecoya),"Inside lining, powder skirt, pocket bag",,OLD GOLD,BLACK,OLD GOLD,BLACK,AB18WJ1_091
14,D,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"Comfort chin guard, inner front pocket bag panel",,OLD GOLD,BLACK,OLD GOLD,BLACK,AB18WJ1_091
15,E,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, large internal goggle pocket",,OLD GOLD,BLACK,OLD GOLD,BLACK,AB18WJ1_091
16,F,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),"powder skirt, wrist gators, hood drawcord tunnel",,OLD GOLD,BLACK,OLD GOLD,BLACK,AB18WJ1_091
17,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18WJ1_091
18,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18WJ1_091
19,I,Other,100gm Insulation,"Body, hood, sleeves",,,,,,AB18WJ1_091
20,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18WJ1_091
21,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18WJ1_091
23,,,,,ZIPPERS,,,,,AB18WJ1_091
24,AA,Zipper,"YKK No.5 NYLON COIL zipper,auto-lock sliders DA8LH, Right hand puller,Left hand insert ",C.F.,1,BLACK,OXBLOOD 097,CAMEL 161,MINT JULEP 829,AB18WJ1_091
25,BB,Zipper,YKK No.5 NYLON COIL  zipper.  Auto-lock puller DA8LH1. (ZIP CLOSES TO SIDE SEAM),(2) Hand pockets,2,BLACK,OXBLOOD 097,CAMEL 161,MINT JULEP 829,AB18WJ1_091
26,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,OXBLOOD 097,CAMEL 161,MINT JULEP 829,AB18WJ1_091
27,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zip closes UP)",(1) Napoleon pocket,1,BLACK,OXBLOOD 097,CAMEL 161,MINT JULEP 829,AB18WJ1_091
28,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2)Hand pockets(1) Napoleon pocket, (1) C.F. (2) vents",6,BLACK,BLACK,BLACK,BLACK,AB18WJ1_091
