,brand,style,description,outter ,inner,fabric,trims,item,supplier,ref,spec,width:,weight:,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5
38,edier,eiv4439,labels,1,0,0,1,woven hangloop eiderref: eiw15-07supplier: sml,inside collar,none,none,none,none,none,1,black,black,none,none,none
39,edier,eiv4439,labels,1,0,0,1,size woven label mmgalpha women topsupplier: smlref: lws18-04,inside collar under hangloop,none,none,none,none,none,1,black,black,none,none,none
40,edier,eiv4439,labels,1,0,0,1,canadian labelfor paddinglocal sourcing,inside left,none,none,none,none,none,1,white,white,none,none,none
41,edier,eiv4439,labels,1,0,0,1,satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3,"under snow skirt, left side at 16cm from the bottommust be out of the store pocket for sms",none,none,none,none,none,1,white,white,none,none,none
42,edier,eiv4439,hangtas,1,0,0,1,"plastic pinlocal sourcingto be confirmed10cm, white",none,none,none,none,none,to attach the hangtag,1,none,none,none,none,none
43,edier,eiv4439,hangtas,1,0,0,1,biggencode stickerlocal sourcing5cm x 5cm,none,none,none,none,none,sticked at back of corporate hangtag,1,none,none,none,none,none
44,edier,eiv4439,hangtas,1,0,0,1,brand hangtageid_1_corporate  (eidht01 / orli : 396031 )supplier: ,none,none,none,none,none,position 1,1,none,none,none,none,none
45,edier,eiv4439,hangtas,1,0,0,1,engagement hangtageid_2_pfcfree  (eidht025 / 396045 :)supplier: triple star,none,none,none,none,none,position 2,1,none,none,none,none,none
46,edier,eiv4439,hangtas,1,0,0,1,engagement hangtageid_2_lowimpact  (eidht024 / 396070 :)supplier: triple star,none,none,none,none,none,position 3,1,none,none,none,none,none
47,edier,eiv4439,hangtas,1,0,0,1,fabric hangtageid_3_defender10/10_fst  (eidht0303 / 396050 : )supplier: triple star,none,none,none,none,none,position 4,1,none,none,none,none,none
48,edier,eiv4439,hangtas,1,0,0,1,eid_4_eloft ball  (eidht043 / 396065 : ),none,none,none,none,none,position 5,1,none,none,none,none,none
49,edier,eiv4439,zippers,0,1,0,1,ykkreversed zip5mmref slider dalh,none,none,none,none,none,front opening for ias system,1,dark night,blue morpho,none,none,none
50,edier,eiv4439,zippers,0,1,0,1,ykkreversible injected zip5mmref slider #du,none,none,none,none,none,front opening for ias system,1,dark night,blue morpho,none,none,none
