,position,ref num,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
14,additional zipper pulls,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
21,branded trims,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
30,nitro trim # nordic tape,chun wo ho,storm flap ,1,color,none,none,none,none,none
31,trims,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
42,notions,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
46,"grosgrain 3/8""",xxx,attach hem cord lock,1 per side = 2,color,none,none,none,none,none
47,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,1,color,none,none,none,none,none
48,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,1,color,none,none,none,none,none
49,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,3 pieces ,color,none,none,none,none,none
50,wide elastic  ,xxx,encased in back of sleeve cuffs,1 per side = 2,color,none,none,none,none,none
51,shockcord,xxx,hem,1,color,none,none,none,none,none
53,velcro,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
54,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,chin,1,match to shell,none,none,none,none,none
55," 1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,center front placket,4,match to shell,none,none,none,none,none
56,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 paiho / hooketn7 ,hand pocket flaps,2 per flap,match to shell,none,none,none,none,none
57,thread,spi,supplier/ ref number,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
61,labels ,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
63,hang tags,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
65,care and content labels,supplier/ reference number,location,amount,black,chive/chino,merlot,cascade/chino,smkd pink ,coco/ emerald
