,label,material/trim,description,location,qty,black,duffel,rust,butter
10,a,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"main body, sleeves. hood",none,black,duffel,rust,butter
11,b,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",none,black,black,black,black
12,c,other , velvety tricot - soto048-p (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",none,modern athlete,modern athlete,modern athlete,modern athlete
13,d,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,black,black,black
14,e,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,none,black,black,black,black
15,f,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,black,black,black
16,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
17,h,other,60gm insulation,"main body, hood and sleeves",none,white,white,white,white
18,i,other,gripper elastic,powder skirt,none,black,black,black,black
19,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
20,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
22,aa,zipper,"ykk no.5 2-way coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,duffel 237,rust 236,butter 510
23,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,black,duffel 237,rust 236,butter 510
24,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,duffel 237,rust 236,butter 510
25,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,black,duffel 237,rust 236,butter 510
26,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"cf, (2) hand pockets, (1) internal pocket, (2) vents",6,black,black,black,black
28,ff,stoppers,barrel stopper k-018,2) hood,2,black,dark olive,black,dark olive
29,gg,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
30,hh,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening, ",4,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
31,ii,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",14,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
32,jj,hardware,male snap only (incl. washers),"(2) powder skirt, (2)cuffs",4,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10
33,kk,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,dark olive,black,dark olive
34,ll,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black
35,mm,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
36,nn,main label,abwv_67 freedom main label,"inside c.b. neck, centered below abwv_110",1,olive/black,olive/black,olive/black,olive/black
37,oo,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,olive/black,olive/black,olive/black,olive/black
38,pp,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
39,qq,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,olive/black,olive/black,olive/black,olive/black
40,rr,branding,abpa_105b corey patch,"left chest, see palcement page for detail",1,bone/black/ black velcro,bone/black/ olive velcro,bone/black/ rust velcro,bone/black/ gold velcro
41,ss,branding,abwv_110 modern athlete woven label,centered 3cm below abwv_67,1,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive
43,tt,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
44,uu,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
45,vv,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
46,ww,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
47,xx,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
