,label,material/trim,description,location,qty,black,kombu green,khaki,dark navy
10,a,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, sleeves, collar, pockets",none,black,kombu green,khaki,dark navy
11,b,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),hood,none,camel,black,black,oxblood
12,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,black,black,black,black
13,d,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,black,black,black,black
14,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,black,black,black
15,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators",none,black,black,black,black
16,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
17,h,other,gripper elastic,powder skirt,none,black,black,black,black
19,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
20,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
23,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,camel 161,black,black,oxblood 097
24,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,camel 161,black,black,oxblood 097
25,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,camel 161,black,black,oxblood 097
26,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,camel 161,black,black,oxblood 097
27,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,black,black,black,black
30,ff,stoppers,round barrel stopper - k-018 ,(2) hood,2,black,black,dark olive,black
31,gg,stoppers,k343-2n push stoppers,(2) bottom hem,2,black,black,dark olive,black
32,hh,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,black,black,dark olive,black
33,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
34,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,black,black,black
35,kk,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
36,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",11,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
37,mm,hardware,male snap only (incl. washers),(2) powder skirt (2) cuffs,4,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
38,nn, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,black,dark olive,black
39,oo,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,black,black,dark olive,black
40,pp,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
41,qq,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for placement",1,gold/black,gold/black,gold/black,gold/black
42,rr,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold
43,ss,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
44,tt,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,black/gold,black/gold,black/gold
45,vv,branding,abpa_22 workwear label,"left chest, see art placement page for detail",1,brown,brown,brown,brown
48,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
49,xx,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
50,yy,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
51,zz,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
52,aaa,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
