,label,material/trim,description,location,qty,black,oxblood,navy,mint julep
10,a,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"upper body, sleeves, hood, top half of storm flap, pockets, back neck self fabric patch",none,black,oxblood,navy,mint julep
11,b,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"lower body, lower half of storm flap",none,black,oxide,camel,mint julep
12,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,old gold,black,old gold,black
13,d,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,old gold,black,old gold,black
14,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,old gold,black,old gold,black
15,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators, hood drawcord tunnel",none,old gold,black,old gold,black
16,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
17,h,other,gripper elastic,powder skirt,none,black,black,black,black
19,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
20,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
23,aa,zipper,"ykk no.5 nylon coil zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",c.f.,1,black,oxblood 097,camel 161,mint julep 829
24,bb,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes to side seam),(2) hand pockets,2,black,oxblood 097,camel 161,mint julep 829
25,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,oxblood 097,camel 161,mint julep 829
26,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket,1,black,oxblood 097,camel 161,mint julep 829
27,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2)hand pockets(1) napoleon pocket, (1) c.f. (2) vents",6,black,black,black,black
30,ff,velcro,hook and loop; l: 2.5cm x h: 1cm,(8) pocket flaps,8,black,dtm oxblood 19-1331tpx,navy t0524,mint t1216
31,gg,stoppers,round barrel stopper - k-018 , (2) hood,2,black,black,bone,bone
32,hh,webbing,"flat webbing tape, 8mm"," key clip attachment at inside wearer's right pocket, ",1,black,black,black,black
33,ii,hardware,"metal eyelets, 12mm  (incl. washers)","(4) at hood opening,",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10
34,jj,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(7) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt,(2) cuff",12,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10
35,kk,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)","(2) cuff, (2) powder skirt",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10
36,ll, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,black,bone,bone
37,mm,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
38,nn,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for details",1,gold/black,gold/black,gold/black,bone/ dark green
39,oo,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/off white
40,pp,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
41,qq,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,black/gold,black/gold,black/off white
42,rr,branding,abem_302 airblaster cursive embroidery,"right chest pocket, see palcement page for detail",1,old gold 724,black,bone 80003,bone 80003
45,tt,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
46,uu,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
47,vv,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
48,ww,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
49,xx,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
