MATERIAL_ID,0,1,2,3,4,5,6,7
5,Couch Mountain Pants,,MM Rating:,,,,,
10,,,,,FABRICS & LININGS,,,
11,A,Shell Fabric,SOTF036-1 100% POLYESTER Terry Jacquard Bonded Fleece (provided by Solis),"Main Body, back pocket, gusset",,BLACK,HEATHER GRAY,OXBLOOD
13,,,,,ZIPPERS,,,
14,AA,Zipper,"YKK No.4 coil zipper.  Auto-lock slider DA8LH,   (Closes to SIDE SEAM)",(1) Back pocket,1,BLACK,BLACK,BLACK
17,BB,Elastic,flat elastic 3.5cm finished height,Waistband,1,BLACK,BLACK,BLACK
18,CC,Drawcord,Flat Shoelace drawcord WITH HEAT SEALED ENDS  w: 1 cm (see our original sample),Inside waistband,1,BLACK,BLACK,BLACK
19,DD,Main Label,TBD,"inside LEFT panel, 2.5cm below waistband seam, and 2cm from back rise",1,BLACK/MOONBEAM,BLACK/MOONBEAM,BLACK/MOONBEAM
20,EE,Size Label,ABWV_207 Made in Vietnam Woven Label,Centered below ABWV_84,1,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY
21,FF,W/C Label,satin/printed w/c label (supplied by your side),Inside CB waist,1,BLACK,BLACK,BLACK
22,GG,Branding,TBD,TBD,1,TBD,TBD,TBD
26,HH,HANGTAG,TBD,TBD,1,TBD,TBD,TBD
27,II,HANGTAG,TBD,TBD,1,TBD,TBD,TBD
28,JJ,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,BLACK,BLACK,BLACK
29,KK,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,WHITE,WHITE,WHITE
30,LL,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,WHITE,WHITE,WHITE
35,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,
37,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,
41,9,POLY BAG:,1 garment per bag in Airpill logo'd poly bag; UPC sticker on outside ,,,,,
