MATERIAL_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
36,PP,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back waist seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/OFFWHITE,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18WP3_056
37,QQ,Branding,ABPA_115 Airblaster PU Label,"LEFT front pocket, see art placement page for detail",1,OXBLOOD/BLACK,OXBLOOD/BLACK,OXBLOOD/BLACK,OXBLOOD/BLACK,OXBLOOD/BLACK,OXBLOOD/BLACK,OXBLOOD/BLACK,OXBLOOD/BLACK,AB18WP3_056
38,RR,Branding,ABPA_117 Terry PU Label,"LEFT side seam, see palcement page for detail",1,MAHOGANY/BLACK,MAHOGANY/BLACK,MAHOGANY/BLACK,MAHOGANY/BLACK,BLACK/KHAKI,BLACK/KHAKI,BLACK/KHAKI,BLACK/KHAKI,AB18WP3_056
40,,,,PACKAGING/HANG TAGS,,,,,,,,,,AB18WP3_056
41,SS,Hangtag,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,AB18WP3_056
42,TT,Hangtag,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,AB18WP3_056
43,UU,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK,AB18WP3_056
44,VV,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,AB18WP3_056
45,WW,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,AB18WP3_056
49,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,,,,,
51,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,,,,,
55,9,POLY BAG:,1 garment per bag in Airpill logo'd poly bag; Ply Bag sticker and UPC sticker on outside,,,,,,,,,,,
