,item,supplier,ref,description,spec,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,fabric,trims,outer,inner
10,pca224,utx,,cordlock,,,,back of hood (1),1,0.06,0.058,dark grey,dark grey,dark grey,dark grey,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
11,10mm grosgrain ribbon,woosung,,grosgrain ribbon           ,,,,"anchor for pca224 cordlock at back hood, loop inside back pocket",none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
12,*new* 2mm shockcord ,tba,,custom braid,,,,hood ,none,none,yard,"orange
17-1462",sea blue,"orange
17-1462",dark grey,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
13,7mm thread eyelet,coats,,thread eyelet,,,,back of hood adjustment shockcord exit and tunnel,2,none,yard,eclipse blue,sea blue,tangerine orange,dark grey,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
14,rht-004,tba,,reflective heat transfer,,,,front left chest,1,none,0,reflective eclipse blue,reflective sea blue,reflective orange 17-1462,reflective silver,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
15,rht-009,tba,,reflective heat transfer,,,,right bicep,1,none,0,reflective orange 17-1462,reflective sea blue,reflective eclipse blue,reflective silver,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
16,dw-rc-001,factory,,reflective durawelt,,,,cb below neckseam,1,0.28,0.28,reflective silver,reflective silver,reflective silver,reflective silver,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
17,m_t42_bd,wwd,,heat transfer main interior label w/size/country,,,,interior cb neck,1,0.13,0.13,x,x,x,x,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
18,sco-lb-adrs    ,daeyong ,,address/rn & ca #s           ,,,,under normal care label      ,1,0.06,0.06,x,x,x,x,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
19,8mm grosgrain ,woosung,,grosgrain,,,,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
20,ccl-094,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,x,x,x,none,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
21,ccl-001,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,none,none,none,x,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
22,po label,daeyong ,,po label- for bulk only!,,,,interior left side seam,1,0.005,0.005,white,white,white,white,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
23,m-ht-app+chain,daeyong ,,m's apparel hangtag,,,,cf zipper slider,1,0.28,0.28,x,x,x,x,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
24,fit-ht-gen,daeyong,,general fit hang tag,,,,cf zipper slider,1,0.11,0.11,x,x,x,x,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
25,fit-ht-ath,daeyong ,,athletic fit hangtag       ,,,,cf zipper slider,1,0.055,0.055,x,x,x,x,none,none,,,scott usa,m trail mtn wb 40 jacket,0,1,1,0
26,4560,dti,,"shell fabric at hood, sleeves, front body, back body, zipper garages, windflap
facing fabric at rolled cuffs, rolled hem, pockets",,,,none,none,11.87,meter,lunar blue,lake blue,iron grey,nightfall blue,royal red,none,,,scott usa,m defined merino jkt,1,0,1,0
27,please source,none,,mesh,,,,"hand pocket bags, chest pocket bag",none,none,yard,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,,,scott usa,m defined merino jkt,1,0,1,0
28,cifol-56 da8blh1 (e)           ,ykk,,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,1,none,0,marine blue,lake blue,caviar black,nightfall blue,royal red,none,,,scott usa,m defined merino jkt,0,1,1,0
29,cfc-36 dablh (e)         ,ykk,,"#3 coil, closed end, dablh slider ",,,,chest pocket zipper,1,none,0,marine blue,lake blue,caviar black,nightfall blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
30,cfc-36 dablh (e)         ,ykk,,"#3 coil, closed end, dablh slider ",,,,hand pocket zippers,2,none,0,lunar blue,lake blue,caviar black,nightfall blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
31,zp-561/5    ,utx,,pop in puller- #5       ,,,,cf zipper,1,0.05,0.05,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
32,zp-562/3    ,utx,,pop in puller- #3        ,,,,"hand pkt zippers, chest pocket zipper",3,0.049,0.147,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
33,pca224,utx,,cordlock,,,,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,,,scott usa,m defined merino jkt,0,1,1,0
34,10mm grosgrain ribbon,woosung,,webbing,,,,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,none,,,scott usa,m defined merino jkt,0,1,1,0
35,p481s001,utx,,rubber puller ,,,,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,,,scott usa,m defined merino jkt,0,1,1,0
36,1034213,chun wo ho,,custom braid 2.2mm,,,,bottom hem,none,0.109,yard,marine blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
