,Style,amount,colorway/10,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9,content,item,location,ref
12,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black faux leather,black faux leather,black faux leather,,,,,"l1-2018-trim-002
black faux leather patch",front right hem,please source: same supplier as other faux leather trims
13,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",left sleeve hem,soluna
14,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",back right,soluna
15,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,trims,location,supplier/ reference number
16,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,2,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,15mm metal snap,front placket (hidden at chin),luk's / 404
17,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,15mm metal snap,front placket (hidden at hem),luk's / 404
18,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,"2 female, 4 male",,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,,,,,15mm metal snap,powder skirt - front closure,luk's / 404
19,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 male 1 female,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,,,,,15mm metal snap,snap away powder skirt - lining facing ,luk's / 404
20,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,3 sets,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,,,,,15mm metal snap,powder skirt - jacket to pant connection,luk's / 404
21,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,2 per side = 4,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,metal eyelets 8mm,hood cord exit front,luk's / et04
22,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,2 per side = 4,,oxcp oxidized copper,oxcp oxidized copper,oxcp oxidized copper,,,,,metal eyelets 8mm,hem cord exit,luk's / et04
23,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,19-4006 tcx black, 19-0515 tcx military,18-0513 tcx walnut,,,,,cord lock: small cord lock with tie down,front hood adjust,sun sun/ sv160824-2a
24,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,metal shockcord tip,front hood shockcord ends,see photo
25,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,keyclip,right hand pocket,as last year production
26,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,notions,location,supplier/ reference number
27,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,black,black,black,,,,,"grosgrain 1/4""",hood cord locks,please source
28,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,"grosgrain 1/4""",attach keyclip right hand pocket ,xxx
29,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,grosgrain,powder skirt - side tabs jacket to pant connection ,xxx
30,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,2,,black,black,black,,,,,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",powder skirt - side tabs jacket to pant connection ,none
31,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,,"shell fabric tab  1"" x 1"" wrap around ",jacket to pant connection center back on tab,none
32,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,,"shell fabric tab  1"" x 1"" wrap around ",jacket to pant connection center back under snap on gripper elastic,none
33,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,,,,,"shell fabric tab 3/4"" x  1"" ",jacket to pant connection at side tabs under snaps,none
34,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,"elastic 1"" x 4""",powder skirt middle tab - jacket to pant connection ,none
35,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,"elastic 1/4"" ",cable guide,none
36,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,elastine binding,goggle pocket binding,xxx
37,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,black,black,black,,,,,gripper elastic 25mm non logo,powder skirt hem,mtt0022
38,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,"two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","two-color shock cord =
colorway: 5
18-0513 tcx walnut/
19-4006 tcx black",,,,,"l1-2018-trim-030
two-color shock cord
see color ups for 
colors",hood,chun wo ho /
39,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,velcro,location,supplier/ reference number
40,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,," 1/2"" x 1 1/2"" velcro with rounded corners",chin,paiho / loop#1057 / hooketn7
41,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,4,,match to shell,match to shell,match to shell,,,,," 1/2"" x 3 velcro with rounded corners",center front placket,paiho / loop#1057 / hooketn7
42,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,,,,,"1"" x 3 3/4"" velcro with rounded corners",cuff on body,paiho / loop#1057
43,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,,,,,"1"" x 2 1/2"" velcro with rounded corners",cuff on tab,paiho / hooketn7
44,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,thread,supplier/ ref number,spi
45,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,seams,Feb-30,10-12 spi
46,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,topstitch,Feb-30,8-10 spi
47,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,bartacks,100/2,none
48,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,sleeve gaiter cover stitch,none,must be stretch thread
49,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,labels ,location,supplier/ reference number
50,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,,,,,10k/10k critically taped,center back below neck seam,soluna/ main label
51,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",,,,,size label (sample size l),center back below main label,soluna/ size label
52,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,hang tags,location,supplier/ reference number
53,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,,,,,mens jacket hang tag,left side hand pocket zipper,soluna/ mens jacket hang tag
54,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,amount,,black,military,walnut,,,,,care and content labels,location,supplier/ reference number
55,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,address label,address label,address label,,,,,address label,lining left side seam,factory sourced
56,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,content label,content label,content label,,,,,content label,lining left side seam,factory sourced
57,L1-103-18_GRIMEY_4-03-17_TRIMS.csv.csv,1,,washing label,washing label,washing label,,,,,washing label,lining left side seam,factory sourced
0,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 vislon,center front,ykk za/dag snap on // 2-way seperating auto lock 
1,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 coil,underarms,dadhr diecast wire (non ykk) auto lock (zip up to close) 
2,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 coil,side entry hand pockets,dadhr diecast wire (non ykk) auto lock 
3,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,pseudo anti silver slider  and dtm teeth / black tape,none,none,,,,,#5 coil,inside pocket,dadhr diecast wire (non ykk) auto lock 
4,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,zipper pulls,supplier/ ref number
5,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,pseudo anti silver ,none,none,,,,,l1 snap on metal zipper pull,center front,luks / l1-2016-trim-009 
6,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,shell fabric matching,none,none,,,,, self fabric pull,underarms,factory made // 11nt-045 
7,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,shell fabric matching,none,none,,,,, self fabric pull,side entry hand pockets,factory made // 11nt-045 
8,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,shell fabric matching,none,none,,,,, self fabric pull,inside pocket,factory made // 11nt-045 
9,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,l1 branded trims,supplier/ ref number
10,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,dtm,none,none,,,,,l1 small embroidery,front left sleeve,soluna / l1-2016-026
11,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,dtm,none,none,,,,,l1 large embroidery,back right ,soluna / l1-2016-027
12,L1-102-17_WINDSOR_TRIMS.csv.csv,8,,pseudo anti silver,none,none,,,,,l1 snap,front placket and pocket flaps,luks / l1-2016-trim-001
13,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,tbd,none,none,,,,,l1 new patch,right hand pocket,luks / new trim 
14,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,snaps,supplier/ ref number
15,L1-102-17_WINDSOR_TRIMS.csv.csv,"4 male, 2 female",,black,none,none,,,,,14 mm plastic snap,cf powder skirt closure,duraflex / 1414
16,L1-102-17_WINDSOR_TRIMS.csv.csv,3 sets,,black,none,none,,,,,14 mm plastic snap,pow skirt: jacket to pant connection on powderskirt hem,duraflex / 1414
17,L1-102-17_WINDSOR_TRIMS.csv.csv,"1 male, 1 female",,black,none,none,,,,,14 mm plastic snap,"""snap away powder skirt"" snap powder skirt to front facing when not in use",duraflex / 1414
18,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,cord locks,supplier/ ref number
19,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,tbd,none,none,,,,,cord lock,back hood cord lock,knk / sp-177
20,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,tbd,none,none,,,,,cord tip,back hood cord lock tip,knk / cs-074
21,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,tbd,none,none,,,,,cord lock,front hood cord locks,knk / sp-204
22,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,tbd,none,none,,,,,cord lock,hem cord locks,knk /  sp-058
23,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,tbd,none,none,,,,,cord lock,pocket cord tip,knk / cs-1
24,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,grommets,supplier/ ref number
25,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,pseudo anti silver ,none,none,,,,,grommet 11.5 mm (large),back hood cord exit,please sorce
26,L1-102-17_WINDSOR_TRIMS.csv.csv,2 per side = 4,,pseudo anti silver ,none,none,,,,,grommet  8mm diameter,front hood adjust cord exit,please sorce
27,L1-102-17_WINDSOR_TRIMS.csv.csv,2 per side = 4,,pseudo anti silver ,none,none,,,,,grommet  8mm diameter,hem adjust cord exit,please sorce
28,L1-102-17_WINDSOR_TRIMS.csv.csv,1 per side = 2,,pseudo anti silver ,none,none,,,,,grommet  8mm diameter,hem adjust cord exit in lining pocket,please sorce
29,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,shockcord,supplier/ ref number
30,L1-102-17_WINDSOR_TRIMS.csv.csv,none,,none,none,none,,,,,3mm stretch shockcord,hood & hem,suppler / ref nuber
31,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,webbing ,supplier/ ref number
32,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,"1/4"" flat x 1 3/4"" loop",keyclip loop right hand pocket,suppler / ref nuber
33,L1-102-17_WINDSOR_TRIMS.csv.csv,5,,black,none,none,,,,,"1/4"" flat webbing loop",hem & hood cord lock tie downs,suppler / ref nuber
34,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,plastic keyclip ,right hand pocket,suppler / ref nuber
35,L1-102-17_WINDSOR_TRIMS.csv.csv,tab behind each snap = 2,,black,none,none,,,,,"3/4"" x 1"" finished ",jacket to pant connection center back ,suppler / ref nuber
36,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,"3/4"" x 3 1/4"" flat webbing",jacket to pant connection at side tabs,suppler / ref nuber
37,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,elastic,supplier/ ref number
38,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,stock,none,none,,,,,25mm,powder skirt gripper elastic,suppler / ref nuber
39,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,elastine binding,goggle pocket,suppler / ref nuber
40,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,"1/4"" flat elastic",lining media pocket cable guide,suppler / ref nuber
41,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,none,encased in back of sleeve hem,suppler / ref nuber
42,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,black,none,none,,,,,"flat elastic tape 3/4"" x 4 1/4""",jacket to pant connection center back tab,suppler / ref nuber
43,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,velcro,supplier/ ref number
44,L1-102-17_WINDSOR_TRIMS.csv.csv,1 loop tab,,matching,none,none,,,,,2.5cm x 9cm,cuff ,paiho / loop#1057
45,L1-102-17_WINDSOR_TRIMS.csv.csv,1 hook tab,,matching,none,none,,,,,2.5cm x 6.5cm,cuff tab,paiho / hooketn7
46,L1-102-17_WINDSOR_TRIMS.csv.csv,4 sets,,matching,none,none,,,,,1.3 cm x 7.5cm,cf placket,paiho / hooketn7 / loop#1057
47,L1-102-17_WINDSOR_TRIMS.csv.csv,2 sets  per pocket flap,,matching,none,none,,,,,1.3 cm x 4cm,hand & chest pocket flaps,paiho / hooketn7 / loop#1057
48,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,spi,thread,ref number
49,L1-102-17_WINDSOR_TRIMS.csv.csv,none,,matching,none,none,,,,,none,seams,#604
50,L1-102-17_WINDSOR_TRIMS.csv.csv,none,,matching,none,none,,,,,none,topstitch,none
51,L1-102-17_WINDSOR_TRIMS.csv.csv,none,,matching,none,none,,,,,none,bartacks,none
52,L1-102-17_WINDSOR_TRIMS.csv.csv,none,,matching,none,none,,,,,none,sleeve gaiter cover stitch,none
53,L1-102-17_WINDSOR_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,description,marketing,ref number
54,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,l1 hang tag,none,none,,,,,l1 hang tag,left hand pocket zipper head,none
55,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,none,none,none,,,,,wp breath / size label / rn ca / made in ___,lining cb facing,none
56,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,address label,none,none,,,,,address label,lining left side seam,sew as loop
57,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,content label,none,none,,,,,content label,lining left side seam,sew as loop
58,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,washing label,none,none,,,,,washing label,lining left side seam,sew as loop
59,L1-102-17_WINDSOR_TRIMS.csv.csv,1,,clear zip tie,none,none,,,,,clear zip tie,front left belt loop to attach hang tags,supplier // 
0,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,silt ,military,black,,,,none,broken twill,a,"soluna/ sonp020-cc01-m
cotton touch, 5k/5k, c6+dwr"
1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,silt ,military,black,,,,none,ribbing,"collar, sleeve hems",leader collar as last year
2,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,silt ,military,black,,,,content,insulation,location ,supplier/ reference number
3,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,60g pinneco core,60g pinneco core,60g pinneco core,,,,100% polyester,polyfill,all over,60g pinneco core
4,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,silt ,military,black,,,,content,seam tape,location ,supplier/ reference number
5,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,critically taped,critically taped,critically taped,,,,none,not seam taped,critically taped,tsgs
6,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,silt ,military,black,,,,content,lining,location ,supplier/ reference number
7,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,,,,100% polyester,printed satin,hood,solis/ pr258 womens print
8,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,black,black,black,,,,100% nylon,solid 210t ,sleeves,solis/ sonp006-1 
9,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,black,black,black,,,,100% nylon,solid 210t ,arm pocket bag,supplier / ref code
10,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,,,,100% polyester,printed satin,hand pocket bags,solis/ pr258 womens print
11,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL.csv.csv,,,black,black,black,,,,100% polyester,brushed tricot,chin guard,supplier / ref code
0,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,silt / gunmetal,walnut / ink,,,,,100% polyester,broken twill,a,"solis/ sotw182-d
flannel / brush, c6+ dwr"
1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,silt / gunmetal,walnut / ink,,,,,content,insulation,location ,supplier/ reference number
2,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,pinneco mantle 40g,pinneco mantle 40g,,,,,100% polyester,polyfill insulation ,all over,pinneco mantle 40g
3,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,silt / gunmetal,walnut / ink,,,,,content,seam tape,location ,supplier/ reference number
4,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,none,none,,,,,none,no seam tape,none,none
5,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,silt / gunmetal,walnut / ink,,,,,content,lining,location ,supplier/ reference number
6,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,ink 19-4010 tcx   ,ink 19-4010 tcx   ,,,,,100% polyester,solid quilted satin,main body,solis/ pr258
7,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,ink 19-4010 tcx   ,ink 19-4010 tcx   ,,,,,100% nylon,solid satin,pocket bags,solis/ pr258
8,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL.csv.csv,,,black,black,,,,,100% nylon,solid 210t ,sleeves,solis/ sonp006-1 
0,L1-202-17_OVERALL_SHELL.csv.csv,,,black,none,none,none,none,none,100% poly,oxford 10k/10k coating + c6 dwr 80/10 $4.00,all shell is same fabric,solis oxford l2-581
1,L1-202-17_OVERALL_SHELL.csv.csv,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,insulation,supplier/ ref number
2,L1-202-17_OVERALL_SHELL.csv.csv,,,no,none,none,none,none,none,none,none,non insulated,none
3,L1-202-17_OVERALL_SHELL.csv.csv,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,seam tape,supplier/ ref number
4,L1-202-17_OVERALL_SHELL.csv.csv,,,fully,none,none,none,none,none,none,width...seam tape,fully taped,sealon
5,L1-202-17_OVERALL_SHELL.csv.csv,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,lining,supplier/ ref number
6,L1-202-17_OVERALL_SHELL.csv.csv,,,black,none,none,none,none,none,100% nylon,solid 210t,body,please sorce
7,L1-202-17_OVERALL_SHELL.csv.csv,,,black,none,none,none,none,none,100% nylon,coated 210t,lower leg & gaiter,please sorce
8,L1-202-17_OVERALL_SHELL.csv.csv,,,black,none,none,none,none,none,100% poly,120g brushed tricot,waistband & fly,please sorce
9,L1-202-17_OVERALL_SHELL.csv.csv,,,black,none,none,none,none,none,100% poly,120g brushed tricot,hand pocket lining,please sorce
10,L1-202-17_OVERALL_SHELL.csv.csv,,,black,none,none,none,none,none,100% poly,mesh,"""balls out"" venting",please sorce
0,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 vislon,center front,ykk za snap on // 1-way seperating auto lock 
1,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,pseudo anti silver slider and teeth / dtm tape,none,none,,,,,#5 metal,chest pocket,dadhr diecast wire (non ykk) auto lock 
2,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1 per side = 2,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 coil,underarms,dadhr diecast wire (non ykk) auto lock (zip up to close) 
3,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,pseudo anti silver slider  and dtm teeth / black tape,none,none,,,,,#5 coil,inside pocket,dadhr diecast wire (non ykk) auto lock 
4,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,zipper pulls,supplier/ ref number
5,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,pseudo anti silver ,none,none,,,,,l1 snap on metal zipper pull,center front,luks / l1-2016-trim-009 
6,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1 per side = 2,,shell fabric matching,none,none,,,,, self fabric pull,underarms,factory made // 11nt-045 
7,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,shell fabric matching,none,none,,,,, self fabric pull,inside pocket,factory made // 11nt-045 
8,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,l1 branded trims,supplier/ ref number
9,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,dtm,none,none,,,,,l1 small embroidery,front left sleeve,soluna / l1-2016-026
10,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,1,,dtm,none,none,,,,,l1 large embroidery,back right ,soluna / l1-2016-027
11,L1-104-17_LEGACY_MARCH17_TRIMS.csv.csv,7,,pseudo anti silver/ brown ,none,none,,,,,l1 snap,"cf, hand and chest pockets",luks / l1-2016-trim-002
