,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
22,airblaster,AB17MP2_054,0,1,flag  label,ablt_01 flag label (airpill logo side),left vent 2cm up from bottom of vent,1,black/white,black/white,black/white,black/white,,,,,1,0
23,airblaster,AB17MP2_054,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
24,airblaster,AB17MP2_054,0,1,branding,abpa_77 freedom seam label,"right cargo poacket, see placement page for detail",1,black/oxblood,black/oxblood,brown/dark brown,black/oxblood,,,,,1,0
25,airblaster,AB17MP2_054,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
26,airblaster,AB17MP2_054,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
27,airblaster,AB17MP2_054,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,,,,,1,0
28,airblaster,AB17MP2_054,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,,,,,1,0
29,airblaster,AB17MP2_054,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,,,,,1,0
0,airblaster,AB18KNJ1_002,1,0,main fabric,94% spun polyester 6%spandex single jersey + wicking               r21103023,main body,none,black,moose,pizza,mens fish,,,,,1,0
1,airblaster,AB18KNJ1_002,1,0,binding,94% spun polyester 6%spandex single jersey + wicking                      r21103023,hood opening,none,black,moose,pizza,mens fish,,,,,1,0
2,airblaster,AB18KNJ1_002,0,1,thread,none,flatlock seams upper body,none,black,black,black,excalibur 18-3905,,,,,1,0
3,airblaster,AB18KNJ1_002,0,1,thread,none,flatlock seams lower body,none,black,red 19-1763tpx,black,olive 18-0420tpx,,,,,1,0
4,airblaster,AB18KNJ1_002,0,1,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,c.f. zipper,1,black,red 519,black,dk grey 155,,,,,1,0
5,airblaster,AB18KNJ1_002,0,1,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,waistband zipper,1,black,red 519,black,dk grey 155,,,,,1,0
6,airblaster,AB18KNJ1_002,0,1,main label,abtr_538v transfer label 100% polyester,"inside c.b. neck, 3  cm below neck seam",1,white,white,black,white,,,,,1,0
7,airblaster,AB18KNJ1_002,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black,black,black,black,,,,,1,0
8,airblaster,AB18KNJ1_002,0,1,embroidery,ninja star abem_015a 2-color ,"at wearer's left chest, sewn directly to chest with sns edge stitch, see palcement page for detail  (a. star color, b. pill color)",1,a) metallic silver st101                      b) black,,yellow/red/black/brown,,,,,,1,0
9,airblaster,AB18KNJ1_002,0,1,embroidery,abem_310 pizza ninja star,"at wearer's left chest, sewn directly to chest with sns edge stitch",1,,tbd,tbd,none,,,,,1,0
10,airblaster,AB18KNJ1_002,0,1,hangtag,none,c.f. zipper. use white color webbing rope to attach. supplied by sml.,1,tbd,clear,clear,none,,,,,1,0
11,airblaster,AB18KNJ1_002,0,1,size sticker,clear size indication zipper,2 pcs placed on each designated white square on side of packing box.,2,clear,white,white,none,,,,,1,0
12,airblaster,AB18KNJ1_002,0,1,upc sticker,sticker width 3.5 cm,"at bottom side of ninja suit packaging box.  place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 12/13.",1,white,black,black,none,,,,,1,0
13,airblaster,AB18KNJ1_002,0,1,ninja packing box,see sample,garment folded neatly and placed in packing box.  will advise ordering information when available.,1,black,,,,,,,,1,0
0,airblaster,AB19WJ3_088,1,0,shell fabric,sota074-r01 100% polyester  cire coating,"main body, sleeves, pockets",none,black,olive night,oxblood,sea pine,,,,,1,0
1,airblaster,AB19WJ3_088,0,1,other,"1x1 rib knit,good quality arcylic/spandex","cuffs, collar",none,black,black,black,black,,,,,1,0
2,airblaster,AB19WJ3_088,1,0,lining,210t taffeta 100% nylon emb07 terry emboss supplied by ecoya,inside lininglower pocket bag,none,black,old gold,old gold,black,,,,,1,0
3,airblaster,AB19WJ3_088,1,0,pellon,lightweight interfacing (item# tbd), collar,none,white,white,white,white,,,,,1,0
4,airblaster,AB19WJ3_088,0,1,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",c.f.,1,black tape with vymj matte black teeth,olive night 173 tape with vymj matte black teeth,oxblood 097 tape with vymj matte black teeth,sea pine 320 tape with vymj matte black teeth,,,,,1,0
5,airblaster,AB19WJ3_088,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",(2) pockets,2,bz black copper,bz black copper,bz black copper,bz black copper,,,,,1,0
6,airblaster,AB19WJ3_088,0,1,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam,,,,,1,0
7,airblaster,AB19WJ3_088,0,1,size label,abwv_207 made in vietnam woven label,sewn in and centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray,,,,,1,0
8,airblaster,AB19WJ3_088,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
9,airblaster,AB19WJ3_088,0,1,loop label,abwvlp_205 loop label,inside center back neck seam,1,black,black,black,black,,,,,1,0
10,airblaster,AB19WJ3_088,0,1,woven label,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
11,airblaster,AB19WJ3_088,0,1,woven label,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
12,airblaster,AB19WJ3_088,0,1,hangtag,aquapel hangtag,cf zipper,1,black/white,black/white,black/white,black/white,,,,,1,0
13,airblaster,AB19WJ3_088,0,1,hangtag,tbd,tbd,1,black/white,black/white,black/white,black/white,,,,,1,0
14,airblaster,AB19WJ3_088,0,1,polybag w/ warning matter,airpill logo print:  16 cm,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
15,airblaster,AB19WJ3_088,0,1,country of origin sticker (supplied by your side),made in china sticker,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
16,airblaster,AB19WJ3_088,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB19MJ2_105,1,0,shell fabric,sotp069-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,bronze brown,pineneedle,sterilng blue,rose smoke,,,,1,0
1,airblaster,AB19MJ2_105,1,0,lining, soto048-p velvety tricot -  smooth side used as face side (supplied by solis),"inside body lining, pocket bag",none,night jungle,night jungle,night jungle,night jungle,night jungle,,,,1,0
2,airblaster,AB19MJ2_105,1,0,lining,210t-e emb07 taffeta emboss 100% nylon (supplied by ecoya),sleeves,none,black,black,black,black,black,,,,1,0
3,airblaster,AB19MJ2_105,1,0,pellon,lightweight interfacing (item# tbd)  (supplied by you),"collar, placket, cuffs, welts",none,white,white,white,white,white,,,,1,0
4,airblaster,AB19MJ2_105,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)  (supplied by you)",(5)c.f.,5,bz black copper,bz black copper,bz black copper,sno antique silver,sno antique silver,,,,1,0
5,airblaster,AB19MJ2_105,0,1,hardware,"metal eyelets, 12mm (incl. washers)  (supplied by you)", (2) inside bottom hem,2,bz black copper,bz black copper,bz black copper,sno antique silver,sno antique silver,,,,1,0
6,airblaster,AB19MJ2_105,0,1,stopper,leather stopper abstpr_134 leather pig nose  stopper, (2) bottom hem drawcord,2,black,black,black,black,black,,,,1,0
7,airblaster,AB19MJ2_105,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm  (supplied by you),bottom hem,1,black,black,black,black,black,,,,1,0
8,airblaster,AB19MJ2_105,0,1,elastic , 2.5 cm flat elastic  (supplied by you),(2) cuffs,2,black,black,black,black,black,,,,1,0
9,airblaster,AB19MJ2_105,0,1,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam,,,,1,0
10,airblaster,AB19MJ2_105,0,1,size label,abwv_207 made in vietnam woven label,sewn in and centered below main label,1,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray,,,,1,0
11,airblaster,AB19MJ2_105,0,1,w/c label,satin label with print  (supplied by you),"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,,,,1,0
12,airblaster,AB19MJ2_105,0,1,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,black,black,black,black,black,,,,1,0
13,airblaster,AB19MJ2_105,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
14,airblaster,AB19MJ2_105,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
15,airblaster,AB19MJ2_105,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
16,airblaster,AB19MJ2_105,0,1,polybag w/ warning matter,airpill logo print:  16 cm (supplied by you),centered on poly bag,1,clear,clear,clear,clear,clear,,,,1,0
17,airblaster,AB19MJ2_105,0,1,country of origin sticker (supplied by your side),made in china sticker  (supplied by you),centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
18,airblaster,AB19MJ2_105,0,1,upc sticker (supplied by your side),sticker width 3.5 cm  (supplied by you),lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
0,airblaster,AB19WJ1_075F,1,0,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"main body, hood, sleeves, pockets, sleeve tabs, back neck self fabric patch",none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,AB19WJ1_075F,1,0,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"front and back body, powder skirt, pocket bag, sleeve lining,  hood",none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,AB19WJ1_075F,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,AB19WJ1_075F,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,tbd,tbd,tbd,tbd,,,,,1,0
4,airblaster,AB19WJ1_075F,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, hood drawcord tunnel, wrist gaiter",none,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,AB19WJ1_075F,1,0,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
6,airblaster,AB19WJ1_075F,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
7,airblaster,AB19WJ1_075F,1,0,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear,,,,,1,0
8,airblaster,AB19WJ1_075F,1,0,insulation,80gm insulation,"main body, hood, sleeves",none,white,white,white,white,,,,,1,0
9,airblaster,AB19WJ1_075F,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,1,0
10,airblaster,AB19WJ1_075F,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
11,airblaster,AB19WJ1_075F,0,1,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,tbd,tbd,tbd,tbd,,,,,1,0
12,airblaster,AB19WJ1_075F,0,1,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,tbd,tbd,tbd,tbd,,,,,1,0
13,airblaster,AB19WJ1_075F,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,tbd,tbd,tbd,tbd,,,,,1,0
14,airblaster,AB19WJ1_075F,0,1,zipper,"ykk no.5 nylon coil open end, hidden chain zipper, auto-lock slider da8lh",removable powder skirt,1,tbd,tbd,tbd,tbd,,,,,1,0
15,airblaster,AB19WJ1_075F,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,tbd,tbd,tbd,tbd,,,,,1,0
16,airblaster,AB19WJ1_075F,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,tbd,tbd,tbd,tbd,,,,,1,0
17,airblaster,AB19WJ1_075F,0,1,velcro,hook; l: 3.8 .cm x h: 1.6cm,cuff adjustment tab,2,tbd,tbd,tbd,tbd,,,,,1,0
18,airblaster,AB19WJ1_075F,0,1,velcro,loop; l: 8cm x h: 1.6cm,cuff adjustment at cuff,2,tbd,tbd,tbd,tbd,,,,,1,0
19,airblaster,AB19WJ1_075F,0,1,velcro,hook and loop; w: 1.6 cm x h: 5cm,(4)storm flap,4,tbd,tbd,tbd,tbd,,,,,1,0
20,airblaster,AB19WJ1_075F,0,1,velcro,hook and loop,pass pocket at powder skirt,1,tbd,tbd,tbd,tbd,,,,,1,0
21,airblaster,AB19WJ1_075F,0,1,hand pulls,round barrel stopper - k-018 ," (2) hood, (2) waistband adjustment",2,tbd,tbd,tbd,tbd,,,,,1,0
22,airblaster,AB19WJ1_075F,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
23,airblaster,AB19WJ1_075F,0,1,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black,,,,,1,0
24,airblaster,AB19WJ1_075F,0,1,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd,,,,,1,0
25,airblaster,AB19WJ1_075F,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(1) snap tabs at inside bottom hem,  (2) at powder skirt",3,tbd,tbd,tbd,tbd,,,,,1,0
26,airblaster,AB19WJ1_075F,0,1,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,tbd,tbd,tbd,tbd,,,,,1,0
27,airblaster,AB19WJ1_075F,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,"hood opening, (1) waist adjustment",2,tbd,tbd,tbd,tbd,,,,,1,0
28,airblaster,AB19WJ1_075F,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
29,airblaster,AB19WJ1_075F,0,1,main label,tbd,"inside c.b. neck, see q/a for details",1,tbd,tbd,tbd,tbd,,,,,1,0
30,airblaster,AB19WJ1_075F,0,1,size label,abwv_69v vietnam size label,sewn in and centered below abwv_109,1,tbd,tbd,tbd,tbd,,,,,1,0
31,airblaster,AB19WJ1_075F,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
32,airblaster,AB19WJ1_075F,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd,,,,,1,0
33,airblaster,AB19WJ1_075F,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
34,airblaster,AB19WJ1_075F,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
35,airblaster,AB19WJ1_075F,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
36,airblaster,AB19WJ1_075F,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
37,airblaster,AB19WJ1_075F,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
38,airblaster,AB19WJ1_075F,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
39,airblaster,AB19WJ1_075F,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB19WP3_056,1,0,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,AB19WP3_056,1,0,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,AB19WP3_056,1,0,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,AB19WP3_056,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,tbd,tbd,tbd,tbd,,,,,1,0
4,airblaster,AB19WP3_056,0,1,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,AB19WP3_056,0,1,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pockets,2,tbd,tbd,tbd,tbd,,,,,1,0
6,airblaster,AB19WP3_056,0,1,zipper pull,abzp_01 utility cord pulls,(2) pockets,2,tbd,tbd,tbd,tbd,,,,,1,0
7,airblaster,AB19WP3_056,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,tbd,tbd,tbd,tbd,,,,,1,0
8,airblaster,AB19WP3_056,0,1,hardware,12mm metal eyelet  (incl. washers),front waistband 5cm each side of center front (2),2,tbd,tbd,tbd,tbd,,,,,1,0
9,airblaster,AB19WP3_056,0,1,hardware,"abel_01 metal airblaster eyelet (incl. washers, supplied by wellsucceed)",front left belt loop,1,tbd,tbd,tbd,tbd,,,,,1,0
10,airblaster,AB19WP3_056,0,1,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
11,airblaster,AB19WP3_056,0,1,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
12,airblaster,AB19WP3_056,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd,,,,,1,0
13,airblaster,AB19WP3_056,0,1,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,,,,,1,0
14,airblaster,AB19WP3_056,0,1,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black,,,,,1,0
15,airblaster,AB19WP3_056,0,1,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black,,,,,1,0
16,airblaster,AB19WP3_056,0,1,main label,tbd,inside c.b. waist see q/a for detail,1,tbd,tbd,tbd,tbd,,,,,1,0
17,airblaster,AB19WP3_056,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,,,,,1,0
18,airblaster,AB19WP3_056,0,1,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black,,,,,1,0
19,airblaster,AB19WP3_056,0,1,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white,,,,,1,0
20,airblaster,AB19WP3_056,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd,,,,,1,0
21,airblaster,AB19WP3_056,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
22,airblaster,AB19WP3_056,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
23,airblaster,AB19WP3_056,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
24,airblaster,AB19WP3_056,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
25,airblaster,AB19WP3_056,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,,,,,1,0
26,airblaster,AB19WP3_056,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,,,,,1,0
27,airblaster,AB19WP3_056,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,,,,,1,0
0,airblaster,AB17MP4_037,1,0,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,,khaki,kombu green,,,,,,1,0
1,airblaster,AB17MP4_037,1,0,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,,black,black,,,,,,1,0
2,airblaster,AB17MP4_037,1,0,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,,black,black,,,,,,1,0
3,airblaster,AB17MP4_037,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,,black,black,,,,,,1,0
4,airblaster,AB17MP4_037,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,,khaki 886,duffel 237,,,,,,1,0
5,airblaster,AB17MP4_037,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,,khaki 886,duffel 237,,,,,,1,0
6,airblaster,AB17MP4_037,0,1,zipper,"ykk no.3 nylon conceal zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,,khaki 886,duffel 237,,,,,,1,0
7,airblaster,AB17MP4_037,0,1,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,,black,black,,,,,,1,0
8,airblaster,AB17MP4_037,0,1,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,,dark anti brass bi-18,dark anti brass bi-18,,,,,,1,0
9,airblaster,AB17MP4_037,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,,dark anti brass bi-18,dark anti brass bi-18,,,,,,1,0
10,airblaster,AB17MP4_037,0,1,hardware,12mm metal eyelet  (incl. washers),"front waistband 10cm each side of center front (2), left belt loop (1)",3,,dark anti brass bi-18,dark anti brass bi-18,,,,,,1,0
11,airblaster,AB17MP4_037,0,1,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,,black oxidized,black oxidized,,,,,,1,0
12,airblaster,AB17MP4_037,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,,black,dark olive,,,,,,1,0
13,airblaster,AB17MP4_037,0,1,elastic,gripper elastic,at inside lower leg gators,2,,black,black,,,,,,1,0
14,airblaster,AB17MP4_037,0,1,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for detail",1,,gold/black,gold/black,,,,,,1,0
15,airblaster,AB17MP4_037,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,,black/gold,black/gold,,,,,,1,0
16,airblaster,AB17MP4_037,0,1,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,,black,black,,,,,,1,0
17,airblaster,AB17MP4_037,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,,black/gold,black/gold,,,,,,1,0
18,airblaster,AB17MP4_037,0,1,branding,abpa_77 freedom seam label,"hammer pocket, see placement page for detail",1,,black/oxblood,brown/ dark brown,,,,,,1,0
19,airblaster,AB17MP4_037,0,1,hangtag,tbd,tbd,1,,tbd,tbd,,,,,,1,0
20,airblaster,AB17MP4_037,0,1,hangtag,tbd,tbd,1,,tbd,tbd,,,,,,1,0
21,airblaster,AB17MP4_037,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,,black,black,,,,,,1,0
22,airblaster,AB17MP4_037,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,,white,white,,,,,,1,0
23,airblaster,AB17MP4_037,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,,white,white,,,,,,1,0
0,airblaster,AB18MJ2_081,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, sleeves, collar, pockets",none,black,khaki,kombu green,dark navy,,,,,1,0
1,airblaster,AB18MJ2_081,1,0,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),hood,none,camel,black,black,oxblood,,,,,1,0
2,airblaster,AB18MJ2_081,1,0,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,black,black,black,black,,,,,1,0
3,airblaster,AB18MJ2_081,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,black,black,black,black,,,,,1,0
4,airblaster,AB18MJ2_081,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,black,black,black,,,,,1,0
5,airblaster,AB18MJ2_081,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators",none,black,black,black,black,,,,,1,0
6,airblaster,AB18MJ2_081,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
7,airblaster,AB18MJ2_081,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
8,airblaster,AB18MJ2_081,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,1,0
9,airblaster,AB18MJ2_081,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
10,airblaster,AB18MJ2_081,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,camel 161,black,black,oxblood 097,,,,,1,0
11,airblaster,AB18MJ2_081,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,camel 161,black,black,oxblood 097,,,,,1,0
12,airblaster,AB18MJ2_081,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,camel 161,black,black,oxblood 097,,,,,1,0
13,airblaster,AB18MJ2_081,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,camel 161,black,black,oxblood 097,,,,,1,0
14,airblaster,AB18MJ2_081,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,black,black,black,black,,,,,1,0
15,airblaster,AB18MJ2_081,0,1,stoppers,round barrel stopper - k-018 ,(2) hood,2,black,dark olive,black,black,,,,,1,0
16,airblaster,AB18MJ2_081,0,1,stoppers,k343-2n push stoppers,(2) bottom hem,2,black,dark olive,black,black,,,,,1,0
17,airblaster,AB18MJ2_081,0,1,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,black,dark olive,black,black,,,,,1,0
18,airblaster,AB18MJ2_081,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
19,airblaster,AB18MJ2_081,0,1,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,black,black,black,,,,,1,0
