,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
0,airblaster,AB18MJ1_075,1,0,shell fabric,sond035-2l1-h 100%nylon 10k/8k dwr+breathable coating (supplied by li peng),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,tbd,tbd,tbd,,,,,,1,0
1,airblaster,AB18MJ1_075,1,0,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,,,,tbd,tbd,tbd,,,1,0
2,airblaster,AB18MJ1_075,1,0,lining,210 t taffeta (supplied by li peng),"powder skirt, pocket bag",none,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
3,airblaster,AB18MJ1_075,1,0,other , velvety tricot - item# bb47-6b,"inside lining, comfort chin guard, inner front pocket bag panel",none,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
4,airblaster,AB18MJ1_075,1,0,other,100% poly mesh - item# cb-46-2b,"vents, large internal goggle pocket",none,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
5,airblaster,AB18MJ1_075,1,0,other,nylon/elastic lycra - item# dc-9a,"powder skirt, hood drawcord tunnel",none,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
6,airblaster,AB18MJ1_075,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,black,black,,,1,0
7,airblaster,AB18MJ1_075,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,black,black,,,1,0
8,airblaster,AB18MJ1_075,1,0,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear,clear,clear,,,1,0
9,airblaster,AB18MJ1_075,0,1,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,black,black,black,black,black,,,1,0
10,airblaster,AB18MJ1_075,1,0,insulation,60gm insulation,"main body, hood, sleeves",none,white,white,white,white,white,white,,,1,0
11,airblaster,AB18MJ1_075,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,white,white,,,1,0
12,airblaster,AB18MJ1_075,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,white,white,,,1,0
13,airblaster,AB18MJ1_075,0,1,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
14,airblaster,AB18MJ1_075,0,1,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
15,airblaster,AB18MJ1_075,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
16,airblaster,AB18MJ1_075,0,1,zipper,"ykk no.5 nylon coil, hidden chain zipper, auto-lock slider da8lh",removable powder skirt,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
17,airblaster,AB18MJ1_075,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
18,airblaster,AB18MJ1_075,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
19,airblaster,AB18MJ1_075,0,1,velcro,hook and loop; l: 2.5cm x h: 1cm,(4)pocket flaps,4,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
20,airblaster,AB18MJ1_075,0,1,velcro,hook and loop,pass pocket at powder skirt,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
21,airblaster,AB18MJ1_075,0,1,hand pulls,round barrel stopper - k-018 , (2) hood,2,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
22,airblaster,AB18MJ1_075,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,black,black,,,1,0
23,airblaster,AB18MJ1_075,0,1,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black,black,black,,,1,0
24,airblaster,AB18MJ1_075,0,1,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
25,airblaster,AB18MJ1_075,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(6) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt",9,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
26,airblaster,AB18MJ1_075,0,1,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
27,airblaster,AB18MJ1_075,0,1,hardware,sewing buttons 17mm  ,"(1) storm flap,(2)pocket flaps,(4) cuffs, (2) plastic bag attached to w/c label  ",9,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
28,airblaster,AB18MJ1_075,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
29,airblaster,AB18MJ1_075,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,black,black,,,1,0
30,airblaster,AB18MJ1_075,0,1,plastic bag,small plasitc bag,sewn to w/c label,1,clear,clear,clear,clear,clear,clear,,,1,0
31,airblaster,AB18MJ1_075,0,1,main label,tbd,"inside c.b. neck, see q/a for details",1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
32,airblaster,AB18MJ1_075,0,1,size label,tbd,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
33,airblaster,AB18MJ1_075,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,black,,,1,0
