,material,material_garment
192,", , st967 double weave, bonded overlay at lower right pocket, , , , ",1
193,", , cfc-39 dsbsos02a (h3)       , #3 coil, closed end, dsbsos02a slider, , , , cf zipper",1
194,", , cfc-36 dablh (e)           , #3 coil, closed end, dablh slider, , , , lower right pocket ",1
195,", , zp-562/3    , pop in puller           , , , , lower right pocket",1
196,", , gramax thread, normal flatlock, , , , all flatlock seams",1
197,", , dp-634, direct matte print, , , , upper left front",1
198,", , dp-755, direct matee print, , , , left sleeve at cuff",1
199,", , w-int-size, w's main interior label           , , , , cb neck seam      ",1
200,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",1
201,", , ccl-149, care content labels, , , , left side seam",1
202,", , po label, po label- for bulk only!, , , , left side seam",1
203,", , w-ht-lay, w's layering hangtag         , , , , left side       ",1
204,", , hangtag chain, chain for hangtag, , , , left side       ",1
205,", , fit-ht-gen, general fit insert, , , , insert",1
206,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",1
207,", , duro-ht-4s-2, duroxpand hangtag, , , , insert",1
208,", , duro-ht-uv-2, duroshade hangtag, , , , insert",1
209,", , fe529-a, hood, collar, front body, inner sleeves, back body, cb, windflap, , , , ",1
210,", , fe529-a, shoulders and outer sleeves, sleeve zipper garage, , , , ",1
211,", , cifor-56 da8blh (e) , #5 coil, open end, right insert, da8blh slider , , , , cf zipper",1
212,", , cfc-36 dablh (e), #3 coil, closed end, dablh slider, , , , sleeve pocket",1
213,", , chc-36 dadr2a (e), #3 invisible coil, closed end, dadr2a , , , , hand pockets",1
214,", , zp-561/5    , pop in puller- #5       , , , , cf zipper",1
215,", , zp-562/3    , pop in puller- #3        , , , , sleeve pocket",1
216,", , 3/4"" foldable lycra, 3/4"" foldable lycra, , , , hood, cuff, and hem",1
217,", , gramax thread, normal flatlock, , , , hood, cf, front body, cb body, hem",1
218,", , gramax thread, normal flatlock, , , , shoulder and sleeves",1
219,", , dp-634, direct matte print           , , , , upper left front chest",1
220,", , dp-755, direct matte print           , , , , lower left sleeve",1
221,", , lc holes, laser cut holes, , , , cf collar",1
222,", , w-int-size, w's main interior label           , , , , cb neck seam      ",1
223,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",1
224,", , ccl-001, care content labels, , , , left side seam",1
225,", , po label, po label- for bulk only!, , , , left side seam",1
226,", , w-ht-lay, w's layering hangtag         , , , , left side       ",1
227,", , hangtag chain, chain for hangtag, , , , left side       ",1
228,", , fit-ht-gen, general fit insert, , , , insert",1
229,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",1
230,", , dryo-ht-wr-2, dryozone dwr hangtag, , , , insert",1
231,", , duro-ht-uv-2, duroshade hangtag, , , , insert",1
232,", , #9068 powerdry, fabric at main body front and back, collar, sleeves, windflap, , , , ",1
233,", , please source, mesh, , , , cf zipper tape finish, windflap edge, hand pocket bags",1
234,", , l1025 sw, non woven interlining, , , , windflap",1
235,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider, , , , cf zipper",1
236,", , cfc-36 dablh (e), #3 coil, closed end, dablh slider , , , , hand pocket zippers",1
237,", , zp-561/5    , pop in puller           , , , , cf zipper",1
238,", , zp-562/3    , pop in puller           , , , , hand pockets",1
239,", , normal flatlock stitch, flatlock stitch, , , , all seams",1
240,", , dp-634, direct matte print, , , , left chest",1
241,", , dp-755, direct matte print, , , , right cuff",1
242,", , phtw-15 , polartec heat transfer , , , , right hem",1
243,", , w-int-20, w's main interior label , , , , cb neck",1
244,", , 8mm grosgrain webbing, webbing, , , , locker loop",1
245,", , sco-41    , country of origin           , , , , cb neckseam      ",1
246,", , ccl-020, care content labels, , , , left side seam",1
247,", , po label, po label- for bulk only!, , , , left side seam",1
