index,brand,style,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,material_garment,cutting_materials,fabric,rib,insulation,interfacing,down,zipper,binding,seam tape,webbing,cord,screen print,embroidery,heat transfer,patch,label,thread,velcro,button,ring,buckle,stopper,puller,snap,hook,eyelet,packing,bag,box,desiccant,hangtag,tape,upc,papper,sticker,swift tack,outer,inner
19,scott usa,m trail mtn wb 40 jacket,,8mm grosgrain ,,,,,grosgrain,dark grey,dark grey,dark grey,dark grey,,,,,woosung,,,0.04,yard,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
20,scott usa,m trail mtn wb 40 jacket,,ccl-094,,,,,care content labels,,,,,,,,,daeyong,,1,0.035,0.035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
21,scott usa,m trail mtn wb 40 jacket,,ccl-001,,,,,care content labels,,,,,,,,,daeyong,,1,0.035,0.035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
22,scott usa,m trail mtn wb 40 jacket,,po label,,,,,po label- for bulk only!,white,white,white,white,,,,,daeyong ,,1,0.005,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
23,scott usa,m trail mtn wb 40 jacket,,m-ht-app+chain,,,,,m's apparel hangtag,,,,,,,,,daeyong ,,1,0.28,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
24,scott usa,m trail mtn wb 40 jacket,,fit-ht-gen,,,,,general fit hang tag,,,,,,,,,daeyong,,1,0.11,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
25,scott usa,m trail mtn wb 40 jacket,,fit-ht-ath,,,,,athletic fit hangtag       ,,,,,,,,,daeyong ,,1,0.055,0.055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
26,scott usa,m defined merino jkt,,4560,,,,,"shell fabric at hood, sleeves, front body, back body, zipper garages, windflap
facing fabric at rolled cuffs, rolled hem, pockets",lunar blue,lake blue,iron grey,nightfall blue,royal red,,,,dti,,,11.87,meter,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
27,scott usa,m defined merino jkt,,please source,,,,,mesh,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,,,,,yard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
28,scott usa,m defined merino jkt,,cifol-56 da8blh1 (e)           ,,,,,"#5 coil, open end, left insert, da8blh1 slider ",marine blue,lake blue,caviar black,nightfall blue,royal red,,,,ykk,,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
29,scott usa,m defined merino jkt,,cfc-36 dablh (e)         ,,,,,"#3 coil, closed end, dablh slider ",marine blue,lake blue,caviar black,nightfall blue,moroccan red,,,,ykk,,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
30,scott usa,m defined merino jkt,,cfc-36 dablh (e)         ,,,,,"#3 coil, closed end, dablh slider ",lunar blue,lake blue,caviar black,nightfall blue,moroccan red,,,,ykk,,2,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
31,scott usa,m defined merino jkt,,zp-561/5    ,,,,,pop in puller- #5       ,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,utx,,1,0.05,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,0,,,,0,0,1,0
32,scott usa,m defined merino jkt,,zp-562/3    ,,,,,pop in puller- #3        ,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,utx,,3,0.049,0.147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,0,,,,0,0,1,0
33,scott usa,m defined merino jkt,,pca224,,,,,cordlock,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.06,0.116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,,,,0,0,1,0
34,scott usa,m defined merino jkt,,10mm grosgrain ribbon,,,,,webbing,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung,,,0.05,yard,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
