brand,style,description,position,spec,fabric,trims,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly","hood, upper body, under storm flap",none,1,0,black ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly",lower body,none,1,0,black ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly",sleeves,none,1,0,black ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly","hood, upper body, under storm flap",none,1,0,camel ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly",lower body,none,1,0,camel ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly",sleeves,none,1,0,camel ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly","hood, upper body, under storm flap",none,1,0,sage ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly",lower body,none,1,0,sage ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,"top11008-3.5l
stretch poly",sleeves,none,1,0,sage ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,taupe / pavement / stone,"hood, upper body, under storm flap",none,1,0,taupe ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,taupe / pavement / stone,lower body,none,1,0,stone ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,taupe / pavement / stone,sleeves,none,1,0,pavement ,none ,none ,none ,none 
ride,18m20-01 monthaven jacket,210t nylon coated plain taffeta,powder skirt,none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-01 monthaven jacket,210t nylon un-coated plain taffeta,media pocket,none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-01 monthaven jacket,#c-062 tricot,"inner collar, chin guard",none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-01 monthaven jacket,#a-012 mesh,"goggle pocket, pit vents, media pocket, beverage holder",none,1,0,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,#jik-1186  lycra,"inner hand gaiters, zip-to-pant section",none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-01 monthaven jacket,union line # ul-20320; tricot/tricot with clear lamination ,pocket bags,none,1,0,grey ,grey ,grey ,grey ,none 
ride,18m20-01 monthaven jacket,pelon,"collar, cuffs, windbreak",none,1,0,white ,white ,white ,white ,none 
ride,18m20-01 monthaven jacket,37.5 seam tape 3.5l 2cm wide,fully seam sealed,none,1,0,37.5 print seamtape ,37.5 print seamtape ,37.5 print seamtape ,37.5 print seamtape ,none 
ride,18m20-01 monthaven jacket,"ykk #5 vt10 aquaguard zipper 2-way open-end, #da8lh1 auto-lock slider + dag8 2-way slider",cf zipper,"32""
(for size large)",0,1,black #580 tape,black #580 tape,black #580 tape,black #580 tape,none tape
ride,18m20-01 monthaven jacket,"ykk #5 vt10 aquaguard zipper 2-way open-end, #da8lh1 auto-lock slider + dag8 2-way slider",cf zipper,none,0,1, vt10mj matte black teeth, vt10mj matte black teeth, vt10mj matte black teeth, vt10mj matte black teeth,none teeth
ride,18m20-01 monthaven jacket,"ykk #5 vt10 aquaguard zipper 2-way open-end, #da8lh1 auto-lock slider + dag8 2-way slider",cf zipper,none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #5 vt10 aquaguard  zipper. slider #da8lh1 swivel ,chest pocket (1),"7""",0,1, black #580 tape, black #580 tape, black #580 tape, black #580 tape,none tape
ride,18m20-01 monthaven jacket,ykk #5 vt10 aquaguard  zipper. slider #da8lh1 swivel ,chest pocket (1),none,0,1, vt10mj matte black teeth, vt10mj matte black teeth, vt10mj matte black teeth, vt10mj matte black teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #5 vt10 aquaguard  zipper. slider #da8lh1 swivel ,chest pocket (1),none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,beverage holder (1),"5""",0,1, black #580 tape, black #580 tape, black #580 tape, black #580 tape,none tape
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,beverage holder (1),none,0,1, black #580 teeth, black #580 teeth, black #580 teeth, black #580 teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,beverage holder (1),none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,vents,"12""",0,1, black #580 tape, black #580 tape, black #580 tape, black #580 tape,none tape
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,vents,none,0,1, black #580 teeth, black #580 teeth, black #580 teeth, black #580 teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,vents,none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #5 reverse coil zipper. slider #da8lh1 swivel,hand pocket,"8""",0,1, black #580 tape, black #580 tape, black #580 tape, black #580 tape,none tape
ride,18m20-01 monthaven jacket,ykk #5 reverse coil zipper. slider #da8lh1 swivel,hand pocket,none,0,1, black #580 teeth, black #580 teeth, black #580 teeth, black #580 teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #5 reverse coil zipper. slider #da8lh1 swivel,hand pocket,none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #3 regular facing coil zipper.  slider #dalh,sleeve pass pocket,"6""",0,1, black #580 tape, black #580 tape, black #580 tape, black #580 tape,none tape
ride,18m20-01 monthaven jacket,ykk #3 regular facing coil zipper.  slider #dalh,sleeve pass pocket,none,0,1, black #580 teeth, black #580 teeth, black #580 teeth, black #580 teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #3 regular facing coil zipper.  slider #dalh,sleeve pass pocket,none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #3 regular facing coil zipper.  slider #dalh,inner media pocket,"8""",0,1,antique white #121 tape,antique white #121 tape,antique white #121 tape,antique white #121 tape,none tape
ride,18m20-01 monthaven jacket,ykk #3 regular facing coil zipper.  slider #dalh,inner media pocket,none,0,1,antique white #121 teeth,antique white #121 teeth,antique white #121 teeth,antique white #121 teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #3 regular facing coil zipper.  slider #dalh,inner media pocket,none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel (one side only) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)","27""",0,1, black #580 tape, black #580 tape, black #580 tape, black #580 tape,none tape
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel (one side only) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)",none,0,1, black #580 teeth, black #580 teeth, black #580 teeth, black #580 teeth,none teeth
ride,18m20-01 monthaven jacket,ykk #5 regular facing coil zipper. slider #da8lh1 swivel (one side only) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)",none,0,1, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider, x6 black oxides slider,none slider
ride,18m20-01 monthaven jacket,"#1819-rl-001-20
""ride 20k"" woven label ",inside neck labeling,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#1819-rl-007
size label ",adult woven size label. see labeling spec,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#1819-rl-021
inner main woven label ",inside labeling. see labeling spec,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#rt-005
inner woven loop ",cb hanger loop sewn into neck seam,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#coc-cc37.5-logo-wvn-gr-h
37.5 woven label-","right side seam, under lift ticket grommet",none,0,1,gray ,gray ,gray ,gray ,none 
ride,18m20-01 monthaven jacket,"#rm-08
grommet for lift ticket","right side seam, above 37.5 woven label",none,0,1,x6 black oxides ,x6 black oxides ,x6 black oxides ,x6 black oxides ,none 
ride,18m20-01 monthaven jacket,"#rl-lthr-001
""ride"" deboss leather patch","above wearer's right waist seam, close to cf zipper",none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#rl-pin
leather patch w/ metal logo",left sleeve,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"""zipnrip"" screen print",on power skirt,none,0,1,white ,white ,white ,white ,none 
ride,18m20-01 monthaven jacket,"#rt-lthr-zp
leather zipper puller",cf zipper puller,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,8mm logo rivet,cf zipper puller,none,0,1,matt black ,matt black ,matt black ,matt black ,none 
ride,18m20-01 monthaven jacket,"#rt-003
silicone zipper puller","chest pocket(1), beverage pocket(1), hand pocket(2), vent(2), pass pocket(1), media pocket(1), zip-to-pant(1)",none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#s301
cordlock ","front hood(2), hem(2)",none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#s080
cordlock",back hood adjustment,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#p221
platic bead",front hood,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#zm057
cordura grip tab",back hood adjustment,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#0350219
small cord tip",hem drawcords in pockets,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,3mm elastic bungee cord ,hood & hem,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"1/4""  herringbone webbing",front/back hood & hem- leash for cordlock,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#0509
ykk 15mm metal snap","beverage flap(1 full set s-spring), hand pocket tab(cap only)",none,0,1,x6 black oxides ,x6 black oxides ,x6 black oxides ,x6 black oxides ,none 
ride,18m20-01 monthaven jacket,"#1414
14mm plastic stock snap (set)",powder skirt,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"#1414
14mm plastic stock snap (male part)",powder skirt 2nd row for adjustment ,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,12mm non-logo grommet,back hood drawcord exit ,none,0,1,x6 black oxides ,x6 black oxides ,x6 black oxides ,x6 black oxides ,none 
ride,18m20-01 monthaven jacket,10mm non-logo grommet,"hem(4), front hood drawcord exit(6) ",none,0,1,x6 black oxides ,x6 black oxides ,x6 black oxides ,x6 black oxides ,none 
ride,18m20-01 monthaven jacket,#a108-1 key clip,inside right hand pocket,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,stock gripper,powder skirt,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,"1/2"" plain metal rivet",cuff adjustment tab,none,0,1,x6 black oxides ,x6 black oxides ,x6 black oxides ,x6 black oxides ,none 
ride,18m20-01 monthaven jacket,4mm plastic wire,beverage holder top edge,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,20mm elastine binding,"media pocket cord outlet, inner mesh pocket",none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,10mm tape,zip to pant zipper tape back side clean finish binding,none,0,1,black ,black ,black ,black ,none 
ride,18m20-01 monthaven jacket,welding film,"flap at hood, windbreak, hand pocket, sleeve pockets, cuffs",none,0,1,clear ,clear ,clear ,clear ,none 
ride,18m20-01 monthaven jacket,clear tpu,media pocket,none,0,1,clear ,clear ,clear ,clear ,none 
ride,18m20-01 monthaven jacket,"velcro 1 1/2"" l x 1"" w hook",cuff adjustment tab,none,0,1,ykk black #580 ,ykk camel #tqc81 ,ykk sage #170 ,ykk pavement #tn797 ,none 
ride,18m20-01 monthaven jacket,"velcro 4 1/2"" l x 3/8"" w loop",cuff adjustment (2 rows per cuff),none,0,1,ykk black #580 ,ykk camel #tqc81 ,ykk sage #170 ,ykk pavement #tn797 ,none 
ride,18m20-05 holman bib,top11008-3.5l stretch poly,main pant,none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,ul-7908+bonded fleece,upper bib,none,1,0,grey melange ,grey melange ,none ,none ,none 
ride,18m20-05 holman bib,"sotp026
peached plain weave
15k",upper bib inner facing,none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,"nt-13566
melange",back left belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-05 holman bib,"hc5536
reinforced fabrics","knee patch, inner leg panel, hem, back hip",none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,top11008-3.5l stretch poly,main pant,none,1,0,taupe ,none ,none ,none ,none 
ride,18m20-05 holman bib,ul-7908+bonded fleece,upper bib,none,1,0,grey melange ,none ,none ,none ,none 
ride,18m20-05 holman bib,"sotp026
peached plain weave
15k",upper bib inner facing,none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,"nt-13566
melange",back left belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-05 holman bib,"hc5536
reinforced fabrics","knee patch, inner leg panel, hem, back hip",none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,top11008-3.5l stretch poly,main pant,none,1,0,sage ,none ,none ,none ,none 
ride,18m20-05 holman bib,ul-7908+bonded fleece,upper bib,none,1,0,grey melange ,none ,none ,none ,none 
ride,18m20-05 holman bib,"sotp026
peached plain weave
15k",upper bib inner facing,none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,"nt-13566
melange",back left belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-05 holman bib,"hc5536
reinforced fabrics","knee patch, inner leg panel, hem, back hip",none,1,0,black ,none ,none ,none ,none 
ride,18m20-05 holman bib,210t nylon coated plain taffeta,gaitor,none,1,0,burgundy ,burgundy ,burgundy ,none ,none 
ride,18m20-05 holman bib,210t nylon un-coated plain taffeta,pocket bags,none,1,0,burgundy ,burgundy ,burgundy ,none ,none 
ride,18m20-05 holman bib,#c062 tricot,"inner waist, fly inner facing, front pocket bags",none,1,0,burgundy ,burgundy ,burgundy ,none ,none 
ride,18m20-05 holman bib,#jik-1186  lycra,gaitor,none,1,0,burgundy ,burgundy ,burgundy ,none ,none 
ride,18m20-05 holman bib,"union line # ul-20320
tricot/tricot with clear lamination","pocket bags, back label patch, knee pad pocket",none,1,0,gray ,gray ,gray ,none ,none 
ride,18m20-05 holman bib,pelon,as needed,none,1,0,white ,white ,white ,none ,none 
ride,18m20-05 holman bib,37.5 20mm 3.5l seam tape,fully seam sealed,none,0,1,clear ,clear ,clear ,none ,none 
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. auto-lock slider #da8lh,cf fly,"6""
(for size large)",0,1,black #580 tape,taupe #034 tape,sage #109 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. auto-lock slider #da8lh,cf fly,"6""
(for size large)",0,1,black #580 teeth,taupe #034 teeth,sage #109 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. auto-lock slider #da8lh,cf fly,"6""
(for size large)",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,ykk #5 cnt10 waterproof closed end with da8lh1 slider,front hand pocket,"7""",0,1,black #580 tape,black #580 tape,black #580 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #5 cnt10 waterproof closed end with da8lh1 slider,front hand pocket,"7""",0,1,black #580 teeth,black #580 teeth,black #580 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #5 cnt10 waterproof closed end with da8lh1 slider,front hand pocket,"7""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,ykk #5 cnt10 waterproof closed end with da8lh1 slider,back pocket,"6""",0,1,black #580 tape,black #580 tape,black #580 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #5 cnt10 waterproof closed end with da8lh1 slider,back pocket,"6""",0,1,black #580 teeth,black #580 teeth,black #580 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #5 cnt10 waterproof closed end with da8lh1 slider,back pocket,"6""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,vents,"12""",0,1,black #580 tape,taupe #034 tape,sage #109 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,vents,"12""",0,1,black #580 teeth,taupe #034 teeth,sage #109 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. slider #da8lh1 swivel,vents,"12""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
