brand,style,description,position,spec,fabric,trims,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5
ride,18m20-05 holman bib,ykk #3 regular facing coil zipper.  slider #dalh,bib pocket,"6.5""",0,1,black #580 tape,black #580 tape,black #580 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #3 regular facing coil zipper.  slider #dalh,bib pocket,"6.5""",0,1,black #580 teeth,black #580 teeth,black #580 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #3 regular facing coil zipper.  slider #dalh,bib pocket,"6.5""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,ykk #3 regular facing coil zipper.  slider #dalh,bib pocket,"7""",0,1,black #580 tape,black #580 tape,black #580 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #3 regular facing coil zipper.  slider #dalh,bib pocket,"7""",0,1,black #580 teeth,black #580 teeth,black #580 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #3 regular facing coil zipper.  slider #dalh,bib pocket,"7""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,"ykk #5 regular facing coil zipper, 1 end open, dsyg slider",hem zip,"5""",0,1,black #580 tape,taupe #034 tape,sage #109 tape,none tape,none tape
ride,18m20-05 holman bib,"ykk #5 regular facing coil zipper, 1 end open, dsyg slider",hem zip,"5""",0,1,black #580 teeth,taupe #034 teeth,sage #109 teeth,none teeth,none teeth
ride,18m20-05 holman bib,"ykk #5 regular facing coil zipper, 1 end open, dsyg slider",hem zip,"5""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. slider #da8lh1 swivel (one side only) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)","27""",0,1,black #580 tape,black #580 tape,black #580 tape,none tape,none tape
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. slider #da8lh1 swivel (one side only) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)","27""",0,1,black #580 teeth,black #580 teeth,black #580 teeth,none teeth,none teeth
ride,18m20-05 holman bib,ykk #5 regular facing coil zipper. slider #da8lh1 swivel (one side only) ,"zip-to-pant (slider stay on jkt side, 1/2 zipper on jacket)","27""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider,none slider
ride,18m20-05 holman bib,"#1819-rl-001-20
""ride 20k"" woven label ",inside labeling. please follow as 1718 bulk,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"#1819-rl-007
size label ",adult woven size label. please follow as 1718 bulk,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"#1819-rl-021
inner main woven label ",inside labeling. please follow as 1718 bulk,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"#rt-005
inner woven loop ",hanger loop sewn into cb waist seam,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"#1819-rl-001
silicone woven label",below upper bib pocket,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"#coc-cc37.5-logo-wvn-gr-v
37.5 woven label-","set into wr back right yoke seam, aside from back pocket",none,0,1,gray ,gray ,gray ,none ,none 
ride,18m20-05 holman bib,#a108-1 key clip,inside pocket,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"1/4"" elastic",loop in bib pocket / tether for key clip in wr right hand pocket,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"embroidery ""r"" logo",wr left back lower leg,none,0,1,cool gray 10 c ,cool gray 10 c ,cool gray 10 c ,none ,none 
ride,18m20-05 holman bib,"#rl-lthr-001
""ride"" deboss leather patch",below wr right hand pocket zipper,none,0,1,black ,tan ,tan ,none ,none 
ride,18m20-05 holman bib,"#rt-003
silicone zipper puller","bib pocket(2), front hand pocket(2), vent(2),  back pocket(1)",none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"#0509
ykk metal snap",waistband,none,0,1,x6 black oxides ,x6 black oxides ,x6 black oxides ,none ,none 
ride,18m20-05 holman bib, no. 0178006                                                                             13mm (21l) extra strength plastic snaps (full set),inner leg gatier adjustment,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib, no. 0178006                                                                             13mm (21l) extra strength plastic snaps (male parts),inner leg gatier adjustment,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"1""  herringbone webbing","1/2"" long for boa tab",none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,stock gripper,powder skirt,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,8mm rivet #r102,zipper garages,none,0,1,black oxides ,black oxides ,black oxides ,none ,none 
ride,18m20-05 holman bib,boa screen logo,gaiters,none,0,1,white ,white ,white ,none ,none 
ride,18m20-05 holman bib,welding film,"bib pocket flap, vent flange, back pocket zipper gurage",none,0,1,clear ,clear ,clear ,none ,none 
ride,18m20-05 holman bib,boot hook #a7,inner front bottom of boot gatier,none,0,1,black oxides ,black oxides ,black oxides ,none ,none 
ride,18m20-05 holman bib,#844sp  38mm suspender elastic,suspenders,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,#lh38e o-ring,suspenders,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,#050418 back glide,suspenders,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,th-31(3hbb)30mm,suspenders stretch velcro loop,none,0,1,black ,black ,black ,none ,none 
ride,18m20-05 holman bib,"velcro 3"" l x 1 "" w loop",waist adjustment(2),none,0,1,ykk black #580 ,ykk taupe #365 ,ykk sage #170 ,none ,none 
ride,18m20-05 holman bib,"velcro 1 1/2"" l x 1"" w hook",waist adjustment(2),none,0,1,ykk black #580 ,ykk taupe #365 ,ykk sage #170 ,none ,none 
ride,18m20-05 holman bib,"velcro 1 1/2"" l x 1"" w hook",suspender,none,0,1,ykk black #580 ,ykk black #580 ,ykk black #580 ,none ,none 
ride,18m20-05 holman bib,"velcro 1 1/2"" l x 1/2"" w hook+loop",pocket on bib,none,0,1,ykk black #580 ,ykk black #580 ,ykk black #580 ,none ,none 
ride,18m20-05 holman bib,"velcro 5"" x 3/8"" w hook+loop","boa windopw - 5"" around 3 sides of opening",none,1,0,ykk burgundy #tv307 ,ykk burgundy #tv307 ,ykk burgundy #tv307 ,none ,none 
ride,18m20-06 alki pant,rpw11001-r1c2 2.5l                   37.5 twill,"main fabric, all inner facing",none,1,0,black ,none ,none ,none ,none 
ride,18m20-06 alki pant,"nt-13566
dot melange",wr right back belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-06 alki pant,"hc5536
reinforced fabrics",back leg hem,none,1,0,black ,none ,none ,none ,none 
ride,18m20-06 alki pant,rpw11001-r1c2 2.5l                   37.5 twill,"main fabric, all inner facing",none,1,0,khaki ,none ,none ,none ,none 
ride,18m20-06 alki pant,"nt-13566
dot melange",wr right back belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-06 alki pant,"hc5536
reinforced fabrics",back leg hem,none,1,0,black ,none ,none ,none ,none 
ride,18m20-06 alki pant,rpw11001-r1c2 2.5l                   37.5 twill,"main fabric, all inner facing",none,1,0,olive melange ,none ,none ,none ,none 
ride,18m20-06 alki pant,"sff003peach-2.5l
melange twill",wr right back belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-06 alki pant,"hc5536
reinforced fabrics",back leg hem,none,1,0,black ,none ,none ,none ,none 
ride,18m20-06 alki pant,rpw11001-r1c2 2.5l                   37.5 twill,"main fabric, all inner facing",none,1,0,taupe melange ,none ,none ,none ,none 
ride,18m20-06 alki pant,"sff003peach-2.5l
melange twill",wr right back belt loop,none,1,0,dot melange ,none ,none ,none ,none 
ride,18m20-06 alki pant,"hc5536
reinforced fabrics",back leg hem,none,1,0,black ,none ,none ,none ,none 
ride,18m20-06 alki pant,210t nylon coated plain taffeta,gaitor,none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-06 alki pant,210t nylon un-coated plain taffeta,"pocket bags, leg lining",none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-06 alki pant,#c062 tricot,"inner waist, pocket bags, leg lining",none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-06 alki pant,#a-012 mesh,pit vents,none,1,0,black ,black ,black ,black ,none 
ride,18m20-06 alki pant,#b181 closed hole mesh,around front/back rise,none,1,0,black ,black ,black ,black ,none 
ride,18m20-06 alki pant,#jik-1186  lycra,gaitor stretch panel,none,1,0,burgundy ,burgundy ,burgundy ,burgundy ,none 
ride,18m20-06 alki pant,pelon,as needed,none,1,0,white ,white ,white ,white ,none 
ride,18m20-06 alki pant,#st104 bemis 20mm seam tape,fully seam sealed,none,1,0,clear ,clear ,clear ,clear ,none 
ride,18m20-06 alki pant,ykk #5 regular facing coil zipper. auto-lock slider #da8lh,cf fly,"6""
(for size large)",0,1,black #580 tape,khaki #tc047 tape,olive #566 tape,taupe #td540 tape,none tape
ride,18m20-06 alki pant,ykk #5 regular facing coil zipper. auto-lock slider #da8lh,cf fly,"6""
(for size large)",0,1,black #580 teeth,khaki #tc047 teeth,olive #566 teeth,taupe #td540 teeth,none teeth
ride,18m20-06 alki pant,ykk #5 regular facing coil zipper. auto-lock slider #da8lh,cf fly,"6""
(for size large)",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider
ride,18m20-06 alki pant,ykk #5 cnt10 aquaguard zipper. slider #da8lh1 swivel,front pocket,"7""",0,1,black #580 tape,black #580 tape,black #580 tape,black #580 tape,none tape
ride,18m20-06 alki pant,ykk #5 cnt10 aquaguard zipper. slider #da8lh1 swivel,front pocket,"7""",0,1,black #580 teeth,black #580 teeth,black #580 teeth,black #580 teeth,none teeth
ride,18m20-06 alki pant,ykk #5 cnt10 aquaguard zipper. slider #da8lh1 swivel,front pocket,"7""",0,1,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,x6 black oxides slider,none slider
ride,18m20-06 alki pant,ykk #5 reverse coil zipper. slider #da8lh1 swivel,thigh pocket,"6 1/2""",0,1,black #580 tape,khaki #tc047 tape,olive #566 tape,taupe #td540 tape,none tape
