,brand,style,item,supplier,fabric,trims,description,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6
29,scott usa,m defined merino jkt,cfc-36 dablh (e)         ,ykk,0,1,"#3 coil, closed end, dablh slider ",chest pocket zipper,1,none,0,marine blue,lake blue,caviar black,nightfall blue,moroccan red,none
30,scott usa,m defined merino jkt,cfc-36 dablh (e)         ,ykk,0,1,"#3 coil, closed end, dablh slider ",hand pocket zippers,2,none,0,lunar blue,lake blue,caviar black,nightfall blue,moroccan red,none
31,scott usa,m defined merino jkt,zp-561/5    ,utx,0,1,pop in puller- #5       ,cf zipper,1,0.05,0.05,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none
32,scott usa,m defined merino jkt,zp-562/3    ,utx,0,1,pop in puller- #3        ,"hand pkt zippers, chest pocket zipper",3,0.049,0.147,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none
33,scott usa,m defined merino jkt,pca224,utx,0,1,cordlock,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none
34,scott usa,m defined merino jkt,10mm grosgrain ribbon,woosung,0,1,webbing,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,none
35,scott usa,m defined merino jkt,p481s001,utx,0,1,rubber puller ,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none
36,scott usa,m defined merino jkt,1034213,chun wo ho,0,1,custom braid 2.2mm,bottom hem,none,0.109,yard,marine blue,nightfall blue,caviar black,nightfall blue,moroccan red,none
37,scott usa,m defined merino jkt,5mm eyelet,il jin  ,0,1,5mm logo eyelet, hem adjustment exit (4),4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,antique silver,none
38,scott usa,m defined merino jkt,"3/4"" foldable lycra",woosung,0,1,binding,"hood binding, cf zipper tape finish, neck seam          ",none,0.244,yard,marine blue,lake blue,caviar black,nightfall blue,royal red,none
39,scott usa,m defined merino jkt,hdp-003,factory,0,1,high density print (matte quality),upper left chest,1,none,0,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,none
40,scott usa,m defined merino jkt,sb-hdp-804,factory,0,1,high density print (matte quality),right bicep,1,none,0,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,none
41,scott usa,m defined merino jkt,m-size-20,daeyong,0,1,m's main interior label           ,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,none
42,scott usa,m defined merino jkt,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none
43,scott usa,m defined merino jkt,ccl-164,daeyong,0,1,care content labels,left side seam,1,0.035,0.035,x,x,x,x,x,none
44,scott usa,m defined merino jkt,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,white,none
45,scott usa,m defined merino jkt,m-ht-lay,daeyong,0,1,m's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,x,none
46,scott usa,m defined merino jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,x,none
47,scott usa,m defined merino jkt,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,x,none
48,scott usa,m defined merino jkt,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,x,none
49,scott usa,m defined merino jkt,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
50,scott usa,m defined merino jkt,mapp    ,mapp,0,1,mapp hangtag        ,left side,1,0,0,x,x,x,x,x,none
51,scott usa,m defined mid pullover,sck-757s,singtex,1,0,,"shell fabric at front body, back body, front collar, back collar
facing fabric at rolled hem, rolled collar front and back",none,4.8,yard,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue
52,scott usa,m defined mid pullover,sck-757s,singtex,1,0,,"shell fabric at sleeves and collar sides, cuffs
facing fabric at rolled cuffs, rolled collar sides",none,4.8,yard,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue
53,scott usa,m defined mid pullover,cfc-39 dsbsos02a (h3),ykk,0,1,"#3, closed end, dsbsos02a slider ",cf zipper,1,none,0,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue
54,scott usa,m defined mid pullover,"3/4"" foldable lycra",woosung,0,1,binding,"cf zipper tape finish, windflap edge",none,0.244,yard,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue
55,scott usa,m defined mid pullover,normal flatlock,coats,0,1,normal flatlock,armhole seams,none,none,0,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue
56,scott usa,m defined mid pullover,normal flatlock,coats,0,1,normal flatlock,side seams,none,none,0,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue
57,scott usa,m defined mid pullover,dp-634,taekwang,0,1,direct print (matte quality),upper left chest,1,none,0,18-1449 ketchup,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue
58,scott usa,m defined mid pullover,sb-dp-804,taekwang,0,1,direct print (matte quality),right bicep,1,none,0,moroccan red,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue
59,scott usa,m defined mid pullover,m-size-20,daeyong,0,1,m's main interior label           ,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,x
60,scott usa,m defined mid pullover,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey
61,scott usa,m defined mid pullover,ccl-149,daeyong,0,1,care content labels,left side seam,1,0.035,0.035,x,x,x,x,x,x
62,scott usa,m defined mid pullover,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,white,white
63,scott usa,m defined mid pullover,m-ht-lay,daeyong,0,1,m's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,x,x
64,scott usa,m defined mid pullover,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,x,x
65,scott usa,m defined mid pullover,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,x,x
66,scott usa,m defined mid pullover,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,x,x
67,scott usa,m defined mid pullover,duro-ht-4s-2,daeyong,0,1,duroxpand hangtag,insert,1,0.1,0.1,x,x,x,x,x,x
68,scott usa,m defined mid pullover,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,x,x
69,scott usa,m defined plus jkt,fe529-a,premiere,1,0,,"shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap",none,none,yard,lunar blue,lunar blue,moroccan red,lake blue,caviar black,none
70,scott usa,m defined plus jkt,fe529-a,premiere,1,0,,"shell fabric at front body, back body
facing fabric at rolled hem",none,none,yard,marine blue,lunar blue,moroccan red,lake blue,caviar black,none
71,scott usa,m defined plus jkt,sck-757s,singtex,1,0,,shell fabric at face mask,none,4.8,yard,marine blue,lunar blue,royal red,nightfall blue,caviar black,none
72,scott usa,m defined plus jkt,"tba-use available #5 coil open end, 1 slider for proto",ykk,0,1,none,cf zipper,1,none,0,use available,use available,use available,use available,use available,none
73,scott usa,m defined plus jkt,tba-use available #3 coil closed end for proto,ykk,0,1,none,hand pocket zippers,2,none,0,use available,use available,use available,use available,use available,none
74,scott usa,m defined plus jkt,tba-use available #3 coil closed end for proto,ykk,0,1,none,left sleeve pocket zipper,1,none,0,use available,use available,use available,use available,use available,none
75,scott usa,m defined plus jkt,142-01951-000013 ,utx,0,1,flexible zipper puller,"cf zipper (1), hand pocket (2), sleeve pocket (1)          ",4,0.11,0.44,lunar blue,lunar blue,moroccan red,nightfall blue,caviar black,none
76,scott usa,m defined plus jkt,pca224,utx,0,1,cordlock,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none
77,scott usa,m defined plus jkt,10mm grosgrain ribbon,woosung,0,1,webbing,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,none
78,scott usa,m defined plus jkt,p481s001,utx,0,1,rubber puller ,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none
79,scott usa,m defined plus jkt,1034213,chun wo ho,0,1,custom braid 2.2mm,bottom hem,none,0.109,yard,marine blue,marine blue,moroccan red,nightfall blue,caviar black,none
80,scott usa,m defined plus jkt,5mm eyelet,il jin  ,0,1,5mm logo eyelet, hem adjustment exit (4),4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,antique silver,none
81,scott usa,m defined plus jkt,"3/4"" foldable lycra",woosung,0,1,binding,"hood binding, top and bottom of face mask, edge of windflap, finish at zipper tape edge, neck seam          ",none,0.244,0.244,marine blue,marine blue,royal red,lake blue,caviar black,none
82,scott usa,m defined plus jkt,gramax thread,coats,0,1,normal flatlock,"armhole seams, hood seams, face mask seam, underarm seams",none,none,0,lunar blue,marine blue,royal red,nightfall blue,caviar black,none
83,scott usa,m defined plus jkt,gramax thread,coats,0,1,normal flatlock,side seams,none,none,0,marine blue,lunar blue,moroccan red,lake blue,caviar black,none
84,scott usa,m defined plus jkt,dp-634,factory,0,1,direct print (matte quality),upper left chest,1,none,0,lunar blue,19-4024 dress blues,18-1449 ketchup,19-4110 nightfall blue,iron grey,none
85,scott usa,m defined plus jkt,sb-dp-804,factory,0,1,direct print (matte quality),right bicep,1,none,0,marine blue,marine blue,royal red,nightfall blue,irong rey,none
86,scott usa,m defined plus jkt,durawelt overlays,factory,0,1,"1/4"" durawelt overlays",sleeve pocket ,none,none,0,lunar blue,lunar blue,moroccan red,lake blue,caviar black,none
87,scott usa,m defined plus jkt,durawelt overlays,factory,0,1,"1/4"" durawelt overlays",around hand pocket zippers,none,none,0,marine blue,lunar blue,moroccan red,lake blue,caviar black,none
88,scott usa,m defined plus jkt,m-size-20,daeyong,0,1,m's main interior label           ,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,none
89,scott usa,m defined plus jkt,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none
90,scott usa,m defined plus jkt,ccl-001,daeyong,0,1,care content labels,left side seam,1,0.035,0.035,x,x,x,x,x,none
91,scott usa,m defined plus jkt,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,white,none
92,scott usa,m defined plus jkt,m-ht-lay,daeyong,0,1,m's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,x,none
93,scott usa,m defined plus jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,x,none
94,scott usa,m defined plus jkt,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,x,none
95,scott usa,m defined plus jkt,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,x,none
96,scott usa,m defined plus jkt,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
97,scott usa,m defined plus jkt,dryo-ht-wr-2,daeyong,0,1,dryozone dwr hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
98,scott usa,m defined polar jkt,#9068 powerdry,polartec,1,0,,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar",none,11.2,meter,marine blue,caviar black,nightfall blue,moroccan red,none,none
99,scott usa,m defined polar jkt,sck-757s,singtex,1,0,,shell fabric at chest pocket,none,4.8,yard,marine blue,caviar black,nightfall blue,moroccan red,none,none
100,scott usa,m defined polar jkt,l1025 sw,r.m. interlinings ltd.,1,0,non woven interlining,interior collar,none,0.1,yard,stock white,stock white,stock white,stock white,none,none
101,scott usa,m defined polar jkt,cifol-39 dsbyg (h3),ykk,0,1,"#3 coil, open end, left insert, dsbyg slider ",cf zipper,1,none,0,lunar blue,caviar black,nightfall blue,moroccan red,none,none
102,scott usa,m defined polar jkt,chc-36 dadr2a (e),ykk,0,1,"#3 invisible coil, closed end, dadr2a ",chest pocket zipper,1,none,0,lunar blue,iron grey,nightfall blue,moroccan red,none,none
103,scott usa,m defined polar jkt,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider ",back pocket,1,none,0,lunar blue,iron grey,nightfall blue,moroccan red,none,none
104,scott usa,m defined polar jkt,"3/4"" foldable lycra    ",woosung,0,1,binding,interior cf zipper tape edge finish,none,0.244,yard,lunar blue,caviar black,nightfall blue,moroccan red,none,none
105,scott usa,m defined polar jkt,ext-tape-10,giant knitting,0,1,reflective tape,mp3 loop at cb neck seam,none,0.56,yard,reflective silver,reflective silver,reflective silver,reflective silver,none,none
106,scott usa,m defined polar jkt,coverstitch,ns coats,0,1,4 needle coverstitching,"seams at armhole, underarm, side seams, lower body horizontal seam",none,none,0,marine blue,caviar black,nightfall blue,moroccan red,none,none
107,scott usa,m defined polar jkt,tba,tba,0,1,tba,front left chest,1,none,0,lunar blue,iron grey,19-4010 eclipse blue,iron grey,none,none
108,scott usa,m defined polar jkt,"can you test which type works best with the polartec fabric such as print, high density print etc?",tba,0,1,tba,right bicep,1,none,0,lunar blue,iron grey,19-4010 eclipse blue,iron grey,none,none
109,scott usa,m defined polar jkt,phtw-15,polartec,0,1,polartec heat transfer,right side near hem and side seam,1,0,0,white,white,white,white,none,none
110,scott usa,m defined polar jkt,m-int-20,daeyong,0,1,main interior label,cb neckseam,1,0.108,0.108,x,x,x,x,none,none
111,scott usa,m defined polar jkt,8mm grosgrain locker loop,woosung,0,1,grosgrain,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none
112,scott usa,m defined polar jkt,ccl-152,daeyong,0,1,care content labels,interior left side seam,1,0.035,0.035,x,x,x,x,none,none
113,scott usa,m defined polar jkt,po label,daeyong ,0,1,po label- for bulk only!,interior left side seam,1,0.005,0.005,x,x,x,x,none,none
114,scott usa,m defined polar jkt,m-ht-lay,daeyong,0,1,m's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,none,none
115,scott usa,m defined polar jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,none,none
116,scott usa,m defined polar jkt,fit-ht-gen,daeyong,0,1,general fit hang tag,cf zipper slider,1,0.11,0.11,x,x,x,x,none,none
117,scott usa,m defined polar jkt,fit-ht-ath,daeyong ,0,1,athletic fit hangtag       ,cf zipper slider,1,0.055,0.055,x,x,x,x,none,none
118,scott usa,m defined polar jkt,ppg-15,polartec,0,1,polartec powergrid hangtag,cf zipper slider          ,1,0,0,x,x,x,x,none,none
119,scott usa,m defined polar jkt,porptec-15,polartec,0,1,polartec polygeine hangtag,cf zipper slider          ,1,0,0,x,x,x,x,none,none
120,scott usa,m defined tech jkt,meln135,premiere,1,0,,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar,  rolled hem, rolled cuffs,",none,5.16,yard,nightfall blue,marine blue,caviar black,royal red,none,none
121,scott usa,m defined tech jkt,l1025 sw,r.m. interlinings ltd.,1,0,non woven interlining,collar,none,0.1,yard,white,white,white,white,none,none
122,scott usa,m defined tech jkt,cifol-56 da8blh1 (e)           ,ykk,0,1,"#5 coil, open end, left insert, da8blh1 slider ",cf zipper,1,none,0,nightfall blue,lunar blue,iron grey,moroccan red,none,none
123,scott usa,m defined tech jkt,cfc-36 dablh (e)         ,ykk,0,1,"#3 coil, closed end, dablh slider ",chest pocket zipper,1,none,0,nightfall blue,marine blue,caviar black,moroccan red,none,none
124,scott usa,m defined tech jkt,zp-561/5    ,utx,0,1,pop in puller- #5       ,cf zipper,1,0.05,0.05,nightfall blue,lunar blue,caviar black,moroccan red,none,none
125,scott usa,m defined tech jkt,zp-562/3    ,utx,0,1,pop in puller- #3        ,chest pkt zipper,1,0.049,0.049,nightfall blue,lunar blue,caviar black,moroccan red,none,none
126,scott usa,m defined tech jkt,pca224,utx,0,1,cordlock,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,none
127,scott usa,m defined tech jkt,10mm grosgrain ribbon,woosung,0,1,webbing,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none
128,scott usa,m defined tech jkt,p481s001,utx,0,1,rubber puller ,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,none
129,scott usa,m defined tech jkt,1034213,chun wo ho,0,1,custom braid 2.2mm,bottom hem,none,0.109,yard,nightfall blue,marine blue,caviar black,moroccan red,none,none
130,scott usa,m defined tech jkt,5mm eyelet,il jin  ,0,1,5mm logo eyelet,hem drawcord exit      ,4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,none,none
131,scott usa,m defined tech jkt,"3/4"" foldable lycra",woosung,0,1,binding,"cf zipper tape finish, windflap edge",none,0.244,yard,nightfall blue,lunar blue,caviar black,moroccan red,none,none
132,scott usa,m defined tech jkt,gramax thread,coats,0,1,normal flatlock,"seams at armhole, sleeves, side seams, chest pocket seam",none,none,0,nightfall blue,lunar blue,caviar black,moroccan red,none,none
133,scott usa,m defined tech jkt,sb-dp-804,taekwang,0,1,direct print (matte quality),right bicep,1,none,0,19-4010 eclipse blue,lunar blue,iron grey,moroccan red,none,none
134,scott usa,m defined tech jkt,ats,taekwang,0,1,ats (matte quality),left chest pocket window,1,none,0,19-4010 eclipse blue,lunar blue,iron grey,19-1650 biking red,none,none
135,scott usa,m defined tech jkt,m-size-20,daeyong,0,1,m's main interior label           ,cb neckseam      ,1,0.045,0.045,x,x,x,x,none,none
136,scott usa,m defined tech jkt,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,none,none
137,scott usa,m defined tech jkt,ccl-001,daeyong,0,1,care content labels,left side seam,1,0.035,0.035,x,x,x,x,none,none
138,scott usa,m defined tech jkt,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,none,none
139,scott usa,m defined tech jkt,m-ht-lay,daeyong,0,1,m's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,none,none
140,scott usa,m defined tech jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,none,none
141,scott usa,m defined tech jkt,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,none,none
142,scott usa,m defined tech jkt,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,none,none
143,scott usa,m defined tech jkt,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,none,none
144,scott usa,m defined tech jkt,dryo-ht-wr-2,daeyong,0,1,dryozone dwr hangtag,insert,1,0.1,0.1,x,x,x,x,none,none
145,scott usa,w trail mtn wb 40 jacket,lm792 2.5l,premiere,1,0,,"shell fabric at side hood panels, front collar, sleeves, front and back body, outer cuff,  self fabric binding (where needed) and binding at cf zipper tape edge, windflap, back hood tunnel",none,5,yard,plum violet,carrot orange,dark blue,none,none,none
146,scott usa,w trail mtn wb 40 jacket,sotl085-pu01,solis,1,0,,"shell fabric at side hood panels, front collar, sleeves, front and back body, outer cuff,  self fabric binding (where needed) and binding at cf zipper tape edge, windflap, back hood tunnel",none,3,yard,none,none,none,dark grey melange,none,none
147,scott usa,w trail mtn wb 40 jacket,lm792 2.5l,premiere,1,0,,"shell fabric at middle hood panel, side seam panels",none,5,yard,carrot orange,carrot orange,dark blue,none,none,none
148,scott usa,w trail mtn wb 40 jacket,sotl085-pu01,solis,1,0,,"shell fabric at middle hood panel, side seam panels",none,3,yard,none,none,none,dark grey melange,none,none
149,scott usa,w trail mtn wb 40 jacket,sck-757s,singtex,1,0,,inner knit cuffs,none,4.8,yard,caviar black,caviar black,caviar black,caviar black,none,none
150,scott usa,w trail mtn wb 40 jacket,l1025 sw,r.m. interlinings ltd.,0,1,non woven interlining,windflap,none,0.1,yard ,stock white,stock white,stock white,stock white,none,none
151,scott usa,w trail mtn wb 40 jacket,ym11-3527,youngone,0,1,1 layer stretch mesh,pocket bag,none,2.7,yard,dark grey,dark grey,dark grey,dark grey,none,none
152,scott usa,w trail mtn wb 40 jacket,cifor-39 dsbyg (h3),ykk,0,1,"#3 coil, open end, right insert, dsbyg slider ",cf zipper,1,none,0,bayberry green,plum violet,dark blue,dark grey,none,none
153,scott usa,w trail mtn wb 40 jacket,chc-36 dadr2a e  ,ykk,0,1,"#3 invisible coil, closed end, dadr2a slider",right side seam small pocket zipper,1,none,0,bayberry green,plum violet,dark blue,dark grey,none,none
154,scott usa,w trail mtn wb 40 jacket,tba,tba,0,1,reflective webbing, back hood pull,1,0.35,yard,reflective silver,reflective silver,reflective silver,reflective silver,none,none
155,scott usa,w trail mtn wb 40 jacket,"1/4"" elastic",woosung  ,0,1,"1/4"" elastic",sides of hood,none,0.056,yard,stock white,stock white,stock white,stock white,none,none
156,scott usa,w trail mtn wb 40 jacket,"1"" elastic",woosung  ,0,1,"1"" elastic","back cuff, front hem",none,none,yard,white,white,white,white,none,none
157,scott usa,w trail mtn wb 40 jacket,pca224,utx,0,1,cordlock,back of hood (1),1,0.06,0.058,dark grey,dark grey,dark grey,dark grey,none,none
158,scott usa,w trail mtn wb 40 jacket,10mm grosgrain ribbon,woosung,0,1,grosgrain ribbon           ,anchor for pca224 cordlock at back hood,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none
159,scott usa,w trail mtn wb 40 jacket,2mm shockcord,woosung  ,0,1,custom braid,hood,none,0.11,yard,bayberry green,plum violet,orchid violet,dark grey,none,none
