,0,1,2,3,4,5,6,7
58,hand & chest pocket flaps,"1/2"" x 2"" ",paiho / hooketn7 / loop#1057,2 sets  per pocket flap,matching,matching,matching,matching
59,media pocket,"1/2"" x 3""",paiho / hooketn7 / loop#1057,2 pieces,matching,matching,matching,matching
61,thread,spi,ref number,amount,black,camo,sand / dark slate,harvest / raven
62,seams,10-12 spi,#604,none,matching,matching,matching,matching
63,topstitch,8-10 spi,none,none,matching,matching,matching,matching
64,bartacks,none,none,none,matching,matching,matching,matching
65,sleeve gaiter cover stitch,must be stretch thread,none,none,matching,matching,matching,matching
67,marketing,description,ref number,amount,black,camo,sand / dark slate,harvest / raven
68,left hand pocket zipper head,l1 hang tag,none,1,l1 hang tag,none,none,none
69,lining cb facing,wp breath / size label / rn ca / made in ___,none,1,none,none,none,none
70,lining left side seam,address label,sew as loop,1,address label,none,none,none
71,lining left side seam,content label,sew as loop,1,content label,none,none,none
72,lining left side seam,washing label,sew as loop,1,washing label,none,none,none
73,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none
