,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,military,bone,ink,black
10,ottoman,"solis/ sotp080-2l32-i ottoman, 10k 10k dot lam, c6+ dwr",a,100% polyester,military,bone,ink,black
11,broken twill,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",b,100% polyester,military,bone,ink,black
13,insulation,supplier/ reference number,location ,content,military,bone,ink,black
14,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g
16,seam tape,supplier/ reference number,location ,content,military,bone,ink,black
17,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
19,lining,supplier/ reference number,location ,content,military,bone,ink,black
20,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
21,printed satin,solis/ pr258 womens print,center back panel,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
22,solid 210t ,solis/ sonp006-1 ,main body,none,black,black,black,black
23,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black
24,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black
25,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
26,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
27,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
28,regular mesh,1606b02 (als-16038),underarm vents,100% polyester,black,black,black,black
29,regular mesh ,1606b02 (als-16038),goggle pocket,100% polyester,black,black,black,black
30,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
