,0,1,2,3,4,5,6,7
50,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
51,elastine binding,none,goggle pocket binding,1,black,black,black,black
52,elastine kissing welts,none,media pocket cord exits,2,black,black,black,black
53,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,2,"colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal "
55,bonding film,supplier/ reference number,location,amount,black,black,black,black
56,bonding film,none,hood brim,1,bonding film,bonding film,bonding film,bonding film
57,bonding film,none,chin vents,1 per side = 2,bonding film,bonding film,bonding film,bonding film
58,bonding film,none,chest pocket openings,1 per side = 2,bonding film,bonding film,bonding film,bonding film
59,bonding film,none,hand pocket flaps,1 per side = 2,bonding film,bonding film,bonding film,bonding film
60,bonding film,none,cuff tabs,1 per side = 2,bonding film,bonding film,bonding film,bonding film
61,bonding film,none,sleeve pocket opening,1,bonding film,bonding film,bonding film,bonding film
63,velcro,supplier/ reference number,location,amount,black,silt,walnut,dusty green
64,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
65,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
67,thread,spi,supplier/ ref number,amount,black,silt,walnut,dusty green
68,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
69,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
70,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
71,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell
73,labels ,supplier/ reference number,location,amount,black,silt,walnut,dusty green
74,20k/20k fully taped,soluna/ main label,center back below neck seam,1,20k/20k fully taped,20k/20k fully taped,20k/20k fully taped,none
75,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",none
77,hang tags,supplier/ reference number,location,amount,black,silt,walnut,dusty green
78,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,none
81,care and content labels,supplier/ reference number,location,amount,black,silt,walnut,dusty green
82,address label,factory sourced,lining left side seam,1,address label,address label,address label,none
83,content label,factory sourced,lining left side seam,1,content label,content label,content label,none
84,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,none
