,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,black,gunmetal,silt,walnut
10,micro ripstop,solis/ sotl120-pu01 micro rip 2l dot lam ,a,100% polyester,black,gunmetal,silt,walnut
11,faux leather,suppler? can you source same quality as other faux leather trims,front left belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather
13,insulation,supplier/ reference number,location ,content,black,gunmetal,silt,walnut
14,polyfill,60g pinneco core or synthetic down,"body, back yoke",100% polyester,60g pinneco core or synthetic down,60g pinneco core or synthetic down,60g pinneco core or synthetic down,60g pinneco core or synthetic down
15,polyfill,20g pinneco mantle,"waistband, back pocket welts",100% polyester,20g pinneco core or synthetic down,20g pinneco core or synthetic down,20g pinneco core or synthetic down,20g pinneco core or synthetic down
17,seam tape,supplier/ reference number,location ,content,black,gunmetal,silt,walnut
18,seam tape,tsgs,critically taped,none,critically taped,critically taped,critically taped,critically taped
20,lining,supplier/ reference number,location ,content,black,gunmetal,silt,walnut
21,solid 210t ,solis / sonp006-1,body,100% nylon,black,black,black,black
22,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black,black
23,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black,black
24,brushed tricot,supplier / ref code,waistband and fly,100% polyester,black,black,black,black
25,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,black
26,regular mesh,1606b02 (als-16038),vents,100% polyester,black,black,black,black
28,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,gunmetal,silt,walnut
29,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print
