,0,1,2,3,4,5,6
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
11,a,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
15,"40g ""cs"" polyfill all over",none,polyfill,none,"40g ""cs"" polyfill all over",none,none
17,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
18,critically taped,width...seam tape,sealon,none,critically taped,none,none
20,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
21,"chin, hood,  sleeves, body, pocket bags",solid 210d,solis / ref number,none,none,none,none
22,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
23,goggle pocket,regular mesh,solis / ref number,none,none,none,none
24,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
