,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,rust,black,ink,military
10,calvary stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,100% polyester,rust,black,ink,military
11,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather
13,insulation,supplier/ reference number,location ,content,rust,black,ink,military
14,non insulated,none,none,none,none,none,none,none
17,seam tape,supplier/ reference number,location ,content,rust,black,ink,military
18,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped,fully taped
20,lining,supplier/ reference number,location ,content,rust,black,ink,military
21,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black
22,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black
23,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black
24,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black
26,lower leg lining print (see pdf),supplier/ reference number,location ,content,rust,black,ink,military
27,on coated 210t,please source ,lower leg front and back,none,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
