,0,1,2,3,4,5,6,7,8
27,trims,supplier/ reference number,location,amount,walnut,ink,military,black,silt
28,15mm metal snap,luk's / 404,back pocket flaps (hidden),1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
29,15mm metal snap,luk's / 404,sleeve hems,"1 female, 2 male",al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
30,15mm metal snap,luk's / 404,finger snap hem adjust,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
31,boot hook,none,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
32,keyclip,as last year production,right hand pocket,1 per side = 2,black,black,black,black,black
34,notions,supplier/ reference number,location,amount,walnut,ink,military,black,silt
35,grosgrain,xxx,attach keyclip right hand pocket ,1,black,black,black,black,black
36,"shell tab 1""",soluna,under leg snaps,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
37,"shell tab 1""",soluna,under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
38,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,black
40,velcro,supplier/ reference number,location,amount,walnut,ink,military,black,silt
43,thread,spi,supplier/ ref number,amount,walnut,ink,military,black,silt
44,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),none,regular thread,match to shell,match to shell,match to shell,match to shell,match to shell
45,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell,match to shell
46,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell
47,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell
49,labels ,supplier/ reference number,location,amount,walnut,ink,military,black,silt
50,10k/10k fully seam sealed,soluna/ main label,front left leg,1,10k/10k fully seam sealed,none,none,none,none
51,size label (sample size s),soluna/ size label,center back waist band,1,"xs, s, m, l",none,none,none,none
53,hang tags,supplier/ reference number,location,amount,walnut,ink,military,black,silt
54,womens pant hang tag,soluna/ womens pant hang tag,left side belt loop,1,womens pant hang tag,none,none,none,none
55,pant fit hang tag,boyfriend fit,none,1,boyfriend fit,none,none,none,none
57,care and content labels,supplier/ reference number,location,amount,walnut,ink,military,black,silt
58,address label,factory sourced,lining left side seam,1,none,none,none,none,none
59,content label,factory sourced,lining left side seam,1,none,none,none,none,none
60,washing label,factory sourced,lining left side seam,1,none,none,none,none,none
