,0,1,2,3,4
9,shell fabric ,supplier/ reference number,location ,content,vintage camo broken twill
10,broken twill,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",a,none,vintage camo broken twill
11,brown faux leather,please source,back right belt loop,none,brown faux leather
13,insulation,supplier/ reference number,location ,content,vintage camo broken twill
14,polyfill,pinneco mantle,seat,100% polyester,40g
15,polyfill,pinneco mantle,knees (front),100% polyester,40g
17,seam tape,supplier/ reference number,location ,content,vintage camo broken twill
18,seam tape,tsgs ,fully seam sealed,none,fully seam sealed
20,lining,supplier/ reference number,location ,content,vintage camo broken twill
21,solid 210t ,solis/ sonp006-1 ,legs,100% nylon,black
22,solid 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black
23,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black
24,brushed tricot,brushed tricot,hand pocket bags,100% polyester,black
25,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black
27,lower leg lining print (see pdf),supplier/ reference number,location ,content,vintage camo broken twill
28,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt 
