,0,1,2,3,4,5,6
9,shell fabric ,supplier/ reference number,location ,content,silt,walnut,black
10,"20k/20k 3layer
printable tricot on inside
",lucky / 20k/20k ltc32509-r5-h474 3l /  c6 dwr 80/10,a,none,silt ,walnut,black
12,insulation,supplier/ reference number,location ,content,silt,walnut,black
13,non insulated,none,none,none,non insulated,non insulated,non insulated
15,seam tape,supplier/ reference number,location ,content,silt,walnut,black
16,seam tape (possibly printed),lucky / 15mm ltc32509-r5-h474 3l - seam tape ,fully seam sealed,100% polyester,fully seam sealed,fully seam sealed,fully seam sealed
18,lining,supplier/ reference number,location ,content,silt,walnut,black
19,shell,lucky / 20k/20k ltc32509-r5-h474 3l /  c6 dwr 80/10,lining pocket,none,silt ,walnut,black
20,shell,lucky / 20k/20k ltc32509-r5-h474 3l /  c6 dwr 80/10,hand pocket bags,none,silt ,walnut,black
21,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black
