,0,1,2,3,4,5
8,zippers,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
9,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black
10,leg pocket,#3 coil,non ykk dadr4 l-type drop // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black
11,hem,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black
13,l1 branded trims,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
14,cf fly,17mm donut post shank,supplier / l1-2016-trim-005,1,matte black,matte black
15,front left hand pocket,10mm square rivet,l1-2016-trim-004,1,matte black,matte black
16,front pocket edges,10mm denim rivet ,14-l1sp-089,3,matte black,matte black
17,back right waist band,"l1  patch 
with deboss 2",l1-2017-trim-104,1,black,black
18,back left pocket ,l1 small faux suede patch,l1-2017-trim-106,1,black,black
19,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,dtm shell
21,other trims,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
22,waist drawcord,"3/8"" flat waxed shoe lace with clear plastic tips",supplier / ref number,1 + 2 clear plastic tips,black waxed / clear tips,black waxed / clear tips
23,leg pocket,key clip,j&k // hk-001,1,black,black
25,webbing & elastic,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
26,keyclip loop leg pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,none
28,thread,spi,supplier/ ref number,amount,black overdye denim,brown overdye denim
29,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,matching
30,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,matching
31,bartacks,none,# 604 tseu,regular thread,matching,matching
33,l1 marketing,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
34,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,l1 pant hang tag
35,front left belt loop behind main hang tag,denim warning hang tag,supplier // ,1,denim warning hang tag,denim warning hang tag
36,front left belt loop behind denim dye warning hang tag,l1 pant fit hang tag ,supplier // skinny fit,1,l1 pant fit hang tag  // skinny fit,l1 pant fit hang tag  // skinny fit
37,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,l1 pant size label
38,lining front right,l1 main label,skinny fit // 10k/10k // critically taped ,1,skinny fit // 10k/10k // critically taped ,skinny fit // 10k/10k // critically taped 
39,lining left side seam,address label,sew as loop,1,address label,address label
40,lining left side seam,content label,sew as loop,1,content label,content label
41,lining left side seam,address label,sew as loop,1,address label,address label
42,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,clear zip tie
