,0,1,2,3,4,5,6,7,8
9,shell fabric ,supplier/ reference number,location ,content,walnut,ink,military,black,silt
10,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,walnut,ink,military,black,silt
11,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
13,insulation,supplier/ reference number,location ,content,walnut,ink,military,black,silt
14,polyfill,pinneco mantle,seat,100% polyester,40g,40g,40g,40g,40g
15,polyfill,pinneco mantle,knees (front),100% polyester,40g,40g,40g,40g,40g
17,seam tape,supplier/ reference number,location ,content,walnut,ink,military,black,silt
18,seam tape,tsgs ,fully seam sealed,none,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed
20,lining,supplier/ reference number,location ,content,walnut,ink,military,black,silt
21,solid 210t ,solis/ sonp006-1 ,legs,100% nylon,black,black,black,black,black
22,solid 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
23,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black,black
24,brushed tricot,brushed tricot,hand pocket bags,100% polyester,black,black,black,black,black
25,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black
27,lower leg lining print (see pdf),supplier/ reference number,location ,content,walnut,ink,military,black,silt
28,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt 
