,0,1,2,3,4,5
9,shell fabric ,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
10,micro ripstop,solis / sotl120 micro ripstop c6 dwr,a,none,gunmetal,black
12,insulation,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
13,polyfill insulation ,pinneco mantle 100g,all over,100% polyester,pinneco mantle 100g,pinneco mantle 100g
15,seam tape,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
16,not taped,none,none,none,not taped,not taped
18,lining,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
19,solid 210t ,solis / sonp006-1,main body,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
20,solid 210t ,solis / sonp006-1,sleeves,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
21,solid 210t ,solis / sonp006-1,chest pocket bag,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
22,solid 210t ,solis / sonp006-1,hand pocket bags,100% polyester,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
23,solid 210t ,solis / sonp006-1,chin guard lining,100% polyester,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
