,0,1,2,3,4,5,6,7,8
9,shell fabric ,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal
10,calvary stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,100% polyester,black,walnut,military,dark slate,gunmetal
11,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather
13,insulation,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal
14,non insulated,none,none,none,none,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal
17,seam tape,tsgs,critically taped,none,critically taped,critically taped,critically taped,critically taped,critically taped
19,lining,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal
20,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,black
21,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black
22,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
23,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black
25,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal
26,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
