,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,black,gunmetal,ink,soil
10,calvary stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,100% polyester,black,gunmetal,ink,soil
11,leather,please source,suppler? can you source same quality as other faux leather trims,100% leather,black faux leather,black faux leather,black faux leather,black faux leather
13,insulation,supplier/ reference number,location ,content,black,gunmetal,ink,soil
14,non insulated,none,none,none,none,none,none,none
17,seam tape,supplier/ reference number,location ,content,black,gunmetal,ink,soil
18,seam tape,tsgs ,critically taped,none,critically taped,critically taped,critically taped,critically taped
20,lining,supplier/ reference number,location ,content,black,gunmetal,ink,soil
21,solid 210t ,regular mesh,1606b02 (als-16038),100% polyester,black,black,black,black
22,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black
23,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black
24,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black
26,shell fabric ,supplier/ reference number,location ,content,black,gunmetal,ink,soil
27,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
