,0,1,2,3,4,5,6
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
11,a,oxford no washout 5k/5k coating + c6 dwr 80/10 $4.00,solis l2-584,100% poly,none,none,none
12,b,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,100% poly,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
15,"40g ""cs"" polyfill hood and sleeves",none,polyfill,none,"40g ""cs"" polyfill hood and sleeves",none,none
16,"60g ""cs"" polyfill body",none,polyfill,none,"60g ""cs"" polyfill body",none,none
18,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
19,critically taped,width...seam tape,sealon,none,critically taped,none,none
21,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
22,"hood,  sleeves, front panels, pocket bags",solid 210d,solis / ref number,none,none,none,none
23,back panel,printed 210t,solis / ref number,none,none,none,none
24,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
25,chin,brushed tricot,solis / ref number,none,none,none,none
26,goggle pocket & underam vents,regular mesh,solis / ref number,none,none,none,none
27,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
