,0,1,2,3,4,5,6
10,shell fabric,item,supplier/ ref number,content,black,military,none
11,body,microtwill sott023-2l2-i $3.75 ,none,none,black,military,none
12,cuff ribbing,1 x 1 polyester  ribbing ,none,none,black,black,black on both colorways
14,insulation,item,supplier/ ref number,content,black,military,0
15,"60g ""cs"" polyfill all over",none,none,none,"60g ""cs"" polyfill all over","60g ""cs"" polyfill all over",none
17,seam tape,item,supplier/ ref number,content,black,military,0
18,critically taped,none,sealon,none,critically taped,critically taped,none
20,lining,item,supplier/ ref number,content,black,military,0
21,body,solid quilted 210t,solis / ref number,none,black,black,none
22,"sleeves, hand pocket lining",solid 210t,solis / ref number,none,black,black,none
