index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
2537,branding,abem_302 airblaster cursive embroidery,,,,"right chest pocket, see palcement page for detail",old gold 724,bone 80003,black,bone 80003,,,,,,,1,,,airblaster,AB18WJ1_091,0,1,0,1,0
2538,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB18WJ1_091,0,1,0,1,0
2539,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB18WJ1_091,0,1,0,1,0
2540,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,clear,clear,clear,clear,,,,,,,1,,,airblaster,AB18WJ1_091,0,1,0,1,0
2541,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,,,,,,,,,,,1,,,airblaster,AB18WJ1_091,0,1,0,1,0
2542,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,,,,,,,,,,,1,,,airblaster,AB18WJ1_091,0,1,0,1,0
2543,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),,,,"main body, back yoke, back pocket flaps",,,,,,,,,,,,,,airblaster,AB19MP2_054-170228,1,0,0,1,0
2544,shell fabric,sotp069-c1-h 100% polyester 15k/10k+2-layer +breathable coating+dwr (supplied by solis),,,,cargo pockets,,,,,,,,,,,,,,airblaster,AB19MP2_054-170228,1,0,0,1,0
2545,lining,210t-e emb07 terry emboss taffeta 100% nylon (supplied by ecoya),,,,inside lining,,,,,,,,,,,,,,airblaster,AB19MP2_054-170228,1,0,0,1,0
2546,lining, velvety tricot - soto048-1 (supplied by solis),,,,"inside wiastband, inner front pockets, inside fly panel",,,,,,,,,,,,,,airblaster,AB19MP2_054-170228,1,0,0,1,0
2547,other ,100% poly mesh - sotc025-1 (supplied by solis),,,,vents,,,,,,,,,,,,,,airblaster,AB19MP2_054-170228,1,0,0,1,0
2548,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,inside lower leg gaiters,,,,,,,,,,,,,,airblaster,AB19MP2_054-170228,1,0,0,1,0
2549,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",,,,fly,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,1,1,0
2550,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close down)",,,,(2) hand pockets pockets ,,,,,,,,,,,2,,,airblaster,AB19MP2_054-170228,0,1,1,1,0
2551,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1(zippers close from c.b. to side seam)",,,,(2) back pockets ,,,,,,,,,,,2,,,airblaster,AB19MP2_054-170228,0,1,1,1,0
2552,zipper,"ykk no.5 nylon coil zippers,hidden chain, auto-lock slider da8lh1 (zipper close down)",,,, vents,,,,,,,,,,,2,,,airblaster,AB19MP2_054-170228,0,1,1,1,0
2553,zipper pull,abzp_01 utility cord zipper pullers with tied end ,,,,"(2) vents, (4) pockets,  ",,,,,,,,,,,6,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2554,hardware,jean button17mm  (incl. washers),,,,(1) fly opening,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2555,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",,,," (4) pocket flaps, (2) bang snaps, (2) back pocket flaps",,,,,,,,,,,8,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2556,hardware,12mm metal eyelet  (incl. washers),,,,(2)waistband (1) left belt loop,,,,,,,,,,,3,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2557,hardware,lace hooks,,,,c.f. of lower leg gaiters at gripper elastic,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,2,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2558,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,,,,waistband,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2559,elastic,gripper elastic,,,,at inside lower leg gators,black,black,black,black,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2560,key clip,plastic key clip attched with webbing loop,,,,inside w. right pocket bag,black,black,black,black,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2561,webbing,"flat webbing tape, 8mm",,,,key clip attachment at wearers right inside pocket,black,black,black,black,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2562,main label,,,,,"inside c.b. waist, see q/a for detail",,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2563,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2564,w/c label,satin/printed w/c label (supplied by your side),,,,at inside wearers left 8 cm from waistband seam,black,black,black,black,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2565,flag  label,ablt_01 flag label (airpill logo side),,,,left vent 2cm up from bottom of vent,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2566,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back waist seam,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2567,branding,,,,,,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2568,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2569,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2570,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,black,black,black,black,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2571,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,white,white,white,white,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2572,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,white,white,white,white,,,,,,,1,,,airblaster,AB19MP2_054-170228,0,1,0,1,0
2573,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),,,,main body,,,,,,,,,,,,,,airblaster,B-AB19WP3_116,1,0,0,1,0
2574,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),,,,inside lining,,,,,,,,,,,,,,airblaster,B-AB19WP3_116,1,0,0,1,0
2575,other, velvety tricot - soto048-1 (supplied by solis),,,,"at inside waistband, inside hand pockets at front panels only, inside fly",,,,,,,,,,,,,,airblaster,B-AB19WP3_116,1,0,0,1,0
2576,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,"lower leg gators, internal crotch gusset",,,,,,,,,,,,,,airblaster,B-AB19WP3_116,1,0,0,1,0
2577,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",,,,fly ,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,1,1,0
2578,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",,,,front pockets (3),,,,,,,,,,,3,,,airblaster,B-AB19WP3_116,0,1,1,1,0
2579,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",,,,back pocket,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,1,1,0
2580,zipper pull,abzp_01 utility cord pulls,,,,(4) pockets,,,,,,,,,,,4,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2581,velcro,hook and loop w: 1.6cm x h: 3 cm,,,,(4)under pocket flaps,,,,,,,,,,,4,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2582,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",,,,"bang snaps (2), cf closure(2)",,,,,,,,,,,4,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2583,hardware,12mm metal eyelet  (incl. washers),,,,front waistband 5cm each side of center front (2),,,,,,,,,,,2,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2584,hardware,"abel_01 metal airblaster eyelet (incl. washers, supplied by wellsucceed)",,,,front left belt loop,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2585,hardware,metal hook closure,,,,at inside waistband,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2586,hardware,metal lace hooks,,,,at inside lower leg gaiters,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,2,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2587,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,,,,waistband,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2588,elastic,gripper elastic,,,,at inside lower leg gators,black,black,black,black,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2589,key clip,plastic key clip attched with webbing loop,,,,inside w. right pocket,black,black,black,black,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2590,webbing,8 mm width webbing,,,,key clip attachment  at wearer's right inside pocket,black,black,black,black,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2591,main label,,,,,inside c.b. waist see q/a for detail,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2592,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2593,w/c label/content,satin with print (same as 12/13 label),,,,"at inside side seam, 8 cm down from waistband seam",black,black,black,black,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2594,flag label,ablt_01 logo flag label (airpill side),,,,inside of right back pocket 3cm from top of pocket,black/white,black/white,black/white,black/white,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2595,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back waist seam,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2596,branding,,,,,,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2597,branding,,,,,,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2598,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2599,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2600,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,black,black,black,black,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2601,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,white,white,white,white,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2602,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,white,white,white,white,,,,,,,1,,,airblaster,B-AB19WP3_116,0,1,0,1,0
2603,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),,,,"main body, sleeves. hood",black,duffel,rust,butter,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2604,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),,,,"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2605,other , velvety tricot - soto048-p (supplied by solis),,,,"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",modern athlete,modern athlete,modern athlete,modern athlete,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2606,other,100% poly mesh - sotc025-1 (supplied by solis),,,,"vents, internal goggle pocket",black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2607,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,powder skirt,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2608,other,"1x1 rib knit,good quality arcylic/spandex",,,,cuffs,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_084,0,1,0,1,0
2609,other,lycra binding tape,,,,internal mesh pocket opening,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_084,0,1,0,1,0
2610,other,60gm insulation,,,,"main body, hood and sleeves",white,white,white,white,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2611,other,gripper elastic,,,,powder skirt,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_084,0,1,0,1,0
2612,pellon,lightweight interfacing (item# tbd),,,,"inner storm flap, powder skirt closure flaps",white,white,white,white,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2613,pellon,heavyweight interfacing (item# tbd),,,,hood brim,white,white,white,white,,,,,,,,,,airblaster,AB18MJ1_084,1,0,0,1,0
2614,zipper,"ykk no.5 2-way coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",,,,cf,black,duffel 237,rust 236,butter 510,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,1,1,0
2615,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),,,,( 2) hand pockets,black,duffel 237,rust 236,butter 510,,,,,,,2,,,airblaster,AB18MJ1_084,0,1,1,1,0
2616,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)",,,, vents,black,duffel 237,rust 236,butter 510,,,,,,,2,,,airblaster,AB18MJ1_084,0,1,1,1,0
2617,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",,,,1 internal pocket at w.'s inside left,black,duffel 237,rust 236,butter 510,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,1,1,0
2618,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),,,,"cf, (2) hand pockets, (1) internal pocket, (2) vents",black,black,black,black,,,,,,,6,,,airblaster,AB18MJ1_084,0,1,0,1,0
2619,stoppers,barrel stopper k-018,,,,2) hood,black,dark olive,black,dark olive,,,,,,,2,,,airblaster,AB18MJ1_084,0,1,0,1,0
2620,webbing,"flat webbing tape, 8mm",,,, key clip attachment at inside wearer's right pocket,black,black,black,black,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2621,hardware,"metal eyelets, 12mm (incl. washers)",,,,"(4) at hood opening, ",pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,,,4,,,airblaster,AB18MJ1_084,0,1,0,1,0
2622,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",,,," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,,,14,,,airblaster,AB18MJ1_084,0,1,0,1,0
2623,hardware,male snap only (incl. washers),,,,"(2) powder skirt, (2)cuffs",pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,,,4,,,airblaster,AB18MJ1_084,0,1,0,1,0
2624,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,,,,hood,black,dark olive,black,dark olive,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2625,elastic , 2.5 cm flat elastic ,,,,(2) cuffs,black,black,black,black,,,,,,,2,,,airblaster,AB18MJ1_084,0,1,0,1,0
2626,key clip,plastic key clip attched with webbing loop,,,,inside wearers right pocket.,black,black,black,black,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2627,main label,abwv_67 freedom main label,,,,"inside c.b. neck, centered below abwv_110",olive/black,olive/black,olive/black,olive/black,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2628,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,olive/black,olive/black,olive/black,olive/black,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2629,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from bottom edge",black,black,black,black,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2630,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back neck seam,olive/black,olive/black,olive/black,olive/black,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2631,branding,abpa_105b corey patch,,,,"left chest, see palcement page for detail",bone/black/ black velcro,bone/black/ olive velcro,bone/black/ rust velcro,bone/black/ gold velcro,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2632,branding,abwv_110 modern athlete woven label,,,,centered 3cm below abwv_67,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2633,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2634,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2635,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,clear,clear,clear,clear,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2636,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,,,,,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2637,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,,,,,,,,,,,1,,,airblaster,AB18MJ1_084,0,1,0,1,0
2638,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,,,,main body,,,,,,,,,,,,,,airblaster,AB19MP4_037-170215,1,0,0,1,0
2639,lining,210t-e terry emboss taffeta   (supplied by ecoya),,,,"inside lining, lower leg gaiters",,,,,,,,,,,,,,airblaster,AB19MP4_037-170215,1,0,0,1,0
2640,lining, velvety tricot - soto048-1 (supplied by solis),,,,"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",,,,,,,,,,,,,,airblaster,AB19MP4_037-170215,1,0,0,1,0
2641,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,"lower leg gators, internal crotch gusset",black,black,black,black,,,,,,,,,,airblaster,AB19MP4_037-170215,1,0,0,1,0
2642,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",,,,fly,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,1,1,0
2643,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",,,,back pockets,,,,,,,,,,,2,,,airblaster,AB19MP4_037-170215,0,1,1,1,0
2644,zipper,"ykk no.3 nylon reverse coil, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",,,,phone pocket,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,1,1,0
2645,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),,,,back pockets (2),,,,,,,,,,,2,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2646,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",,,,at c.f. closure.,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2647,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",,,,bang snaps (2),,,,,,,,,,,2,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2648,hardware,12mm metal eyelet  (incl. washers),,,,front waistband 10cm each side of center front (2),,,,,,,,,,,2,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2649,hardware,abel_01 (incl. washers),,,,left belt loop (1),,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2650,hardware,metal lace hook,,,,2 pcs at bottom leg openings.  place at cf of each leg opening.,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,2,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2651,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,,,,waistband,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2652,elastic,gripper elastic,,,,at inside lower leg gators,black,black,black,black,,,,,,,2,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2653,main label,,,,,"inside c.b. waist, see q/a for detail",,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2654,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2655,w/c label,satin/printed w/c label   (supplied by your side),,,,"at inside wearers left, 8 cm from waistband seam",black,black,black,black,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2656,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back waist seam,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2657,branding,,,,,"hammer pocket, see placement page for detail",,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2658,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2659,hangtag,,,,,,,,,,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2660,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,black,black,black,black,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2661,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,white,white,white,white,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2662,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,white,white,white,white,,,,,,,1,,,airblaster,AB19MP4_037-170215,0,1,0,1,0
2663,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),,,,main body,black,dark navy,vintage black,,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2664,shell fabric,sotd109-pr01-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),,,,main body,,,,dinoflage,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2665,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),,,,"sleeves, hood",oxblood,camel,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2666,lining,210t-e emb07 tery emboss  taffeta(supplied by ecoya),,,,"inside lining, powder skirt, pocket bag",black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2667,other , velvety tricot - soto048-1 (supplied by solis),,,,"comfort chin guard, inner front pocket bag panel",black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2668,other,100% poly mesh - sotc025-1 (supplied by solis),,,,"vents, internal goggle pocket",black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2669,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,powder skirt,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2670,other,"1x1 rib knit,good quality arcylic/spandex",,,,cuffs,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2671,other,lycra binding tape,,,,internal mesh pocket opening,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2672,other,gripper elastic,,,,powder skirt,black,black,black,black,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2673,pellon,lightweight interfacing (item# tbd),,,,"inner storm flap, powder skirt closure flaps",white,white,white,white,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2674,pellon,heavyweight interfacing (item# tbd),,,,hood brim,white,white,white,white,,,,,,,,,,airblaster,AB18MJ1_032_ BOM,1,0,0,1,0
2675,zipper,"ykk no.8 vislon 2 way  zipper.  auto-lock slider da8lh, silders bottom to bottom   (right hand pull left hand insert)",,,,c.f.,oxblood 097,camel 161,black,black,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,1,1,0
2676,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),,,,( 2) hand pockets,oxblood 097,camel 161,black,black,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,1,1,0
2677,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)",,,, vents,oxblood 097,camel 161,black,black,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,1,1,0
2678,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",,,,1 internal pocket at w.'s inside left,oxblood 097,camel 161,black,black,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,1,1,0
2679,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),,,,"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",black,black,black,black,,,,,,,6,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2680,stoppers,round barrel stopper - k-018 ,,,, (2) hood,black,black,black,dark olive,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2681,stoppers,k343-2n push stoppers,,,,(2) bottom hem,black,black,black,dark olive,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2682,hand pulls,plastic hand pulls zp11 ,,,, (2) bottom hem,black,black,black,dark olive,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2683,webbing,"flat webbing tape, 8mm",,,, key clip attachment at inside wearer's right pocket,black,black,black,black,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2684,webbing,flat webbing tape 8mm width,,,, (2)stopper attachments loops at bottom hem,black,black,black,black,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2685,hardware,"metal eyelets, 12mm (incl. washers)",,,,"(4) at hood opening,  (4) inside bottom hem",matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,,,8,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2686,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",,,," (1) snap tabs at inside bottom hem,  (2) at powder skirt",matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,,,3,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2687,hardware,male snap only (incl. washers),,,,(2) powder skirt,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,,,2,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2688, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,,,,hood opening,black,black,black,dark olive,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2689,elastic drawcord, 2.5 mm elastic cord,,,,bottom hem adjustment,black,black,black,dark olive,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2690,key clip,plastic key clip attched with webbing loop,,,,inside wearers right pocket.,black,black,black,black,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2691,main label,abwv_67 freedom main label,,,,"inside c.b. neck, see q/a for placement",gold/black,gold/black,gold/black,gold/black,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2692,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,black/gold,black/gold,black/gold,black/gold,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
2693,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from bottom edge",black,black,black,black,,,,,,,1,,,airblaster,AB18MJ1_032_ BOM,0,1,0,1,0
