index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
10,pca224,cordlock,,,,back of hood (1),dark grey,dark grey,dark grey,dark grey,,,,,utx,,1,0.06,0.058,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
11,10mm grosgrain ribbon,grosgrain ribbon           ,,,,"anchor for pca224 cordlock at back hood, loop inside back pocket",dark grey,dark grey,dark grey,dark grey,,,,,woosung,,,0.05,yard,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
12,*new* 2mm shockcord ,custom braid,,,,hood ,"orange
17-1462",sea blue,"orange
17-1462",dark grey,,,,,tba,,,,yard,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
13,7mm thread eyelet,thread eyelet,,,,back of hood adjustment shockcord exit and tunnel,eclipse blue,sea blue,tangerine orange,dark grey,,,,,coats,,2,,yard,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
14,rht-004,reflective heat transfer,,,,front left chest,reflective eclipse blue,reflective sea blue,reflective orange 17-1462,reflective silver,,,,,tba,,1,,0,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
15,rht-009,reflective heat transfer,,,,right bicep,reflective orange 17-1462,reflective sea blue,reflective eclipse blue,reflective silver,,,,,tba,,1,,0,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
16,dw-rc-001,reflective durawelt,,,,cb below neckseam,reflective silver,reflective silver,reflective silver,reflective silver,,,,,factory,,1,0.28,0.28,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
17,m_t42_bd,heat transfer main interior label w/size/country,,,,interior cb neck,,,,,,,,,wwd,,1,0.13,0.13,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
18,sco-lb-adrs    ,address/rn & ca #s           ,,,,under normal care label      ,,,,,,,,,daeyong ,,1,0.06,0.06,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
19,8mm grosgrain ,grosgrain,,,,locker loop,dark grey,dark grey,dark grey,dark grey,,,,,woosung,,,0.04,yard,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
20,ccl-094,care content labels,,,,interior left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
21,ccl-001,care content labels,,,,interior left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
22,po label,po label- for bulk only!,,,,interior left side seam,white,white,white,white,,,,,daeyong ,,1,0.005,0.005,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
23,m-ht-app+chain,m's apparel hangtag,,,,cf zipper slider,,,,,,,,,daeyong ,,1,0.28,0.28,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
24,fit-ht-gen,general fit hang tag,,,,cf zipper slider,,,,,,,,,daeyong,,1,0.11,0.11,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
25,fit-ht-ath,athletic fit hangtag       ,,,,cf zipper slider,,,,,,,,,daeyong ,,1,0.055,0.055,scott usa,m trail mtn wb 40 jacket,0,1,0,1,0
26,4560,"shell fabric at hood, sleeves, front body, back body, zipper garages, windflap
facing fabric at rolled cuffs, rolled hem, pockets",,,,,lunar blue,lake blue,iron grey,nightfall blue,royal red,,,,dti,,,11.87,meter,scott usa,m defined merino jkt,1,0,0,1,0
27,please source,mesh,,,,"hand pocket bags, chest pocket bag",lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,,,,,yard,scott usa,m defined merino jkt,1,0,0,1,0
28,cifol-56 da8blh1 (e)           ,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,marine blue,lake blue,caviar black,nightfall blue,royal red,,,,ykk,,1,,0,scott usa,m defined merino jkt,0,1,1,1,0
29,cfc-36 dablh (e)         ,"#3 coil, closed end, dablh slider ",,,,chest pocket zipper,marine blue,lake blue,caviar black,nightfall blue,moroccan red,,,,ykk,,1,,0,scott usa,m defined merino jkt,0,1,1,1,0
30,cfc-36 dablh (e)         ,"#3 coil, closed end, dablh slider ",,,,hand pocket zippers,lunar blue,lake blue,caviar black,nightfall blue,moroccan red,,,,ykk,,2,,0,scott usa,m defined merino jkt,0,1,1,1,0
31,zp-561/5    ,pop in puller- #5       ,,,,cf zipper,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,utx,,1,0.05,0.05,scott usa,m defined merino jkt,0,1,0,1,0
32,zp-562/3    ,pop in puller- #3        ,,,,"hand pkt zippers, chest pocket zipper",lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,utx,,3,0.049,0.147,scott usa,m defined merino jkt,0,1,0,1,0
33,pca224,cordlock,,,,hem adjustment,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.06,0.116,scott usa,m defined merino jkt,0,1,0,1,0
34,10mm grosgrain ribbon,webbing,,,,anchor for pca224 cordlock at bottom hem,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung,,,0.05,yard,scott usa,m defined merino jkt,0,1,0,1,0
35,p481s001,rubber puller ,,,,hem adjustment      ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.02,0.04,scott usa,m defined merino jkt,0,1,0,1,0
36,1034213,custom braid 2.2mm,,,,bottom hem,marine blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,chun wo ho,,,0.109,yard,scott usa,m defined merino jkt,0,1,0,1,0
37,5mm eyelet,5mm logo eyelet,,,, hem adjustment exit (4),antique silver,antique silver,antique silver,antique silver,antique silver,,,,il jin  ,,4,0.03,0.12,scott usa,m defined merino jkt,0,1,0,1,0
38,"3/4"" foldable lycra",binding,,,,"hood binding, cf zipper tape finish, neck seam          ",marine blue,lake blue,caviar black,nightfall blue,royal red,,,,woosung,,,0.244,yard,scott usa,m defined merino jkt,0,1,0,1,0
39,hdp-003,high density print (matte quality),,,,upper left chest,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,,,,factory,,1,,0,scott usa,m defined merino jkt,0,1,0,1,0
40,sb-hdp-804,high density print (matte quality),,,,right bicep,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,,,,factory,,1,,0,scott usa,m defined merino jkt,0,1,0,1,0
