,FABRICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,P.,3
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,STYLE ,,,,,,THE ROCKS JKT 2.0 M,,,,,,,,,REF,,,,,,EIV4414,,,,,,,,,FABRIC,,,,,,LIBOLON,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RANGE,,,,,,CROSSOVER SERIES,,,,,,,,,SEASON,,,,,,FW18/19,,,,,,,,,SUPPLIER,,,,,,PRIMA,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,RAVEN,,,NIGHTFALL,,,DARK NIGHT,,,DARK ORANGE,,,MISTY GREY,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,7391,,,7986,,,6623,,,8633,,,8092,,,,,,,,,,,
9,,,,,REFERENCE,,,,,,,,,,PLACE,,,,,,COLOURS,,,,,,,,,,,,,,,,,,,,,,,
10,FABRIC 1,,,,Name :,,DEFENDER DISCOVERY 2,,,,,,T1,,FULL JACKET,,,,,,NOIR,,,NIGHTFALL,,,DARK NIGHT,,,DARK ORANGE,,,MISTY GREY,,,,,,,,,,,
11,,,,,supplier :,,LIBOLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,Fabric ref :,,06302 10K/10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,Compo :,,88% PES 12% PU // 100% TPU // 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,width:,,"56""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,Weight:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LINING,,,,Name :,,SHELL FABRIC,,,,,,,,FACING,,,,,,NOIR,,,NIGHTFALL,,,DARK NIGHT,,,DARK ORANGE,,,MISTY GREY,,,,,,,,,,,
18,,,,,supplier :,,LIBOLON  ref. 06302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,Name :,,BLACK NYLON ,,,,,,,,"SLEEVES + INNER POCKET BAG + CARE LABEL POCKET
",,,,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,,,,,,,,,
20,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,Name :,,LYCRA,,,,,,,,INNER CUFFS,,,,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,,,,,,,,,
22,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,Name :,,THERMO HONEYCOMB BIFACE,,,,,,,,INNER CUFFS,,,,,,GHOST/ STEEL GREY,,,DARK NIGHTFALL // NIGHTFALL,,,DARK NIGHT/ MISTY GRET,,, ORANGE/DARK ORANGE,,,DARK NIGHT/MISTY GREY,,,,,,,,,,,
24,,,,,supplier :,,WIDE PLUS ref. KMQ007-PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,Name :,,DOWNPROOF PLANET,,,,,,,,COLLAR + BODY,,,,,,NOIR,,,NOIR,,,ROUGE,,,NOIR,,,DARK ORANGE,,,,,,,,,,,
26,,,,,supplier :,,CAROLTEX ref. 8093LDF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,Name :,,MESH STRETCH,,,,,,,,GOGGLE POCKET,,,,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,,,,,,,,,
28,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,Name :,,GOGGLE CLEANER,,,,,,,,INSIDE GOGGLE POCKET,,,,,,GREY,,,GREY,,,GREY,,,GREY,,,GREY,,,,,,,,,,,
30,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,Name :,,CIRE TAFFETAS,,,,,,,,SNOWSKIRT + UNDER SNOWSKIRT,,,,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,,,,,,,,,
32,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,Name :,,FOAM REINFORCEMENT,,,,,,,,HOOD PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,POCKETS,,,,Name :,,MICROMAX,,,,,,,,HAND POCKETS,,,,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,,,,,,,,,
37,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,Name :,,NYLON,,,,,,,,CHEST POCKET + SKIPASS POCKET + INNER POCKET,,,,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,BLACK,,,,,,,,,,,
