,description,item,ref,content,colorway/4,colorway/5,colorway/6
1,a,micro twill 5k5k coating c6 wr $3.75,solis sott023-2l2-i,100%poly,black,military,pink
2,ribbing,need to source ,none,none,19-4006 tpx black,19-0515 tpx military,15-1512 tpx pink
3,insulation,item,supplier/ ref number,content,black,military,pink
4,"60 ""cs"" polyfill all over",none,none,none,"60 ""cs"" polyfill all over","60 ""cs"" polyfill all over","60 ""cs"" polyfill all over"
5,seam tape,item,supplier/ ref number,content,black,military,pink
6,critically taped,none,tsgs,none,critically taped,critically taped,critically taped
7,lining,item,supplier/ ref number,content,black,military,pink
8,chin & hand pocket bags,brushed tricot,please source,none,black,black,black
9,body & hood,blossom print satin,solis / pr258 blossoms ,none,solis / pr258 blossoms,solis / pr258 blossoms,solis / pr258 blossoms
10,"sleeves , inner pocket lining, sleeve pocket lining",solid 210t,solis / sonp006-1,none,black,black,black
