,description,item,ref,content,colorway/4,colorway/5,colorway/6
1,a,oxford no washout 5k/5k coating + c6 dwr 80/10 $4.00,solis l2-584,100% poly,none,none,none
2,b,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,100% poly,none,none,none
3,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
4,"40g ""cs"" polyfill hood and sleeves",none,polyfill,none,"40g ""cs"" polyfill hood and sleeves",none,none
5,"60g ""cs"" polyfill body",none,polyfill,none,"60g ""cs"" polyfill body",none,none
6,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
7,critically taped,width...seam tape,sealon,none,critically taped,none,none
8,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
9,"hood,  sleeves, front panels, pocket bags",solid 210d,solis / ref number,none,none,none,none
10,back panel,printed 210t,solis / ref number,none,none,none,none
11,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
12,chin,brushed tricot,solis / ref number,none,none,none,none
13,goggle pocket & underam vents,regular mesh,solis / ref number,none,none,none,none
14,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
