,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
11, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,match to shell,match to shell
12,branded trims,supplier/ reference number,location,amount,ink,military,rust,black
13,"l1-2018-trim-010
faux leather backed snap",luks,"cf placket (4), pocket flaps (4)",8,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather
14,"l1-2018-trim-004
brown faux leather hem wrap",please source supplier,left chest pocket flap,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
15,"l1-2018-trim-003
faux leather patch ",please source supplier,right hand pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
16,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching
17,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching
18,trims,supplier/ reference number,location,amount,ink,military,rust,black
19,15mm metal snap ,luks / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / sas54 pseudo anti silver base,al023 alloy (d) cap / doxcp oxidized copper
20,15mm metal snap ,luks / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / sas54 pseudo anti silver base,al023 alloy (d) cap / doxcp oxidized copper
21,15mm metal snap ,luks / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / sas54 pseudo anti silver base,al023 alloy (d) cap / doxcp oxidized copper
22,metal eyelets 8mm ,luks / et04,hood cord exit front,1 per side = 2 ,doxcp oxidized copper,doxcp oxidized copper,sas54 pseudo anti silver,doxcp oxidized copper
23,metal eyelets 8mm ,luks / et04,hem cord exit,2 per side = 4 ,doxcp oxidized copper,doxcp oxidized copper,sas54 pseudo anti silver,doxcp oxidized copper
24,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-4010 tcx ink,19-0515 tcx military,19-1540 tcx rust,19-4006 tcx black
25,cord lock,sv160819-4a,hem adjust exposed at lining,1 per side = 2,19-4010 tcx ink,19-0515 tcx military,19-1540 tcx rust,19-4006 tcx black
26,bead,sv160725-1a,hem adjust,1 per side = 2,19-4010 tcx ink,19-0515 tcx military,19-1540 tcx rust,19-4006 tcx black
27,metal drawcord tip,see photo,hood shockcord tips,1 per side = 2,doxcp oxidized copper,doxcp oxidized copper,sas54 pseudo anti silver,doxcp oxidized copper
28,keyclip,as last year production,right hand pocket,1,black,black,black,black
29,notions,supplier/ reference number,location,amount,ink,military,rust,black
30,"grosgrain 1/4""",xxx,attach front hood cord lock,1 per side = 2,black,black,black,black
31,"grosgrain 3/8""",xxx,attach hem cord lock,1 per side = 2,black,black,black,black
32,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,1,black,black,black,black
33,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
34,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell,match to shell
35,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell,match to shell
36,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell,match to shell
37,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
38,elastic ,none,back of sleeve cuffs,1,available,available,available,available
39,"elastic 1/4"" ",none,media pocket cord holder,1,black,black,black,black
40,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
41,elastine binding,none,goggle pocket binding,1,black,black,black,black
42,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,1,"colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","colorway: 2
19-1540 tcx rust/
19-4006 tcx black
","colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal"
43,velcro,supplier/ reference number,location,amount,ink,military,rust,black
44," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell
45," 1/2"" x 3 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell
46,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,left chest pocket flaps,2,match to shell,match to shell,match to shell,match to shell
47,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,right pocket flaps,1,match to shell,match to shell,match to shell,match to shell
48,"1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,hand pocket flaps,2,match to shell,match to shell,match to shell,match to shell
49,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
50,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
51,thread,spi,supplier/ ref number,amount,ink,military,rust,black
52,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
53,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
54,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
55,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell
56,labels ,supplier/ reference number,location,amount,ink,military,rust,black
57,15k/15k fully taped,soluna/ main label,center back below neck seam,1,15k/15k fully taped,none,none,none
58,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl",none,none,none
59,hang tags,supplier/ reference number,location,amount,ink,military,rust,black
60,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none
61,care and content labels,supplier/ reference number,location,amount,ink,military,rust,black
62,address label,factory sourced,lining left side seam,1,address label,none,none,none
63,content label,factory sourced,lining left side seam,1,content label,none,none,none
64,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
