,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
41,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,1,"2- color shock cord =
colorway: 2
19-1540 tcx rust/
19-4006 tcx black","2- color shock cord =
colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","2- color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","2- color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal"
42,velcro,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
43," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",chin,1,match to shell,match to shell,match to shell,black
44," 1/2"" x 3 velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",center front placket,4,match to shell,match to shell,match to shell,black
45,"1/2"" x 2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",pocket flaps,2 per side = 4,match to shell,match to shell,match to shell,black
46,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,black
47,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,black
48,thread,spi,supplier/ ref number,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
49,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
50,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
51,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
52,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell
53,labels ,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
54,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,none,none,none
55,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl",none,none,none
56,hang tags,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
57,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none
58,care and content labels,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
59,address label,factory sourced,lining left side seam,1,address label,none,none,none
60,content label,factory sourced,lining left side seam,1,content label,none,none,none
61,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
