,description,ref,location,content,colorway/4,colorway/5,colorway/6
1,micro ripstop,solis / sotl120-pu01 micro rip 2l dot lam 10k/10k / c6 + dwr,a,none,silt,walnut,black
2,insulation,supplier/ reference number,location ,content,silt,walnut,black
3,polyfill insulation ,pinneco core 150g,all over,100% polyester,pinneco core 150g,pinneco core 150g,pinneco core 150g
4,seam tape,supplier/ reference number,location ,content,silt,walnut,black
5,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped
6,lining,supplier/ reference number,location ,content,silt,walnut,black
7,solid 210t ,solis / sonp006-1,hood,100% nylon,black,black,black
8,solid 210t ,solis / sonp006-1,main body,100% nylon,black,black,black
9,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black
10,solid 210t ,solis / sonp006-1,chest pocket bag,100% nylon,black,black,black
11,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black
12,brushed tricot,solis / brushed tricot,hand pocket bags,100% polyester,black,black,black
13,brushed tricot,solis / brushed tricot,chin guard,100% polyester,black,black,black
14,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black
