,description,ref,location,amount,colorway/4,colorway/5,colorway/6
1, #8 metal zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut
2, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,sleeve pocket,1,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black
5, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black
6,additional zipper pulls,supplier/ reference number,location,amount,black,military,walnut
7,"l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",ykk,center front,top and bottom pull = 2,ykk x antique copper,ykk x antique copper,ykk x antique copper
8,"l1-2018-trim-018
non branded zipper pull. faux leather",please source: same supplier as other faux leather trims,sleeve pocket (1) hand pockets (2),3,black faux leather,black faux leather,black faux leather
9, 11nt-045 / self fabric pull ,factory made,underarm vents,1 per side = 2,match to shell,match to shell,match to shell
10, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,match to shell
11,branded trims,supplier/ reference number,location,amount,black,military,walnut
12,"l1-2018-trim-007
large black faux leather hem wrap",please source: same supplier as other faux leather trims,left hand pocket hem,1,black faux leather,black faux leather,black faux leather
13,"l1-2018-trim-002
black faux leather patch",please source: same supplier as other faux leather trims,front right hem,1,black faux leather,black faux leather,black faux leather
14,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,match to shell,match to shell,match to shell
15,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell
16,trims,supplier/ reference number,location,amount,black,military,walnut
17,15mm metal snap,luk's / 404,front placket (hidden at chin),2,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
18,15mm metal snap,luk's / 404,front placket (hidden at hem),1,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
19,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
20,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
21,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
