,description,item,ref,content,colorway/4,colorway/5
1,all shell is same fabric,overdye pigment $6.90 10k/10k,laka tex  ls1068-dl2a,"85% cotton, 13% poly, 2% spandex",black overdye denim,no
2,all shell is same fabric,"brown overdye denim 10k/10k lamination + w/r + pigment, $10.65",solis - l2-1081,84.5% cotton/ 13.5 % poly/ 2% spandex,no,brown  l2-1081 overdye denim
3,insulation,item,supplier/ ref number,content,black overdye denim,brown overdye denim
4,non insulated,none,none,none,no,no
5,seam tape,item,supplier/ ref number,content,black overdye denim,brown overdye denim
6,critically taped,width...seam tape,sealon,none,yes,yes
7,lining,item,supplier/ ref number,content,black overdye denim,brown overdye denim
8,main body,small hole mesh ,please sorce,100% poly,black,black
9,lower leg,coated 210t,please sorce,100% nylon,black,black
10,waistband & fly,120g brushed tricot,please sorce,100% poly,black,black
11,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,black
