,0,1,2,3,4,5,6,7,8,9
59,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,black,none,none
60,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,black,none,none
62,thread,spi,supplier/ ref number,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
63,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
64,topstitch,8-10 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
65,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,none,none
66,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell,none,none
68,labels ,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
69,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,none,none,none,none,none
70,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl",none,none,none,none,none
72,hang tags,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
73,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none,none
76,care and content labels,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
77,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
78,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
79,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
