,0,1,2,3,4,5,6,7,8,9
38,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,black,none
40,velcro,supplier/ reference number,location,amount,walnut,ink,military,black,silt,0
43,thread,spi,supplier/ ref number,amount,walnut,ink,military,black,silt,0
44,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),none,regular thread,match to shell,match to shell,match to shell,match to shell,match to shell,none
45,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
46,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
47,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
49,labels ,supplier/ reference number,location,amount,walnut,ink,military,black,silt,0
50,10k/10k fully seam sealed,soluna/ main label,front left leg,1,10k/10k fully seam sealed,none,none,none,none,none
51,size label (sample size s),soluna/ size label,center back waist band,1,"xs, s, m, l",none,none,none,none,none
53,hang tags,supplier/ reference number,location,amount,walnut,ink,military,black,silt,0
54,womens pant hang tag,soluna/ womens pant hang tag,left side belt loop,1,womens pant hang tag,none,none,none,none,none
55,pant fit hang tag,boyfriend fit,none,1,boyfriend fit,none,none,none,none,none
57,care and content labels,supplier/ reference number,location,amount,walnut,ink,military,black,silt,0
58,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
59,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
60,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
