,0,1,2,3,4,5,6,7,8,9
46,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,silt shell fabric,military shell fabric,black shell fabric,black shell fabric,broken twill floral shell fabric,none
47,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,silt shell fabric,military shell fabric,black shell fabric,black shell fabric,broken twill floral shell fabric,none
48,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,black,none
49,elastine,none,lining cable guide,1,black,black,black,black,black,none
50,8mm round drawcord,(also used in l1-111-18 stooge),hood,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
51,8mm round drawcord,(also used in l1-111-18 stooge),waist,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
52,8mm round drawcord,(also used in l1-111-18 stooge),hem,1,16-5807 tcx silt,19-0515 tcx military,19-4006 tcx black,19-4006 tcx black,12-0105 tcx bone,none
54,velcro,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
55," 1/2"" x 5 1/2"" (1/2"" shorter that pocket length, wmns pocket is 6"") velcro with rounded corners",paiho / loop#1057 / hooketn7,lining pocket,1,match to shell,match to shell,match to shell,black,12-0105 tcx bone,none
56,"1/2 x 1 1/2""",paiho / loop#1057 / hooketn7,"inner facing of hood where fur facing is attached -  hook on top, loop on bottom",1,match to shell,match to shell,match to shell,black,12-0105 tcx bone,none
57,"1/2 x 1 1/2""",paiho / loop#1057 / hooketn7,shell facing of removable hood  piece - loop on top hook on bottom,1,match to shell,match to shell,match to shell,black,12-0105 tcx bone,none
59,thread,spi,supplier/ ref number,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
60,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
61,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
62,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,none
64,labels ,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
65,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none,none,none
66,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none,none,none
68,hang tags,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
69,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none,none,none
72,care and content labels,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
73,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
74,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
75,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
