,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,color_way
26,26.0,45.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
27,27.0,46.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
28,28.0,47.0,other,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
29,29.0,48.0,other,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
30,30.0,49.0,insulation,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
31,31.0,50.0,other,"ELASTIC 1/4"" ",,CABLE GUIDE,1,BLACK,BLACK,BLACK,BLACK
32,32.0,51.0,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK
33,33.0,52.0,other,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
34,34.0,56.0,other," 1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS","PAIHO / Loop#1057, PAIHO / HookETN7",CHIN,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,BLACK
35,35.0,57.0,other," 1/2"" X 3 VELCRO WITH ROUNDED CORNERS","PAIHO / Loop#1057, PAIHO / HookETN7",CENTER FRONT PLACKET,4,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,BLACK
36,36.0,58.0,other,"1/2"" X 2"" VELCRO WITH ROUNDED CORNERS","PAIHO / Loop#1057, PAIHO / HookETN7",POCKET FLAPS,2 PER SIDE = 4,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,BLACK
37,37.0,59.0,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,BLACK
38,38.0,60.0,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,BLACK
39,39.0,63.0,other,SEAMS,10-12 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
40,40.0,64.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
41,41.0,65.0,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
42,42.0,66.0,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
43,43.0,69.0,other,10K/10K CRITICALLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,10K/10K CRITICALLY TAPED,,,
44,44.0,70.0,label,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,CENTER BACK BELOW MAIN LABEL,1,"XS, S, M, L, XL",,,
45,45.0,73.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,,,
46,46.0,77.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,,,
47,47.0,78.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,,,
48,48.0,79.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,,,
