,MATERIAL_ID,position,,,,color_way,CATEGORY
12,28.0,LEFT CHEST POCKET,24L METAL SNAP,PLEASE SORCE,1 SET,PSEUDO ANTI SILVER,
13,29.0,HIDDEN AT CHIN AND HEM,24L METAL SNAP,PLEASE SORCE,2 SETS,PSEUDO ANTI SILVER,
14,30.0,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",BLACK,
15,31.0,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP,DURAFLEX / 1414,3 SETS,BLACK,
16,32.0,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",BLACK,
17,35.0,BACK HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,TBD,
18,36.0,BACK HOOD CORD LOCK TIP,CORD TIP,KNK / CS-074,1 PER SIDE = 2,TBD,
19,37.0,FRONT HOOD CORD LOCKS,CORD LOCK,KNK / SP-204,1 PER SIDE = 2,TBD,
20,38.0,HEM CORD LOCKS,CORD LOCK,KNK /  SP-058,1 PER SIDE = 2,TBD,
21,39.0,POCKET CORD TIP,CORD LOCK,KNK / CS-1,1 PER SIDE = 2,TBD,
22,42.0,BACK HOOD CORD EXIT,GROMMET 11.5 mm (large),PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER ,
23,43.0,FRONT HOOD ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER ,
24,44.0,HEM ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER ,
25,45.0,HEM ADJUST CORD EXIT IN LINING POCKET,GROMMET  8mm diameter,PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER ,
26,48.0,HOOD & HEM,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,,
27,51.0,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK,
28,52.0,HEM & HOOD CORD LOCK TIE DOWNS,"1/4"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,5,BLACK,
29,53.0,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK,
30,54.0,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK,
31,55.0,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X 3 1/4"" FLAT WEBBING",SUPPLER / REF NUBER,1,BLACK,
32,58.0,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,STOCK,
33,59.0,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4""",SUPPLER / REF NUBER,1,BLACK,
34,60.0,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK,
35,61.0,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK,
36,62.0,ENCASED IN BACK OF SLEEVE HEM,,SUPPLER / REF NUBER,1,BLACK,
37,65.0,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING,
38,66.0,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING,
39,67.0,CHIN,1.3 cm X 4cm,PAIHO / HookETN7 / Loop#1057,1 SET,MATCHING,
