,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,
16,16.0,31.0,other,CORD LOCK,SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,
17,17.0,32.0,other,BEAD,SUNSUN/ SV160725-1A,BACK HOOD ADJUST,1,MATTE BLACK,MATTE BLACK,MATTE BLACK,
18,18.0,33.0,other,BEAD,SUNSUN/ SV160725-1A,HEM ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,
19,19.0,34.0,other,KEYCLIP,AS PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,
20,20.0,37.0,other,"GROSGRAIN 1/4""",,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,
21,21.0,38.0,other,"GROSGRAIN 3/8""",,ATTACH BACK HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,
22,22.0,39.0,other,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,
23,23.0,40.0,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,
24,24.0,41.0,other,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,
25,25.0,42.0,other,"ELASTIC 1/4""",,LINING CABLE GULIDE,1,BLACK,BLACK,BLACK,
26,26.0,43.0,other,ELASTINE,,LINING CORD EXIT - WELTS,,BLACK,BLACK,BLACK,
27,27.0,47.0,interfacing,BONDING FILM,,HOOD BRIM,1,BONDING FILM,BONDING FILM,BONDING FILM,
28,28.0,48.0,interfacing,BONDING FILM,,BACK HOOD ADJUST WELT,1,BONDING FILM,BONDING FILM,BONDING FILM,
29,29.0,49.0,interfacing,BONDING FILM,,HAND POCKET WELTS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,
30,30.0,50.0,interfacing,BONDING FILM,,CUFF TABS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,
31,31.0,53.0,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
32,32.0,54.0,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
33,33.0,58.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
34,34.0,59.0,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
35,35.0,60.0,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
36,36.0,63.0,other,20K/20K FULLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,20K/20K FULLY TAPED,20K/20K FULLY TAPED,20K/20K FULLY TAPED,
37,37.0,67.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
38,38.0,71.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
39,39.0,72.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
40,40.0,73.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
