,,MATERIAL_ID,CATEGORY,position,,,,color_way,color_way
0,0.0,9.0,other,CENTER FRONT,#5 METAL, ZA SNAP-ON TYPE (YKK),1-WAY (LOCKING),PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
1,1.0,10.0,zipper,LEFT ARM POCKET,#5 METAL,DADHR DIECAST WIRE (NON YKK),1-WAY (LOCKING),PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE,PSUDO ANTI SILVER SLIDER AND TEETH / BLACK TAPE
2,2.0,13.0,other,CF,L1-2016-TRIM-009,TOP PULL ONLY,1,PSUDO ANTI SILVER,PSUDO ANTI SILVER
3,3.0,16.0,other,FRONT LEFT SLEEVE HEM,L1 EMBROIDERY SMALL,SOLUNA / L1-2016-026,1,DTM,DTM
4,4.0,18.0,other,HAND POCKET FLAPS,L1 METAL SNAP,LUKS / L1-2016-TRIM-001,2,PSUDO ANTI SILVER,PSUDO ANTI SILVER
5,5.0,21.0,other,HEM DRAWCORD,ROUND DRWACORD WITH CLEAR PLASTIC TIP,,1,BLACK,MILITARY
6,6.0,22.0,other,HEM GROMMETS,METAL GROMMET,,1 PER SIDE = 2,ENAMEL DULL BLACK,ENAMEL DULL BLACK
7,7.0,25.0,other,INNER POCKET CLOSURE,"1/2"" X 6""",,1,BLACK,MILITARY
8,8.0,30.0,other,BARTACKS,,,,MATCHING,MATCHING
9,9.0,33.0,other,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
10,10.0,34.0,other,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,5K/5K // CRITICALLY TAPED ,1,5K/5K // CRITICALLY TAPED ,
11,11.0,35.0,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
12,12.0,36.0,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
13,13.0,37.0,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
14,14.0,38.0,other,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
