,,MATERIAL_ID,fabric,fabric,fabric,,fabric,fabric,fabric,
0,0.0,6.0,insulation,,INSULATION: ,,"40G ""CS"" POLYFILL",,TARGET FOB: ,36.0
1,1.0,11.0,fabric,SHELL,COTTON TOUCH SONP020-CC01-M $3.95,,,SOIL,BLACK,
2,2.0,14.0,insulation,"40G ""CS"" POLYFILL BODY AND SLEEVES",,,,"40G ""CS"" POLYFILL BODY AND SLEEVES","40G ""CS"" POLYFILL BODY AND SLEEVES",
3,3.0,15.0,insulation,LIGHTLY INSULATE COLLAR,,,,LIGHTLY INSULATE COLLAR,LIGHTLY INSULATE COLLAR,
4,4.0,21.0,fabric,BODY,SOTY003 WITH BRUSH DWR ,,,SOIL / BLACK,SOIL / BLACK,
5,5.0,22.0,fabric,SLEEVES & HAND POCKET BAGS,SOLID 210T,SOLIS / REF NUMBER,,BLACK,BLACK,
